Genome,Scheme,ST,yphC,trpC,efp,ppa,mutY,ureI,atpA
GCF_002532745.fna.gz,hpylori,3061,2702,224,2447,2478,2619,251,2597
GCF_002534385.fna.gz,hpylori,3090,2708,430,264,2496,2640,2571,2603
GCF_002534515.fna.gz,hpylori,3067,2708,430,264,2482,2625,2571,2603
GCF_003635855.fna.gz,hpylori,-,553,,,538,542,554,
GCF_003636165.fna.gz,hpylori,-,,,,,,,
GCF_002148385.fna.gz,hpylori,-,181,181,181,181,181,181,
GCF_002832275.fna.gz,hpylori,-,,,,,,,
GCF_002832405.fna.gz,hpylori,-,,,,,,,
GCF_001446295.fna.gz,hpylori,-,,,40,,,,
GCF_003059425.fna.gz,hpylori,-,,,,,,,
GCF_003636005.fna.gz,hpylori,-,,,,,,,
GCF_002533425.fna.gz,hpylori,3122,2749,2721,1448,228,2612,2731,2641
GCF_002012945.fna.gz,hpylori,3055,2697,2668,2443,722,2614,2679,2593
GCF_000828955.fna.gz,hpylori,-,,,1212,,,1296,696
GCF_003058625.fna.gz,hpylori,-,,,,,,,
GCF_003636025.fna.gz,hpylori,-,,,,,,,
GCF_001997995.fna.gz,hpylori,3505,2918,2876,344,2657,2813,2874,2780
GCF_002532675.fna.gz,hpylori,3114,219,1546,268,252,2661,257,223
GCF_002532795.fna.gz,hpylori,3062,2703,2671,2448,721,2620,2685,2600
GCF_002534395.fna.gz,hpylori,3087,2720,2692,2457,2473,2637,2704,2618
GCF_002832435.fna.gz,hpylori,-,,,,,,,
GCF_003635885.fna.gz,hpylori,-,,,,,,,
GCF_003636205.fna.gz,hpylori,1889,537,533,526,523,527,538,534
GCF_002154535.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_002832285.fna.gz,hpylori,-,,,,,,,
GCF_002832415.fna.gz,hpylori,-,,192,185,,,,
GCF_000011725.fna.gz,hpylori,3033,2665,2644,53,2451,2594,2644,2568
GCF_001446305.fna.gz,hpylori,-,,,,,,,
GCF_003636545.fna.gz,hpylori,-,,,,,,192,
GCF_003636935.fna.gz,hpylori,-,,,,,,,
GCF_002533465.fna.gz,hpylori,3121,219,2720,2476,2522,2666,2571,2640
GCF_002012955.fna.gz,hpylori,3127,2754,1754,1448,2525,2621,2735,221
GCF_000829095.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003636555.fna.gz,hpylori,-,,,,,,,
GCF_003636965.fna.gz,hpylori,-,,,295,296,,,
GCF_002532905.fna.gz,hpylori,3080,219,2683,268,252,2632,426,223
GCF_002832475.fna.gz,hpylori,-,,,,,,,
GCF_003636985.fna.gz,hpylori,-,,,,,786,,
GCF_001998205.fna.gz,hpylori,3502,2912,2869,1448,2653,2809,211,2778
GCF_003636265.fna.gz,hpylori,-,529,527,518,516,521,532,525
GCF_003636395.fna.gz,hpylori,-,,,,,,,
GCF_003636705.fna.gz,hpylori,-,,,,,,,1898
GCF_003637135.fna.gz,hpylori,-,2772,,,,,,2726
GCF_001446315.fna.gz,hpylori,-,,,1750,1896,,,
GCF_002532805.fna.gz,hpylori,3070,2711,2679,2447,2484,728,2692,2605
GCF_002533675.fna.gz,hpylori,3110,2740,2712,1448,2514,2655,2720,2634
GCF_003636725.fna.gz,hpylori,-,,,,,,,
GCF_003637165.fna.gz,hpylori,-,,,,,,,
GCF_002533495.fna.gz,hpylori,3117,2746,2718,2443,233,2664,2728,2639
GCF_002012965.fna.gz,hpylori,3093,2725,224,2460,2498,2641,2710,2621
GCF_000829115.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003636585.fna.gz,hpylori,-,,,,,,,
GCF_003636995.fna.gz,hpylori,-,,,,,,,
GCF_002532915.fna.gz,hpylori,3083,2718,2689,2456,2492,2635,2701,2616
GCF_002832485.fna.gz,hpylori,-,,,,,,,
GCF_003637025.fna.gz,hpylori,-,,,2548,,,,
GCF_001998245.fna.gz,hpylori,3503,2913,2871,2599,2654,2621,2872,223
GCF_003636275.fna.gz,hpylori,-,517,,505,1633,,,
GCF_003636415.fna.gz,hpylori,1380,624,616,597,599,605,626,609
GCF_003636745.fna.gz,hpylori,-,,,,,,,
GCF_003637175.fna.gz,hpylori,-,,,,,,,
GCF_001446325.fna.gz,hpylori,-,,,1750,1896,,,
GCF_002209285.fna.gz,hpylori,-,,31,31,,31,31,31
GCF_002532925.fna.gz,hpylori,3084,219,2690,258,2493,421,2702,253
GCF_003636605.fna.gz,hpylori,-,,,,,1520,,
GCF_003637045.fna.gz,hpylori,-,,,,,,,
GCF_002533535.fna.gz,hpylori,3115,2744,2716,2473,2520,2662,2726,2638
GCF_002013015.fna.gz,hpylori,3096,2729,2700,2443,2502,2621,2679,2546
GCF_000829135.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003636285.fna.gz,hpylori,1055,529,527,518,516,519,531,525
GCF_003636445.fna.gz,hpylori,3153,2769,2748,2492,2542,2691,2759,2669
GCF_003636765.fna.gz,hpylori,-,,,,,,,
GCF_003637205.fna.gz,hpylori,-,,,,,,,
GCF_002533455.fna.gz,hpylori,3120,2748,1521,2475,252,2665,2730,253
GCF_001998285.fna.gz,hpylori,3501,2911,2868,2598,2652,2808,2871,2777
GCF_003636325.fna.gz,hpylori,-,,,2064,187,577,,298
GCF_003636455.fna.gz,hpylori,-,,,,,1922,,
GCF_003636785.fna.gz,hpylori,-,,,,846,,,
GCF_003637225.fna.gz,hpylori,-,,296,279,,303,,305
GCF_001446375.fna.gz,hpylori,-,,,,,,881,
GCF_002532815.fna.gz,hpylori,-,219,,268,252,2632,426,223
GCF_002533685.fna.gz,hpylori,3108,2738,2710,2470,2513,2653,2719,2632
GCF_003636805.fna.gz,hpylori,-,,,40,,,,
GCF_003637235.fna.gz,hpylori,-,,,,,,,
GCF_002533575.fna.gz,hpylori,3113,2743,2715,1448,2519,2660,2725,2637
GCF_002013045.fna.gz,hpylori,3514,2925,2881,247,2500,2820,2712,247
GCF_000966875.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003636615.fna.gz,hpylori,3255,2855,2812,2532,2585,2730,2783,2719
GCF_003637055.fna.gz,hpylori,-,,,,,,,
GCF_002533595.fna.gz,hpylori,3512,2741,277,2607,2517,2658,2880,2636
GCF_003636335.fna.gz,hpylori,-,,,,,,,
GCF_003636485.fna.gz,hpylori,-,520,,632,511,,,
GCF_003636825.fna.gz,hpylori,-,,,,,1258,,
GCF_003637265.fna.gz,hpylori,-,619,611,592,594,,621,604
GCF_001998295.fna.gz,hpylori,3506,219,2877,2594,2658,2814,2875,2781
GCF_003636645.fna.gz,hpylori,-,1566,,1437,,,2812,
GCF_003637065.fna.gz,hpylori,-,,,,,,,
GCF_001446385.fna.gz,hpylori,-,,,,,,881,
GCF_002532895.fna.gz,hpylori,3082,2717,2688,430,2491,2634,2700,2615
GCF_002533695.fna.gz,hpylori,3107,2737,2708,2468,2512,2651,426,2630
GCF_003636845.fna.gz,hpylori,-,,,,,,,
GCF_003637285.fna.gz,hpylori,-,,,,,,,639
GCF_002533605.fna.gz,hpylori,-,2742,2714,2445,2518,2659,2724,2607
GCF_002013055.fna.gz,hpylori,3109,2739,2711,2445,2500,2654,422,2633
GCF_000982695.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_003636665.fna.gz,hpylori,-,,,1780,,,,
GCF_003637105.fna.gz,hpylori,-,,,538,,,,
GCF_002533615.fna.gz,hpylori,3112,2726,2713,247,2516,2657,2722,247
GCF_003636675.fna.gz,hpylori,-,,,,846,,,
GCF_003637115.fna.gz,hpylori,-,,,,,,2509,2456
GCF_001998385.fna.gz,hpylori,3509,2921,2880,2605,233,2816,2878,2547
GCF_003636355.fna.gz,hpylori,-,,,,,,,
GCF_003636505.fna.gz,hpylori,-,,,,840,,,
GCF_003636855.fna.gz,hpylori,-,,,,,,,
GCF_003637295.fna.gz,hpylori,-,,,,,,,
GCF_001446395.fna.gz,hpylori,-,,,40,,,,
GCF_002222575.fna.gz,hpylori,-,,2030,,,,,26
GCF_002533515.fna.gz,hpylori,3116,2745,2717,2462,228,2663,2727,423
GCF_002533525.fna.gz,hpylori,3118,2747,2719,2474,2521,2612,2729,423
GCF_002533705.fna.gz,hpylori,-,,,,,,2715,
GCF_003636885.fna.gz,hpylori,-,576,552,,540,544,556,551
GCF_003637305.fna.gz,hpylori,-,,,,1857,,,
GCF_001051445.fna.gz,hpylori,-,,,,,,,
GCF_002013035.fna.gz,hpylori,3095,2728,430,2462,2501,2644,292,2624
GCF_002013065.fna.gz,hpylori,3091,2723,2696,430,722,2618,2708,423
GCF_003636905.fna.gz,hpylori,-,,,,1279,,,
GCF_003637345.fna.gz,hpylori,-,,,2533,,,2796,
GCF_002533655.fna.gz,hpylori,3110,2740,2712,1448,2514,2655,2720,2634
GCF_003636215.fna.gz,hpylori,664,542,528,181,528,523,543,530
GCF_003636225.fna.gz,hpylori,1763,529,527,518,516,519,535,525
GCF_003636385.fna.gz,hpylori,-,,,,,,761,
GCF_003636525.fna.gz,hpylori,-,,2607,1870,,2541,,2529
GCF_003636925.fna.gz,hpylori,-,,,,,,,
GCF_003637365.fna.gz,hpylori,-,559,556,181,547,548,,530
GCF_001998405.fna.gz,hpylori,3499,2909,437,2596,2650,250,719,225
GCF_000013245.fna.gz,hpylori,848,889,885,846,859,872,896,872
GCF_001484135.fna.gz,hpylori,-,,,,,,,
GCF_003637825.fna.gz,hpylori,-,,,,,,,
GCF_003638025.fna.gz,hpylori,-,,,2489,,1523,,2726
GCF_003638225.fna.gz,hpylori,-,,,,,,,
GCF_003638465.fna.gz,hpylori,-,,,,,,,
GCF_003639325.fna.gz,hpylori,-,,,1454,,,155,
GCF_003639635.fna.gz,hpylori,-,,,660,,,,
GCF_001051495.fna.gz,hpylori,-,,,,,,,
GCF_003637835.fna.gz,hpylori,-,,,,,,,
GCF_003638045.fna.gz,hpylori,-,,,,,,,
GCF_003638235.fna.gz,hpylori,1450,553,550,538,538,542,554,549
GCF_003638475.fna.gz,hpylori,-,,,,,,,
GCF_003639335.fna.gz,hpylori,-,,,,,158,,
GCF_003639665.fna.gz,hpylori,-,,3148,,,,,
GCF_001484155.fna.gz,hpylori,-,,,,,,,
GCF_001999845.fna.gz,hpylori,3497,703,2865,2594,2648,1258,2868,2774
GCF_002012425.fna.gz,hpylori,3513,2726,2709,2469,1478,2819,251,2631
GCF_003639215.fna.gz,hpylori,-,,,,2011,,,
GCF_003639545.fna.gz,hpylori,-,,,,,,,
GCF_002013145.fna.gz,hpylori,3118,2747,2719,2474,2521,2612,2729,423
GCF_003637625.fna.gz,hpylori,-,,,,,,,
GCF_003637715.fna.gz,hpylori,-,,,,,,,
GCF_003637865.fna.gz,hpylori,-,279,279,283,283,,336,305
GCF_003638055.fna.gz,hpylori,-,1236,,827,,1103,,
GCF_003638245.fna.gz,hpylori,1145,542,528,181,528,523,564,530
GCF_003638485.fna.gz,hpylori,-,,,,,,,
GCF_003639365.fna.gz,hpylori,-,,,,,,,
GCF_003639675.fna.gz,hpylori,-,,,,,,,
GCF_001185015.fna.gz,hpylori,-,,,827,,855,,1202
GCF_003637875.fna.gz,hpylori,-,,,,,,,
GCF_003638085.fna.gz,hpylori,-,,,,,,,
GCF_003638285.fna.gz,hpylori,1445,559,556,181,545,548,562,556
GCF_003638525.fna.gz,hpylori,975,559,556,181,545,548,563,556
GCF_003639385.fna.gz,hpylori,-,,,,,,,
GCF_003639685.fna.gz,hpylori,-,,,,,,,
GCF_001484185.fna.gz,hpylori,-,,,,,,,
GCF_001999865.fna.gz,hpylori,3507,2919,2878,210,2659,2810,2876,2782
GCF_002026445.fna.gz,hpylori,3518,2929,2884,2610,2663,2824,2884,2788
GCF_003639245.fna.gz,hpylori,-,,,,,,,
GCF_003639565.fna.gz,hpylori,-,,,,,,,
GCF_002013175.fna.gz,hpylori,3122,2749,2721,1448,228,2612,2731,2641
GCF_003637635.fna.gz,hpylori,-,,,,,,,
GCF_003637745.fna.gz,hpylori,-,,,,,,,
GCF_003637885.fna.gz,hpylori,-,,,,1505,285,,966
GCF_003638105.fna.gz,hpylori,-,,,,,,,
GCF_003638295.fna.gz,hpylori,1213,1221,1211,1149,1172,1198,1226,320
GCF_003638535.fna.gz,hpylori,-,634,628,606,611,617,638,
GCF_003639405.fna.gz,hpylori,-,,,,,,,
GCF_003639725.fna.gz,hpylori,-,2941,413,681,,,,
GCF_001185025.fna.gz,hpylori,3684,3058,1329,2694,2763,2938,2989,2882
GCF_003637925.fna.gz,hpylori,-,,751,,,,,
GCF_003638115.fna.gz,hpylori,-,,,,,,,613
GCF_003638305.fna.gz,hpylori,-,,,,,,,
GCF_003638565.fna.gz,hpylori,758,552,549,535,533,541,553,544
GCF_003639425.fna.gz,hpylori,-,,,,,,,
GCF_003639735.fna.gz,hpylori,-,,,,,2839,,
GCF_001538305.fna.gz,hpylori,-,,,,,,881,
GCF_002005525.fna.gz,hpylori,-,,31,31,,31,31,31
GCF_003638405.fna.gz,hpylori,-,,,,556,,,
GCF_003639265.fna.gz,hpylori,-,,,,,,,
GCF_003639575.fna.gz,hpylori,-,,,,,,,
GCF_002013185.fna.gz,hpylori,3517,2928,1546,2609,2662,2823,2883,223
GCF_003637665.fna.gz,hpylori,-,,,,,,,
GCF_003637755.fna.gz,hpylori,-,,,,,298,,
GCF_003637935.fna.gz,hpylori,-,558,,544,544,547,561,555
GCF_003638135.fna.gz,hpylori,-,,,,,,,
GCF_003638345.fna.gz,hpylori,-,,,,,,,
GCF_003638585.fna.gz,hpylori,1143,560,557,181,528,172,543,543
GCF_003639445.fna.gz,hpylori,-,,,,2011,,,
GCF_003639745.fna.gz,hpylori,-,,,,,,,
GCF_001185035.fna.gz,hpylori,-,,,,,,,
GCF_003637965.fna.gz,hpylori,-,576,552,,540,544,556,551
GCF_003638165.fna.gz,hpylori,-,,,2864,,,,
GCF_003638355.fna.gz,hpylori,-,,,,,,,
GCF_003638595.fna.gz,hpylori,-,,,,,,,
GCF_003639455.fna.gz,hpylori,-,,,,,,,
GCF_003639785.fna.gz,hpylori,-,,,,,,,
GCF_001542385.fna.gz,hpylori,-,,,,,,,
GCF_002012395.fna.gz,hpylori,3104,2734,224,2465,226,2648,2054,2597
GCF_002013115.fna.gz,hpylori,3515,2926,2882,2608,131,2821,2881,2786
GCF_002013135.fna.gz,hpylori,3516,2927,2883,2443,226,2822,2882,2787
GCF_003637375.fna.gz,hpylori,-,,280,,299,,,280
GCF_003637405.fna.gz,hpylori,-,,,,,,,
GCF_003637415.fna.gz,hpylori,-,,,174,,,,
GCF_003637435.fna.gz,hpylori,-,,,,,,,
GCF_003637465.fna.gz,hpylori,-,,,504,337,,,
GCF_003637505.fna.gz,hpylori,-,,,,,,,
GCF_003637545.fna.gz,hpylori,-,,,,,,,
GCF_003637575.fna.gz,hpylori,-,,1925,,,,3003,
GCF_003637685.fna.gz,hpylori,-,,,,,,,
GCF_003637775.fna.gz,hpylori,-,,,,,,,
GCF_003637985.fna.gz,hpylori,-,,,,,1915,,
GCF_003638175.fna.gz,hpylori,-,331,,,,,285,284
GCF_003638375.fna.gz,hpylori,-,,,,,,,
GCF_003638625.fna.gz,hpylori,1144,561,558,545,528,172,565,557
GCF_003639485.fna.gz,hpylori,-,,,133,,,,
GCF_001542465.fna.gz,hpylori,-,,,,,,,
GCF_002012405.fna.gz,hpylori,3512,2741,277,2607,2517,2658,2880,2636
GCF_003638415.fna.gz,hpylori,-,,,,,,,
GCF_003639285.fna.gz,hpylori,-,,150,,,,,667
GCF_003639605.fna.gz,hpylori,-,,,,,,,
GCF_001446435.fna.gz,hpylori,-,,36,,,,881,
GCF_003639165.fna.gz,hpylori,-,,1856,,,,,
GCF_003639495.fna.gz,hpylori,-,,,,,,2577,
GCF_002013205.fna.gz,hpylori,3130,2744,2413,2480,2527,2662,2726,2644
GCF_003637485.fna.gz,hpylori,-,1606,,,429,,,
GCF_003637515.fna.gz,hpylori,-,,,1915,,,,
GCF_003637565.fna.gz,hpylori,-,,,,,,674,
GCF_003637605.fna.gz,hpylori,-,578,,,,,,
GCF_003637695.fna.gz,hpylori,-,,,,337,,,
GCF_003637805.fna.gz,hpylori,-,1602,1573,217,1497,577,,1552
GCF_003637995.fna.gz,hpylori,-,2775,1536,2487,1965,2684,2754,2663
GCF_003638195.fna.gz,hpylori,-,,,,,,,
GCF_003638425.fna.gz,hpylori,-,,,,,,,
GCF_003639305.fna.gz,hpylori,-,,,,,131,,158
GCF_003639615.fna.gz,hpylori,-,,,,,,,
GCF_002012415.fna.gz,hpylori,3092,2724,2697,2449,2497,732,2709,2620
GCF_001542485.fna.gz,hpylori,-,,,,,,,
GCF_003639195.fna.gz,hpylori,-,,,,,,,
GCF_003639525.fna.gz,hpylori,-,,,,,,,
GCF_001051485.fna.gz,hpylori,-,,,,,,,
GCF_001542495.fna.gz,hpylori,-,,,,,,,
GCF_003639795.fna.gz,hpylori,-,,,,,,,
GCF_003639805.fna.gz,hpylori,-,,,,,663,688,137
GCF_003639845.fna.gz,hpylori,-,,,,,,,176
GCF_003639855.fna.gz,hpylori,-,,,,,,,
GCF_003639865.fna.gz,hpylori,-,,,,,,,3024
GCF_003639905.fna.gz,hpylori,-,,3180,,,,,
GCF_003639915.fna.gz,hpylori,-,,,,,,155,
GCF_003639935.fna.gz,hpylori,-,,,,,,,
GCF_003639965.fna.gz,hpylori,-,,,,,,,
GCF_003639985.fna.gz,hpylori,-,,681,,665,,,
GCF_003639995.fna.gz,hpylori,-,703,,,664,,,
GCF_003640025.fna.gz,hpylori,-,,,,,,,
GCF_003640045.fna.gz,hpylori,-,,,,,,,
GCF_003640055.fna.gz,hpylori,-,,,132,,,,
GCF_003640085.fna.gz,hpylori,-,1291,,,,2839,118,696
GCF_003640095.fna.gz,hpylori,-,,,,,,,2106
GCF_003640105.fna.gz,hpylori,-,,,,,,1728,
GCF_003640145.fna.gz,hpylori,-,,,,219,,,
GCF_003640155.fna.gz,hpylori,-,,,,,,,
GCF_003815475.fna.gz,hpylori,3060,2701,1546,268,2477,1258,2684,2599
GCF_003815485.fna.gz,hpylori,-,2928,1546,2609,2662,2823,2883,
GCF_003815515.fna.gz,hpylori,2958,2651,2621,2408,2441,2563,2632,2547
GCF_003815525.fna.gz,hpylori,3054,2696,2667,2442,2472,2613,2678,2594
GCF_003815575.fna.gz,hpylori,3052,2694,2666,2441,2470,2611,2676,2592
GCF_003815595.fna.gz,hpylori,3105,2735,224,2466,2510,2649,2717,2629
GCF_003855475.fna.gz,hpylori,-,,,,,,,
GCF_003939085.fna.gz,hpylori,-,,,,,,,
GCF_003957395.fna.gz,hpylori,-,,,,,,,
GCF_004012115.fna.gz,hpylori,-,,,1510,,,,
GCF_004012125.fna.gz,hpylori,-,,,,,,,
GCF_004012135.fna.gz,hpylori,-,,750,,,,,
GCF_004012145.fna.gz,hpylori,-,,,1510,,,,
GCF_004012155.fna.gz,hpylori,-,,,1510,,,,
GCF_004012215.fna.gz,hpylori,-,,,,,,,
GCF_004012225.fna.gz,hpylori,-,,,,,1302,,
GCF_004012245.fna.gz,hpylori,-,,,,,,,
GCF_004012255.fna.gz,hpylori,-,,,,,,,
GCF_004012265.fna.gz,hpylori,-,,,606,,,1748,
GCF_004012315.fna.gz,hpylori,-,,,,,,,
GCF_004012325.fna.gz,hpylori,-,,,,,,,
GCF_004012355.fna.gz,hpylori,-,,,,,,,
GCF_004012365.fna.gz,hpylori,-,,,,,,,
GCF_004012375.fna.gz,hpylori,-,,,,,,,
GCF_004012405.fna.gz,hpylori,-,,,,,,,
GCF_004012435.fna.gz,hpylori,-,,,,,,,
GCF_004012445.fna.gz,hpylori,-,,,,,,,
GCF_004012465.fna.gz,hpylori,-,,,,,,,
GCF_004012475.fna.gz,hpylori,-,,,,,,,
GCF_004012515.fna.gz,hpylori,-,,,560,,,,
GCF_004012535.fna.gz,hpylori,-,,,568,,566,,
GCF_004012555.fna.gz,hpylori,-,,,,,,,
GCF_004012565.fna.gz,hpylori,-,,,,,,,
GCF_004012575.fna.gz,hpylori,-,,,714,,,,
GCF_004012605.fna.gz,hpylori,-,,,88,,,,1019
GCF_004012635.fna.gz,hpylori,-,,,,,,,
GCF_004012655.fna.gz,hpylori,-,,,,,,,
GCF_004012665.fna.gz,hpylori,-,,,,,,,
GCF_004012695.fna.gz,hpylori,-,,1706,,,,,
GCF_004012705.fna.gz,hpylori,-,,,,,,,
GCF_004012735.fna.gz,hpylori,-,,,,,,,
GCF_004012755.fna.gz,hpylori,-,,,1469,,,,
GCF_004012765.fna.gz,hpylori,-,,,,,,,
GCF_004012775.fna.gz,hpylori,-,,,,,,,
GCF_004012785.fna.gz,hpylori,-,,,,,,,
GCF_004012835.fna.gz,hpylori,-,,,,,,,
GCF_004012855.fna.gz,hpylori,-,,,,,,,
GCF_004012865.fna.gz,hpylori,-,,,,,,193,
GCF_004012895.fna.gz,hpylori,-,,,71,,,,
GCF_004012905.fna.gz,hpylori,-,,,,,,,
GCF_004012915.fna.gz,hpylori,-,,,,,,,
GCF_004012955.fna.gz,hpylori,-,,,1343,,,1446,
GCF_004012975.fna.gz,hpylori,-,,,,,,,
GCF_004012985.fna.gz,hpylori,-,,,,,,,
GCF_004013015.fna.gz,hpylori,-,,,,,,3106,
GCF_004013025.fna.gz,hpylori,-,,,,,,2000,
GCF_004013055.fna.gz,hpylori,-,,,560,,,,
GCF_004013065.fna.gz,hpylori,-,,,1978,,,,
GCF_004013075.fna.gz,hpylori,-,,,,,,,
GCF_004013115.fna.gz,hpylori,-,,,2360,846,,,
GCF_004013175.fna.gz,hpylori,-,,,,,,,
GCF_004013215.fna.gz,hpylori,-,,,,,,,
GCF_004013295.fna.gz,hpylori,-,,,,,,,
GCF_004013325.fna.gz,hpylori,-,,,,,,,
GCF_004013405.fna.gz,hpylori,-,,,,,,,
GCF_004013465.fna.gz,hpylori,-,,,,,,,2533
GCF_004013525.fna.gz,hpylori,-,,,,,,,
GCF_004013595.fna.gz,hpylori,-,,,560,,,,
GCF_004013605.fna.gz,hpylori,-,,,,,,,
GCF_004013635.fna.gz,hpylori,-,,,877,,,,
GCF_004013745.fna.gz,hpylori,-,,,,,,,
GCF_004013825.fna.gz,hpylori,-,,,,,,,
GCF_004014385.fna.gz,hpylori,-,,,,,,,
GCF_004013135.fna.gz,hpylori,-,,,,,,,
GCF_004013195.fna.gz,hpylori,-,,,1615,,,1008,
GCF_004013225.fna.gz,hpylori,-,,,,,,,
GCF_004013305.fna.gz,hpylori,-,,,,,,,
GCF_004013365.fna.gz,hpylori,-,,,,,,,
GCF_004013415.fna.gz,hpylori,-,,,,,,,
GCF_004013495.fna.gz,hpylori,-,,,,,,,
GCF_004013545.fna.gz,hpylori,-,756,,,,,,
GCF_004013655.fna.gz,hpylori,-,,,,,,,
GCF_004013755.fna.gz,hpylori,-,,,,,,,2471
GCF_004323545.fna.gz,hpylori,-,,,,1230,,,
GCF_005796115.fna.gz,hpylori,3655,3031,101,2674,101,101,101,101
GCF_006438545.fna.gz,hpylori,-,,,,,,1576,
GCF_006438565.fna.gz,hpylori,-,2772,,1444,,1523,,
GCF_006440335.fna.gz,hpylori,-,,1536,1277,,,,
GCF_004013625.fna.gz,hpylori,-,,,1510,,,,
GCF_004013665.fna.gz,hpylori,-,,,,,,905,
GCF_004013765.fna.gz,hpylori,-,,,1993,,,,
GCF_004014395.fna.gz,hpylori,-,,,,,,,
GCF_004014415.fna.gz,hpylori,-,,,,,,193,
GCF_004013155.fna.gz,hpylori,-,,,,,,,
GCF_004013205.fna.gz,hpylori,-,,,,,,,
GCF_004013275.fna.gz,hpylori,-,,,,,,,
GCF_004013315.fna.gz,hpylori,-,,,,,,448,
GCF_004013395.fna.gz,hpylori,-,,,,,,,
GCF_004013435.fna.gz,hpylori,-,,,,,,,
GCF_004013505.fna.gz,hpylori,-,,,139,,,,
GCF_004013555.fna.gz,hpylori,-,,,,,,,
GCF_004013715.fna.gz,hpylori,-,,229,,1783,,,1820
GCF_004013805.fna.gz,hpylori,-,,,560,109,,,
GCF_005250645.fna.gz,hpylori,-,,,,,989,,
GCF_005796125.fna.gz,hpylori,3655,3031,101,2674,101,101,101,101
GCF_006438645.fna.gz,hpylori,-,,,,,,,
GCF_006440345.fna.gz,hpylori,-,,,1272,,,74,
GCF_007794935.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_004014605.fna.gz,hpylori,-,,3150,2856,2898,,,
GCF_004307235.fna.gz,hpylori,2760,2393,2420,2182,2155,459,1968,2313
GCF_004323385.fna.gz,hpylori,-,2769,2748,2492,2541,,,2669
GCF_006338285.fna.gz,hpylori,-,,,247,,,,
GCF_006438475.fna.gz,hpylori,-,,,,,,,
GCF_004013845.fna.gz,hpylori,-,,,,,,,
GCF_004013865.fna.gz,hpylori,-,,,,,,,
GCF_004013925.fna.gz,hpylori,-,1880,,1969,2017,,2166,2094
GCF_004013975.fna.gz,hpylori,-,,,,,,,
GCF_004014115.fna.gz,hpylori,-,,,1993,,,,
GCF_004014275.fna.gz,hpylori,-,,,,,,,
GCF_004088155.fna.gz,hpylori,-,,,,,,,
GCF_004323335.fna.gz,hpylori,-,,,2686,,,,
GCF_005796135.fna.gz,hpylori,3655,3031,101,2674,101,101,101,101
GCF_006337405.fna.gz,hpylori,-,,,,801,,,
GCF_006338415.fna.gz,hpylori,-,,,,801,,,
GCF_006438515.fna.gz,hpylori,-,,,,,1535,,
GCF_006438625.fna.gz,hpylori,-,,,,,,,
GCF_006439775.fna.gz,hpylori,-,,,,,,,
GCF_006440395.fna.gz,hpylori,-,,,,2540,,,2726
GCF_004013875.fna.gz,hpylori,-,,,872,,,,
GCF_004013945.fna.gz,hpylori,-,,,1820,,1913,,
GCF_004014095.fna.gz,hpylori,-,,,,,,,
GCF_004014205.fna.gz,hpylori,-,,,560,,,,234
GCF_004014435.fna.gz,hpylori,-,,,,,,,
GCF_004014585.fna.gz,hpylori,-,,,,,,,
GCF_004295525.fna.gz,hpylori,3745,230,29,2735,31,29,29,29
GCF_004323355.fna.gz,hpylori,-,,,,,,,
GCF_006338045.fna.gz,hpylori,-,,,,,507,723,
GCF_006438455.fna.gz,hpylori,-,,2758,,,,2426,
GCF_004014285.fna.gz,hpylori,-,,,,,,,2483
GCF_004307275.fna.gz,hpylori,2761,2394,2426,2184,445,2351,1968,2315
GCF_004323415.fna.gz,hpylori,-,,2758,,1461,,2767,
GCF_006337265.fna.gz,hpylori,-,,,967,,,,
GCF_006337425.fna.gz,hpylori,-,,,,,103,,
GCF_006338545.fna.gz,hpylori,-,,,,,,,
GCF_006438525.fna.gz,hpylori,-,,,,,1192,,
GCF_006439655.fna.gz,hpylori,-,,,,,,,
GCF_006440415.fna.gz,hpylori,-,,,,,1192,,
GCF_007836735.fna.gz,hpylori,-,,,,,,,
GCF_004014005.fna.gz,hpylori,-,,,,,,,
GCF_004014145.fna.gz,hpylori,-,,,,,,,
GCF_004014375.fna.gz,hpylori,-,,,,,,,
GCF_004014475.fna.gz,hpylori,-,,,,,,,
GCF_004014675.fna.gz,hpylori,-,,,,,,,
GCF_004323275.fna.gz,hpylori,-,,,,,,,
GCF_004323525.fna.gz,hpylori,-,,,,,,,
GCF_006338945.fna.gz,hpylori,-,,,967,,,,
GCF_004014025.fna.gz,hpylori,-,,,,,,,
GCF_004014175.fna.gz,hpylori,-,3107,,,,,,
GCF_004014625.fna.gz,hpylori,-,,,,117,,,
GCF_004323255.fna.gz,hpylori,-,,,827,,855,,1202
GCF_004323515.fna.gz,hpylori,-,,,,708,,,1052
GCF_006337365.fna.gz,hpylori,-,,,1343,,,,1412
GCF_006337485.fna.gz,hpylori,-,,,,,,,
GCF_006339065.fna.gz,hpylori,-,,,563,,,,
