Genome,Scheme,ST,gyrB,metE,mdh,pntA,adk,purM,pyrC
GCF_002808305.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003056975.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_000969265.fna.gz,vcholerae,741,125,1,14,19,111,1,59
GCF_001729155.fna.gz,vcholerae,28,23,42,15,18,2,13,10
GCF_001857145.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002808215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003013485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001257895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001258995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001292745.fna.gz,vcholerae,163,5,50,45,31,26,14,45
GCF_001402255.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_002807865.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808325.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002073335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001252675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001027485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196305.fna.gz,vcholerae,3,15,15,19,24,1,5,14
GCF_002808225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003015005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001735565.fna.gz,vcholerae,764,36,282,76,66,114,99,209
GCF_002808065.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788595.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001257975.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808265.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003056705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001292785.fna.gz,vcholerae,759,5,50,14,158,26,14,45
GCF_001402265.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_002808345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001252775.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002843255.fna.gz,vcholerae,1438,5,1,1,30,19,6,40
GCF_001743085.fna.gz,vcholerae,3,15,15,19,24,1,5,14
GCF_002078715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002890525.fna.gz,vcholerae,774,114,289,132,66,6,1,216
GCF_001030015.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788615.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808105.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002892855.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736765.fna.gz,vcholerae,755,126,55,8,157,24,1,45
GCF_003205675.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003312945.fna.gz,vcholerae,-,44,44,14,66,106,56,200
GCF_003347835.fna.gz,vcholerae,1299,1,201,21,3,13,9,39
GCF_003348015.fna.gz,vcholerae,-,8,,135,234,58,85,90
GCF_003348195.fna.gz,vcholerae,67,4,35,14,15,6,3,46
GCF_003348545.fna.gz,vcholerae,1268,75,123,73,87,60,1,223
GCF_003348905.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_001252855.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857155.fna.gz,vcholerae,-,75,45,,,,8,100
GCF_001857175.fna.gz,vcholerae,-,75,45,,,,8,100
GCF_001887395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003347855.fna.gz,vcholerae,1336,74,227,21,38,1,6,65
GCF_003348035.fna.gz,vcholerae,-,8,,135,234,58,85,90
GCF_003348215.fna.gz,vcholerae,-,41,,45,18,6,1,
GCF_003348575.fna.gz,vcholerae,1268,75,123,73,87,60,1,223
GCF_003348925.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_000788635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001030035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001186495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003057085.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_003063885.fna.gz,vcholerae,438,44,64,11,3,2,8,43
GCF_003205565.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003205755.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003347775.fna.gz,vcholerae,1339,74,273,21,2,1,1,65
GCF_003347915.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348115.fna.gz,vcholerae,1316,5,79,29,22,14,1,212
GCF_003348445.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_003348815.fna.gz,vcholerae,1394,90,43,14,16,13,8,39
GCF_001860445.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348265.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_003348635.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_001252875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003347935.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348135.fna.gz,vcholerae,1277,155,88,14,128,7,128,35
GCF_003348465.fna.gz,vcholerae,-,8,,135,234,58,85,90
GCF_003348825.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_001184775.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348295.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348655.fna.gz,vcholerae,1106,89,274,28,98,44,1,231
GCF_000788655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402275.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_003056995.fna.gz,vcholerae,3,15,15,19,24,1,5,14
GCF_003057015.fna.gz,vcholerae,776,38,290,14,89,115,104,24
GCF_003057075.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_003063785.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003097695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003205685.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003347715.fna.gz,vcholerae,-,5,19,45,201,14,1,39
GCF_003347865.fna.gz,vcholerae,-,5,19,45,201,14,1,39
GCF_003348055.fna.gz,vcholerae,1074,36,79,188,57,14,1,75
GCF_003348235.fna.gz,vcholerae,-,5,43,196,3,14,9,128
GCF_003348585.fna.gz,vcholerae,-,8,,135,234,58,85,90
GCF_003348955.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_001252895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348305.fna.gz,vcholerae,-,137,227,21,94,157,129,
GCF_003348665.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_001186485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348335.fna.gz,vcholerae,-,5,19,45,201,14,1,39
GCF_003348675.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_000788675.fna.gz,vcholerae,758,44,278,1,4,1,8,207
GCF_001402285.fna.gz,vcholerae,1396,1,4,4,29,1,17,231
GCF_003057035.fna.gz,vcholerae,760,5,13,128,109,14,98,38
GCF_003057115.fna.gz,vcholerae,744,31,99,56,68,1,48,13
GCF_003096115.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_003205635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003205765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003347785.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_003347945.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348145.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348485.fna.gz,vcholerae,1074,36,79,188,57,14,1,75
GCF_003348835.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_001860465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348355.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348715.fna.gz,vcholerae,1268,75,123,73,87,60,1,223
GCF_000788695.fna.gz,vcholerae,-,11,37,4,12,,1,20
GCF_003205555.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003205705.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003347725.fna.gz,vcholerae,1270,5,9,14,51,53,1,47
GCF_003347895.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348065.fna.gz,vcholerae,1316,5,79,29,22,14,1,212
GCF_003348245.fna.gz,vcholerae,-,41,,45,18,6,1,
GCF_003348595.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_001247525.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348365.fna.gz,vcholerae,1299,1,201,21,3,13,9,39
GCF_003348735.fna.gz,vcholerae,-,48,104,7,49,13,129,
GCF_001253035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857165.fna.gz,vcholerae,735,124,16,22,21,25,8,204
GCF_001860485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348515.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348875.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_000788715.fna.gz,vcholerae,173,57,96,15,2,7,1,75
GCF_001402335.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_003057055.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_003057775.fna.gz,vcholerae,-,34,272,26,34,17,,26
GCF_003096135.fna.gz,vcholerae,-,5,273,146,237,14,1,12
GCF_003205655.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003260135.fna.gz,vcholerae,618,5,214,7,78,62,1,173
GCF_003347815.fna.gz,vcholerae,-,41,,45,18,6,1,
GCF_003347995.fna.gz,vcholerae,1277,155,88,14,128,7,128,35
GCF_003348175.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348535.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348885.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_001247835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348395.fna.gz,vcholerae,1265,114,214,164,117,60,1,90
GCF_003348745.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_001253055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348405.fna.gz,vcholerae,1277,155,88,14,128,7,128,35
GCF_003348755.fna.gz,vcholerae,-,58,,181,16,,1,
GCF_000788735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402365.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_001402375.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_001402415.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_003205735.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_003347755.fna.gz,vcholerae,1277,155,88,14,128,7,128,35
GCF_003347905.fna.gz,vcholerae,1330,88,59,14,117,14,56,154
GCF_003348095.fna.gz,vcholerae,1318,36,47,14,13,2,1,47
GCF_003348415.fna.gz,vcholerae,-,115,,1,49,2,1,68
GCF_003348795.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_000474965.fna.gz,vcholerae,740,36,40,14,30,110,14,4
GCF_003349245.fna.gz,vcholerae,-,130,437,14,190,3,9,214
GCF_003349585.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_003449135.fna.gz,vcholerae,336,76,115,14,18,57,1,101
GCF_004117115.fna.gz,vcholerae,1103,46,57,26,63,26,10,29
GCF_004121965.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001247885.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349155.fna.gz,vcholerae,-,1,64,15,57,7,,
GCF_003349335.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_003349665.fna.gz,vcholerae,-,130,287,14,3,14,,214
GCF_003585365.fna.gz,vcholerae,-,5,50,1,31,2,18,54
GCF_004121695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004358225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001253155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349045.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_003349115.fna.gz,vcholerae,-,90,285,,16,14,9,
GCF_003349195.fna.gz,vcholerae,-,1,130,14,,14,9,39
GCF_003349365.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_003349395.fna.gz,vcholerae,771,130,287,14,3,14,9,214
GCF_003349405.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_003349435.fna.gz,vcholerae,1398,92,36,109,66,51,9,45
GCF_003349475.fna.gz,vcholerae,-,1,130,14,3,13,,200
GCF_003349525.fna.gz,vcholerae,-,93,459,14,3,128,1,39
GCF_003349685.fna.gz,vcholerae,-,4,35,14,104,6,5,46
GCF_003585385.fna.gz,vcholerae,-,34,78,26,37,23,11,29
GCF_003585505.fna.gz,vcholerae,-,,,,12,7,,20
GCF_003716365.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_004121775.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349745.fna.gz,vcholerae,768,81,285,14,161,73,101,211
GCF_003585485.fna.gz,vcholerae,-,11,37,,,7,,20
GCF_004121835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004122005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004309965.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348995.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_003349055.fna.gz,vcholerae,-,1,130,14,3,13,,200
GCF_003349125.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_003349205.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_003349545.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_003349725.fna.gz,vcholerae,-,130,287,14,,14,,214
GCF_003585465.fna.gz,vcholerae,-,11,,,,7,,
GCF_003585535.fna.gz,vcholerae,-,,,,12,7,,
GCF_003716435.fna.gz,vcholerae,1258,67,50,14,39,24,72,123
GCF_004121875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004122015.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004310025.fna.gz,vcholerae,759,5,50,14,158,26,14,45
GCF_003349265.fna.gz,vcholerae,-,44,,109,3,,1,331
GCF_003349445.fna.gz,vcholerae,771,130,287,14,3,14,9,214
GCF_003349495.fna.gz,vcholerae,1394,90,43,14,16,13,8,39
GCF_003349715.fna.gz,vcholerae,771,130,287,14,3,14,9,214
GCF_003585405.fna.gz,vcholerae,-,5,162,1,30,12,6,40
GCF_004121735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004358245.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349275.fna.gz,vcholerae,769,5,47,29,22,14,1,212
GCF_003349615.fna.gz,vcholerae,-,1,130,14,,13,,200
GCF_003574155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003585545.fna.gz,vcholerae,-,,37,4,,7,,20
GCF_003591575.fna.gz,vcholerae,289,46,6,1,39,46,18,2
GCF_003594515.fna.gz,vcholerae,-,36,3,15,74,157,9,65
GCF_003716425.fna.gz,vcholerae,33,37,58,23,35,21,7,28
GCF_004121795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004122025.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004309765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_006802205.fna.gz,vcholerae,675,29,250,14,10,14,1,22
GCF_006802295.fna.gz,vcholerae,657,114,123,14,111,2,1,184
GCF_006802815.fna.gz,vcholerae,664,5,255,118,62,13,1,185
GCF_006802925.fna.gz,vcholerae,460,5,192,14,18,14,60,96
GCF_003349755.fna.gz,vcholerae,-,90,285,,16,14,9,
GCF_003716465.fna.gz,vcholerae,-,88,16,14,66,1,,207
GCF_004121895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003348965.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_003348985.fna.gz,vcholerae,-,90,285,,16,14,9,
GCF_003349035.fna.gz,vcholerae,768,81,285,14,161,73,101,211
GCF_003349065.fna.gz,vcholerae,1394,90,43,14,16,13,8,39
GCF_003349145.fna.gz,vcholerae,751,78,128,63,61,14,1,163
GCF_003349215.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_003349575.fna.gz,vcholerae,1404,55,188,14,107,6,8,75
GCF_003449075.fna.gz,vcholerae,336,76,115,14,18,57,1,101
GCF_003594505.fna.gz,vcholerae,-,41,211,46,109,1,1,20
GCF_003594565.fna.gz,vcholerae,-,41,211,46,109,1,1,20
GCF_004120565.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004121995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004123205.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004358285.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_006802245.fna.gz,vcholerae,480,80,118,49,78,62,51,47
GCF_006802865.fna.gz,vcholerae,670,5,201,14,92,86,1,188
GCF_006802915.fna.gz,vcholerae,669,81,257,120,61,61,1,181
GCF_003449115.fna.gz,vcholerae,336,76,115,14,18,57,1,101
GCF_003716505.fna.gz,vcholerae,1264,1,9,7,49,13,1,103
GCF_004121905.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349315.fna.gz,vcholerae,-,44,,109,3,,1,331
GCF_003349625.fna.gz,vcholerae,1398,92,36,109,66,51,9,45
GCF_003574775.fna.gz,vcholerae,562,5,50,45,14,26,14,40
GCF_004120685.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004310265.fna.gz,vcholerae,71,11,37,4,12,7,1,38
GCF_007624025.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003594535.fna.gz,vcholerae,328,23,47,52,89,1,6,43
GCF_003716515.fna.gz,vcholerae,-,5,,15,66,14,12,
GCF_004121915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004123215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004328575.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_006802255.fna.gz,vcholerae,653,111,251,46,2,13,1,93
GCF_006802345.fna.gz,vcholerae,654,38,252,72,10,77,1,93
GCF_006802905.fna.gz,vcholerae,8,27,56,11,19,11,1,4
GCF_003449125.fna.gz,vcholerae,336,76,115,14,18,57,1,101
GCF_003719755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004121945.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003349325.fna.gz,vcholerae,771,130,287,14,3,14,9,214
GCF_003349645.fna.gz,vcholerae,770,44,286,11,3,13,102,213
GCF_003585335.fna.gz,vcholerae,-,5,12,14,31,12,14,12
GCF_004121685.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004358215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624105.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004123225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004121805.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_006802275.fna.gz,vcholerae,655,114,251,14,111,2,1,180
GCF_006802285.fna.gz,vcholerae,656,111,253,116,140,2,1,183
GCF_004121815.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007623935.fna.gz,vcholerae,-,31,,56,68,1,48,13
GCF_007624435.fna.gz,vcholerae,164,5,94,14,69,55,8,10
GCF_007624715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083315.fna.gz,vcholerae,-,5,50,14,30,23,18,26
GCF_004801055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636125.fna.gz,vcholerae,-,41,227,14,,53,76,110
GCF_006802195.fna.gz,vcholerae,480,80,118,49,78,62,51,47
GCF_006802705.fna.gz,vcholerae,638,111,245,115,2,2,1,178
GCF_007623975.fna.gz,vcholerae,-,34,57,26,36,17,10,201
GCF_007624145.fna.gz,vcholerae,1431,34,57,23,36,17,10,201
GCF_007624295.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624615.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_006802155.fna.gz,vcholerae,674,111,245,65,78,101,1,93
GCF_006802375.fna.gz,vcholerae,650,115,247,117,78,2,1,65
GCF_006802485.fna.gz,vcholerae,645,113,247,7,109,1,9,179
GCF_006802715.fna.gz,vcholerae,635,41,243,49,78,1,1,176
GCF_006802945.fna.gz,vcholerae,667,1,256,14,54,100,94,187
GCF_007623785.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624305.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624625.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_004801065.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636155.fna.gz,vcholerae,-,41,227,14,,53,76,110
GCF_006802495.fna.gz,vcholerae,647,111,248,116,94,98,1,180
GCF_006802735.fna.gz,vcholerae,634,80,118,49,78,62,1,118
GCF_007623985.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_006802475.fna.gz,vcholerae,646,5,239,14,139,2,90,22
GCF_006802695.fna.gz,vcholerae,636,38,146,65,91,77,1,93
GCF_006802935.fna.gz,vcholerae,668,36,245,116,140,2,1,184
GCF_006803155.fna.gz,vcholerae,658,95,56,11,103,11,1,45
GCF_007623995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624515.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083325.fna.gz,vcholerae,-,5,33,45,30,26,1,45
GCF_004358295.fna.gz,vcholerae,167,31,93,56,68,56,48,13
GCF_004801035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636115.fna.gz,vcholerae,-,41,227,14,,53,76,110
GCF_006802145.fna.gz,vcholerae,673,41,258,7,38,1,96,1
GCF_006802685.fna.gz,vcholerae,-,110,244,114,144,102,1,177
GCF_007623805.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624195.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624475.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083215.fna.gz,vcholerae,160,5,97,3,30,12,14,26
GCF_006802355.fna.gz,vcholerae,653,111,251,46,2,13,1,93
GCF_006802395.fna.gz,vcholerae,651,116,246,14,61,61,1,181
GCF_006802545.fna.gz,vcholerae,644,80,118,49,78,62,1,47
GCF_006802785.fna.gz,vcholerae,646,5,239,14,139,2,90,22
GCF_006803005.fna.gz,vcholerae,666,36,201,14,38,53,16,98
GCF_007623875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636015.fna.gz,vcholerae,-,38,125,2,18,101,127,95
GCF_005636165.fna.gz,vcholerae,-,41,227,14,,53,76,110
GCF_006802555.fna.gz,vcholerae,643,112,246,14,61,61,1,22
GCF_006802795.fna.gz,vcholerae,633,41,242,14,138,57,89,173
GCF_007624005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624905.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624205.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083225.fna.gz,vcholerae,558,5,50,14,31,26,14,45
GCF_006802365.fna.gz,vcholerae,652,117,250,14,75,13,91,182
GCF_006802445.fna.gz,vcholerae,649,5,227,7,49,53,60,119
GCF_006802575.fna.gz,vcholerae,642,1,69,72,64,65,1,22
GCF_006802805.fna.gz,vcholerae,635,41,243,49,78,1,1,176
GCF_006803115.fna.gz,vcholerae,659,36,1,14,19,14,1,59
GCF_007623885.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624385.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624925.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636045.fna.gz,vcholerae,-,41,227,14,,53,76,110
GCF_005636175.fna.gz,vcholerae,-,38,125,2,18,101,127,95
GCF_006802595.fna.gz,vcholerae,635,41,243,49,78,1,1,176
GCF_007050355.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_007624215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624775.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083245.fna.gz,vcholerae,-,5,33,14,30,12,6,25
GCF_006802165.fna.gz,vcholerae,648,114,249,14,111,2,1,180
GCF_006802465.fna.gz,vcholerae,648,114,249,14,111,2,1,180
GCF_006802605.fna.gz,vcholerae,641,1,146,72,64,2,1,22
GCF_006803015.fna.gz,vcholerae,664,5,255,118,62,13,1,185
GCF_006803125.fna.gz,vcholerae,660,23,161,15,141,2,92,35
GCF_007623905.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624405.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624935.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636065.fna.gz,vcholerae,-,38,125,61,18,57,54,95
GCF_006802045.fna.gz,vcholerae,671,1,106,102,49,3,95,46
GCF_006802635.fna.gz,vcholerae,639,5,188,49,78,62,1,24
GCF_007050395.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_007624255.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624565.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624785.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083255.fna.gz,vcholerae,34,32,20,24,33,22,9,27
GCF_006803025.fna.gz,vcholerae,665,120,158,119,143,41,57,186
GCF_006803035.fna.gz,vcholerae,663,119,254,23,36,99,93,140
GCF_006803045.fna.gz,vcholerae,664,5,255,118,62,13,1,185
GCF_006803105.fna.gz,vcholerae,661,50,239,14,142,2,1,9
