Genome,Scheme,ST,tpi,ilv,gmk,pta,pur,pyc,glp
GCF_002559945.fna.gz,bcereus,-,144,14,28,12,37,36,47
GCF_002560105.fna.gz,bcereus,1961,7,49,28,44,2,36,40
GCF_002560325.fna.gz,bcereus,-,,294,68,,42,,
GCF_002560735.fna.gz,bcereus,-,,351,193,341,322,250,332
GCF_002561235.fna.gz,bcereus,-,172,223,116,36,207,144,215
GCF_002561715.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002562115.fna.gz,bcereus,-,103,252,78,169,164,143,219
GCF_002562465.fna.gz,bcereus,-,,223,116,322,336,107,213
GCF_002562795.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_001286825.fna.gz,bcereus,2108,42,1,199,1,1,37,65
GCF_002560915.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002561295.fna.gz,bcereus,-,106,,83,141,,125,142
GCF_002561805.fna.gz,bcereus,-,7,49,8,44,2,25,40
GCF_002562165.fna.gz,bcereus,-,7,14,28,26,86,25,47
GCF_002562555.fna.gz,bcereus,-,7,14,8,12,37,50,
GCF_002562985.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_001044475.fna.gz,bcereus,185,2,21,14,5,19,3,51
GCF_002559425.fna.gz,bcereus,2532,7,49,8,44,2,36,40
GCF_002559435.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002559495.fna.gz,bcereus,-,7,14,,26,,25,99
GCF_002559505.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002559565.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002559645.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002559735.fna.gz,bcereus,-,144,14,28,12,37,36,47
GCF_002559935.fna.gz,bcereus,-,,294,68,,42,,
GCF_002560095.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002560295.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002560715.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002561205.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002561655.fna.gz,bcereus,-,7,49,8,44,2,25,40
GCF_002562085.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002562445.fna.gz,bcereus,932,128,223,116,174,205,171,202
GCF_002562775.fna.gz,bcereus,-,103,,,,,,
GCF_001518875.fna.gz,bcereus,1946,7,9,8,81,9,12,13
GCF_002559685.fna.gz,bcereus,-,7,400,9,26,292,36,314
GCF_002559805.fna.gz,bcereus,-,12,356,5,357,223,154,17
GCF_002559985.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002560115.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002560375.fna.gz,bcereus,-,,411,,207,,,
GCF_002560775.fna.gz,bcereus,-,172,223,116,36,207,144,215
GCF_002561255.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002561725.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002562125.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002562495.fna.gz,bcereus,-,7,14,9,12,138,36,272
GCF_002562925.fna.gz,bcereus,-,7,14,8,329,20,50,40
GCF_001541995.fna.gz,bcereus,145,24,52,1,1,1,37,65
GCF_002559545.fna.gz,bcereus,-,144,14,28,12,37,36,47
GCF_002559595.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002559715.fna.gz,bcereus,-,7,14,9,26,138,36,272
GCF_002559865.fna.gz,bcereus,-,172,281,116,36,,144,215
GCF_002560035.fna.gz,bcereus,-,7,14,8,12,37,50,
GCF_002560145.fna.gz,bcereus,-,12,311,5,357,223,212,17
GCF_002560385.fna.gz,bcereus,-,7,14,8,26,2,50,
GCF_002560945.fna.gz,bcereus,-,,,116,322,336,107,213
GCF_002561355.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002561885.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002562215.fna.gz,bcereus,1150,7,13,8,19,2,17,33
GCF_002562575.fna.gz,bcereus,-,7,14,8,,,36,40
GCF_002563005.fna.gz,bcereus,946,80,117,53,71,209,93,81
GCF_002565225.fna.gz,bcereus,-,7,147,8,,2,36,40
GCF_002565315.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002565455.fna.gz,bcereus,-,271,,214,342,321,272,305
GCF_002565645.fna.gz,bcereus,-,7,14,8,12,2,50,7
GCF_002565765.fna.gz,bcereus,-,12,311,,3,223,248,17
GCF_002565895.fna.gz,bcereus,932,128,223,116,174,205,171,202
GCF_002566115.fna.gz,bcereus,-,,,,,,,
GCF_002566605.fna.gz,bcereus,2081,7,399,9,12,24,14,335
GCF_002566855.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002567375.fna.gz,bcereus,-,7,15,8,44,2,,40
GCF_001044485.fna.gz,bcereus,1150,7,13,8,19,2,17,33
GCF_002563025.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002563095.fna.gz,bcereus,-,5,33,138,55,298,38,24
GCF_002563195.fna.gz,bcereus,-,128,,,202,118,171,202
GCF_002563235.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002564355.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002564415.fna.gz,bcereus,2037,281,223,116,309,118,171,312
GCF_002564555.fna.gz,bcereus,705,103,186,78,169,164,143,158
GCF_002564605.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002564655.fna.gz,bcereus,-,128,223,116,306,118,107,213
GCF_002564695.fna.gz,bcereus,-,7,14,8,12,2,36,40
GCF_002564775.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002565035.fna.gz,bcereus,746,145,117,53,193,113,93,81
GCF_002565115.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002565235.fna.gz,bcereus,978,80,117,53,193,113,93,81
GCF_002565345.fna.gz,bcereus,-,,223,181,322,118,107,213
GCF_002565465.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002565655.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002565775.fna.gz,bcereus,-,106,,83,141,,,141
GCF_002565955.fna.gz,bcereus,-,128,,,202,118,171,202
GCF_002566185.fna.gz,bcereus,-,7,400,9,26,292,36,314
GCF_002566665.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002566885.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002567405.fna.gz,bcereus,-,7,14,8,329,20,50,40
GCF_001044555.fna.gz,bcereus,32,16,3,4,4,15,6,5
GCF_002563075.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002563125.fna.gz,bcereus,-,7,14,8,26,2,50,40
GCF_002563225.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002564345.fna.gz,bcereus,2053,128,187,116,306,118,171,202
GCF_002564375.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002564425.fna.gz,bcereus,-,7,14,8,26,2,50,
GCF_002564585.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002564625.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002564675.fna.gz,bcereus,-,128,223,116,322,118,107,213
GCF_002564745.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002564805.fna.gz,bcereus,-,7,14,8,329,20,50,40
GCF_002564815.fna.gz,bcereus,-,,,116,,,,
GCF_002564835.fna.gz,bcereus,-,7,14,28,12,,36,37
GCF_002564865.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002564885.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002564915.fna.gz,bcereus,-,128,223,116,223,118,107,
GCF_002564945.fna.gz,bcereus,-,307,,,207,346,,
GCF_002564965.fna.gz,bcereus,2037,281,223,116,309,118,171,312
GCF_002565005.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002565025.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002565055.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_002565175.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002565305.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002565425.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002565525.fna.gz,bcereus,-,17,146,8,19,341,17,20
GCF_002565565.fna.gz,bcereus,-,7,14,9,44,2,36,272
GCF_002565575.fna.gz,bcereus,-,7,,8,26,2,36,47
GCF_002565605.fna.gz,bcereus,-,,81,68,,42,,
GCF_002565615.fna.gz,bcereus,-,7,49,28,12,308,36,47
GCF_002565735.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002565885.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002566105.fna.gz,bcereus,-,172,281,116,,207,144,215
GCF_002566215.fna.gz,bcereus,-,,8,8,7,9,12,13
GCF_002566365.fna.gz,bcereus,2040,276,14,8,44,86,36,40
GCF_002566675.fna.gz,bcereus,1962,7,14,28,26,86,36,37
GCF_002566895.fna.gz,bcereus,1958,7,14,9,26,2,36,125
GCF_002567135.fna.gz,bcereus,-,12,311,5,357,223,212,17
GCF_002567215.fna.gz,bcereus,-,128,223,116,223,118,107,
GCF_002567465.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002565695.fna.gz,bcereus,610,115,157,85,144,143,130,146
GCF_002565815.fna.gz,bcereus,-,103,,78,,,,
GCF_002566005.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002566535.fna.gz,bcereus,-,12,356,5,3,223,248,17
GCF_002566825.fna.gz,bcereus,-,32,,193,56,322,250,
GCF_002567325.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002567525.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002567745.fna.gz,bcereus,-,12,311,5,357,223,248,17
GCF_002566225.fna.gz,bcereus,-,7,14,28,44,292,36,
GCF_002566455.fna.gz,bcereus,1955,7,14,28,12,37,25,99
GCF_002566775.fna.gz,bcereus,501,7,14,8,26,138,50,7
GCF_002567125.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002567145.fna.gz,bcereus,-,268,14,8,26,138,50,40
GCF_002567335.fna.gz,bcereus,-,172,223,116,36,207,144,215
GCF_002567535.fna.gz,bcereus,-,7,49,8,44,2,25,91
GCF_002565245.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002565405.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002565505.fna.gz,bcereus,-,7,14,8,12,2,36,40
GCF_002565685.fna.gz,bcereus,-,7,14,28,26,2,36,37
GCF_002565795.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002565965.fna.gz,bcereus,-,,223,116,36,207,144,215
GCF_002566205.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002566705.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002566925.fna.gz,bcereus,2035,7,396,8,329,20,36,338
GCF_002567415.fna.gz,bcereus,-,7,14,8,26,138,50,125
GCF_002567785.fna.gz,bcereus,-,296,,83,141,,,142
GCF_002567815.fna.gz,bcereus,-,7,,9,,2,36,31
GCF_002566255.fna.gz,bcereus,-,12,311,5,357,223,248,17
GCF_002566525.fna.gz,bcereus,-,80,,53,232,113,93,81
GCF_002566795.fna.gz,bcereus,-,7,14,9,,2,25,37
GCF_002567225.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002567475.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002565725.fna.gz,bcereus,-,37,,31,43,219,49,226
GCF_002565865.fna.gz,bcereus,-,7,14,8,12,,50,40
GCF_002566045.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002566595.fna.gz,bcereus,-,,351,193,341,322,250,332
GCF_002566845.fna.gz,bcereus,-,106,,83,365,,125,141
GCF_002567355.fna.gz,bcereus,-,7,14,8,26,2,50,7
GCF_002567555.fna.gz,bcereus,395,53,8,8,11,4,12,13
GCF_002567795.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002566725.fna.gz,bcereus,-,7,16,8,26,2,16,47
GCF_002567015.fna.gz,bcereus,-,7,400,9,26,292,36,314
GCF_002567185.fna.gz,bcereus,480,101,138,77,129,134,118,129
GCF_002567275.fna.gz,bcereus,-,32,351,193,56,,250,
GCF_002567495.fna.gz,bcereus,2086,263,387,206,353,287,254,340
GCF_002566755.fna.gz,bcereus,-,7,14,28,12,37,36,47
GCF_002567065.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002567445.fna.gz,bcereus,-,7,14,8,12,2,36,
GCF_002567835.fna.gz,bcereus,2040,276,14,8,44,86,36,40
GCF_002567915.fna.gz,bcereus,-,7,14,28,12,,36,37
GCF_002567985.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002568015.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002568095.fna.gz,bcereus,-,7,400,8,12,37,36,40
GCF_002568125.fna.gz,bcereus,-,7,,8,44,2,36,99
GCF_002568135.fna.gz,bcereus,-,7,14,28,26,2,36,37
GCF_002568145.fna.gz,bcereus,-,7,14,28,26,2,25,37
GCF_002568205.fna.gz,bcereus,-,128,,116,202,118,171,312
GCF_002568235.fna.gz,bcereus,2064,26,353,193,344,322,250,332
GCF_002568295.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002568375.fna.gz,bcereus,-,7,14,8,,2,36,40
GCF_002568445.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002568465.fna.gz,bcereus,-,106,,83,141,,,141
GCF_002568565.fna.gz,bcereus,-,7,14,28,26,2,36,37
GCF_002570415.fna.gz,bcereus,-,7,14,8,12,37,50,
GCF_002570465.fna.gz,bcereus,122,2,59,2,17,47,3,53
GCF_002570545.fna.gz,bcereus,-,7,14,8,26,2,36,47
GCF_002570665.fna.gz,bcereus,-,7,,9,12,,36,31
GCF_002570795.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002570875.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002570965.fna.gz,bcereus,-,12,311,5,3,223,212,17
GCF_002571035.fna.gz,bcereus,2055,128,223,181,322,118,107,213
GCF_002571165.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002571195.fna.gz,bcereus,-,12,356,5,357,223,212,17
GCF_002571855.fna.gz,bcereus,119,7,49,8,12,2,36,47
GCF_002574255.fna.gz,bcereus,-,12,311,5,357,223,212,17
GCF_002574405.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002574635.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002574885.fna.gz,bcereus,-,49,281,116,,207,144,215
GCF_002575085.fna.gz,bcereus,-,,411,,207,,,
GCF_002575205.fna.gz,bcereus,-,,,177,,,,
GCF_002575355.fna.gz,bcereus,-,7,14,8,26,2,50,40
GCF_002575505.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002575595.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002575795.fna.gz,bcereus,-,7,14,8,26,138,50,125
GCF_002575935.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002576045.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002576165.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002576275.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002576445.fna.gz,bcereus,1958,7,14,9,26,2,36,125
GCF_002576595.fna.gz,bcereus,-,,,,,,,
GCF_002576795.fna.gz,bcereus,-,307,,,207,346,,
GCF_002576955.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002577125.fna.gz,bcereus,102,37,45,31,43,45,49,49
GCF_002567595.fna.gz,bcereus,-,172,223,116,,207,144,215
GCF_002567605.fna.gz,bcereus,-,7,14,8,12,37,50,
GCF_002567705.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002574175.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002574345.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002574515.fna.gz,bcereus,-,7,14,,26,,25,99
GCF_002574855.fna.gz,bcereus,-,142,14,,12,37,50,172
GCF_002574975.fna.gz,bcereus,-,7,14,28,26,2,25,37
GCF_002575155.fna.gz,bcereus,-,7,14,8,26,2,36,47
GCF_002575245.fna.gz,bcereus,-,128,223,116,322,118,107,213
GCF_002575435.fna.gz,bcereus,-,128,223,,223,118,107,213
GCF_002575555.fna.gz,bcereus,-,49,223,116,170,207,144,215
GCF_002575715.fna.gz,bcereus,1188,10,262,8,11,227,15,20
GCF_002575835.fna.gz,bcereus,-,7,14,8,,2,36,40
GCF_002575965.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002576095.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002576225.fna.gz,bcereus,-,7,,8,26,2,36,47
GCF_002576365.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002576535.fna.gz,bcereus,-,80,,53,232,113,93,81
GCF_002576725.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002576845.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002577105.fna.gz,bcereus,2037,281,223,116,309,118,171,312
GCF_002567665.fna.gz,bcereus,-,80,,53,193,113,93,81
GCF_002567725.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002574285.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002574415.fna.gz,bcereus,-,7,14,8,26,138,50,272
GCF_002574715.fna.gz,bcereus,1959,7,166,8,26,2,36,40
GCF_002574955.fna.gz,bcereus,610,115,157,85,144,143,130,146
GCF_002575135.fna.gz,bcereus,-,7,8,8,195,9,12,13
GCF_002575215.fna.gz,bcereus,23,13,7,7,2,5,8,15
GCF_002575405.fna.gz,bcereus,-,7,14,9,26,2,36,272
GCF_002575515.fna.gz,bcereus,2042,274,14,9,12,24,14,37
GCF_002575635.fna.gz,bcereus,1150,7,13,8,19,2,17,33
GCF_002575815.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002575955.fna.gz,bcereus,-,,,116,322,336,107,213
GCF_002576065.fna.gz,bcereus,610,115,157,85,144,143,130,146
GCF_002576185.fna.gz,bcereus,1958,7,14,9,26,2,36,125
GCF_002576345.fna.gz,bcereus,119,7,49,8,12,2,36,47
GCF_002576465.fna.gz,bcereus,-,7,49,8,12,2,36,
GCF_002576695.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002576825.fna.gz,bcereus,-,7,,8,12,2,36,346
GCF_002577085.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002577165.fna.gz,bcereus,-,,351,193,56,322,250,332
GCF_002567675.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002568265.fna.gz,bcereus,-,7,14,9,95,12,14,31
GCF_002568365.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002568425.fna.gz,bcereus,-,222,356,175,3,223,284,17
GCF_002568455.fna.gz,bcereus,2146,7,14,207,18,20,19,91
GCF_002568505.fna.gz,bcereus,-,47,33,22,37,298,38,24
GCF_002569335.fna.gz,bcereus,-,37,133,152,285,,114,126
GCF_002570425.fna.gz,bcereus,-,,49,8,26,2,50,99
GCF_002570485.fna.gz,bcereus,-,,,116,,,,
GCF_002570565.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002570745.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002570845.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002570945.fna.gz,bcereus,-,7,,8,12,2,36,346
GCF_002570985.fna.gz,bcereus,1955,7,14,28,12,37,25,99
GCF_002571085.fna.gz,bcereus,74,32,37,27,41,40,42,42
GCF_002571185.fna.gz,bcereus,1947,7,14,9,12,24,14,11
GCF_002571255.fna.gz,bcereus,1960,7,15,28,44,2,36,40
GCF_002574205.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002574395.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002574615.fna.gz,bcereus,-,7,400,9,26,292,36,314
GCF_002574875.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002575055.fna.gz,bcereus,-,49,281,116,170,207,144,215
GCF_002575175.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002575275.fna.gz,bcereus,-,7,14,8,26,2,36,47
GCF_002575495.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002575565.fna.gz,bcereus,-,7,14,8,26,2,50,40
GCF_002575765.fna.gz,bcereus,-,7,14,8,12,2,36,40
GCF_002575855.fna.gz,bcereus,-,172,223,116,36,207,144,215
GCF_002576005.fna.gz,bcereus,-,7,49,8,44,2,25,40
GCF_002576155.fna.gz,bcereus,25,7,16,8,13,2,16,30
GCF_002576265.fna.gz,bcereus,-,7,88,8,12,2,36,47
GCF_002576395.fna.gz,bcereus,1319,208,166,8,26,2,36,40
GCF_002576575.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002576745.fna.gz,bcereus,-,80,,53,193,113,93,81
GCF_002576865.fna.gz,bcereus,501,7,14,8,26,138,50,7
GCF_002577115.fna.gz,bcereus,1955,7,14,28,12,37,25,99
GCF_002577175.fna.gz,bcereus,-,7,,8,12,2,36,346
GCF_002577205.fna.gz,bcereus,-,7,14,,26,,25,99
GCF_002577245.fna.gz,bcereus,-,7,76,9,18,20,35,91
GCF_002577285.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002577335.fna.gz,bcereus,-,7,14,9,26,2,36,40
GCF_002577365.fna.gz,bcereus,-,79,,,,,,
GCF_002577375.fna.gz,bcereus,-,80,,53,193,113,93,81
GCF_002577405.fna.gz,bcereus,-,102,138,77,131,134,118,
GCF_002577415.fna.gz,bcereus,959,7,14,9,18,20,14,37
GCF_002577455.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002577465.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002577545.fna.gz,bcereus,2049,179,149,133,229,328,122,59
GCF_002577665.fna.gz,bcereus,746,145,117,53,193,113,93,81
GCF_002577705.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002577745.fna.gz,bcereus,-,105,150,82,138,,123,137
GCF_002577755.fna.gz,bcereus,2086,263,387,206,353,287,254,340
GCF_002577895.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002577915.fna.gz,bcereus,-,49,223,116,36,207,144,215
GCF_002578045.fna.gz,bcereus,-,,,,,,,
GCF_002578195.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002578255.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002578325.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002578335.fna.gz,bcereus,-,7,49,28,12,308,36,47
GCF_002578405.fna.gz,bcereus,1963,7,14,8,26,138,50,40
GCF_002578425.fna.gz,bcereus,-,32,351,193,56,,250,
GCF_002578475.fna.gz,bcereus,-,,223,116,322,336,107,213
GCF_002578485.fna.gz,bcereus,746,145,117,53,193,113,93,81
GCF_002578545.fna.gz,bcereus,-,7,14,28,12,86,36,37
GCF_002578565.fna.gz,bcereus,-,142,14,8,12,2,50,47
GCF_002578635.fna.gz,bcereus,-,7,,8,12,2,36,346
GCF_002579585.fna.gz,bcereus,783,37,228,120,209,4,114,126
GCF_002582385.fna.gz,bcereus,-,7,14,28,26,2,,47
GCF_002582395.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002582445.fna.gz,bcereus,-,12,356,5,357,223,212,17
GCF_002582595.fna.gz,bcereus,-,163,227,115,200,,170,274
GCF_002582665.fna.gz,bcereus,1216,7,14,28,248,2,50,46
GCF_002582745.fna.gz,bcereus,934,128,223,116,223,118,107,213
GCF_002582825.fna.gz,bcereus,-,,294,68,,42,,
GCF_002582935.fna.gz,bcereus,-,7,14,8,12,37,50,
GCF_002582955.fna.gz,bcereus,2055,128,223,181,322,118,107,213
GCF_002582965.fna.gz,bcereus,-,7,14,9,,2,25,37
GCF_002583125.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002583275.fna.gz,bcereus,2055,128,223,181,322,118,107,213
GCF_002583305.fna.gz,bcereus,1949,7,44,8,19,2,17,33
GCF_002583515.fna.gz,bcereus,-,106,,83,141,,125,142
GCF_002583535.fna.gz,bcereus,2040,276,14,8,44,86,36,40
GCF_002583705.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002583755.fna.gz,bcereus,-,32,,27,41,,42,42
GCF_002584035.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002584075.fna.gz,bcereus,2048,261,311,5,3,223,212,17
GCF_002584345.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002584465.fna.gz,bcereus,2079,7,13,8,19,289,17,33
GCF_002584535.fna.gz,bcereus,-,,375,184,,,,299
GCF_002584695.fna.gz,bcereus,2061,32,351,193,341,322,250,332
GCF_002584775.fna.gz,bcereus,1958,7,14,9,26,2,36,125
GCF_002585165.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002585595.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002585765.fna.gz,bcereus,-,7,147,8,44,2,,40
GCF_002586115.fna.gz,bcereus,-,,14,8,12,37,50,
GCF_002586285.fna.gz,bcereus,-,7,14,9,95,12,14,31
GCF_002807445.fna.gz,bcereus,1969,10,263,8,11,9,12,13
GCF_002911655.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_003298655.fna.gz,bcereus,2182,251,29,203,11,60,35,14
GCF_002584065.fna.gz,bcereus,2049,179,149,133,229,328,122,59
GCF_002584305.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002584675.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002584765.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002585005.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002585495.fna.gz,bcereus,616,80,117,53,71,113,93,81
GCF_002585695.fna.gz,bcereus,1953,7,49,8,12,2,25,11
GCF_002585905.fna.gz,bcereus,1450,18,104,87,69,103,202,218
GCF_002586265.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002807165.fna.gz,bcereus,-,7,,8,7,9,12,12
GCF_002807175.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002807215.fna.gz,bcereus,1083,185,36,8,30,41,17,96
GCF_002807235.fna.gz,bcereus,2148,3,329,4,4,204,6,6
GCF_002807505.fna.gz,bcereus,127,3,53,4,4,16,6,6
GCF_002952815.fna.gz,bcereus,2149,3,330,148,315,69,237,55
GCF_003151095.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_003270015.fna.gz,bcereus,-,3,,182,,305,237,76
GCF_002585955.fna.gz,bcereus,-,7,14,9,,2,25,37
GCF_002586275.fna.gz,bcereus,-,32,,77,,,118,
GCF_002807415.fna.gz,bcereus,-,10,,8,14,11,12,12
GCF_002896915.fna.gz,bcereus,2184,253,21,2,5,19,3,51
GCF_003151055.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_007667665.fna.gz,bcereus,177,10,9,47,11,68,12,13
GCF_007673075.fna.gz,bcereus,-,7,14,9,12,12,,37
GCF_005217235.fna.gz,bcereus,59,7,30,9,18,20,21,22
GCF_002976395.fna.gz,bcereus,1985,43,83,1,1,55,37,342
GCF_008923585.fna.gz,bcereus,1265,13,7,7,2,93,26,15
GCF_008923675.fna.gz,bcereus,1265,13,7,7,2,93,26,15
GCF_002807265.fna.gz,bcereus,493,7,13,8,10,2,17,12
GCF_002811445.fna.gz,bcereus,104,19,33,12,37,48,31,24
GCF_003004435.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_003265185.fna.gz,bcereus,139,7,14,8,12,12,36,50
GCF_003270025.fna.gz,bcereus,-,,21,,5,19,3,19
