Genome,Scheme,ST,dnaE,pntA,pyrC,recA,tnaA,gyrB,dtdS
GCF_001595575.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001608575.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_000732995.fna.gz,vparahaemolyticus,1183,28,28,10,70,23,25,369
GCF_001609175.fna.gz,vparahaemolyticus,1060,224,4,238,273,68,90,19
GCF_001609435.fna.gz,vparahaemolyticus,199,22,8,19,17,14,28,13
GCF_001728345.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_001895635.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895685.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895705.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001913785.fna.gz,vparahaemolyticus,2408,83,26,3,44,1,188,117
GCF_002014005.fna.gz,vparahaemolyticus,1914,373,18,27,370,26,141,232
GCF_002072835.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001270815.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000972035.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001726975.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_002072845.fna.gz,vparahaemolyticus,59,36,23,21,1,16,15,25
GCF_001634245.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707265.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_000736315.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_000736345.fna.gz,vparahaemolyticus,247,116,45,62,72,26,149,76
GCF_001601695.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001608605.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001609345.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001609475.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001728375.fna.gz,vparahaemolyticus,1713,12,125,5,62,154,275,27
GCF_001913695.fna.gz,vparahaemolyticus,-,35,80,3,,57,138,116
GCF_001951115.fna.gz,vparahaemolyticus,1682,350,28,190,349,24,476,375
GCF_002018565.fna.gz,vparahaemolyticus,28,17,24,16,13,20,16,7
GCF_002073025.fna.gz,vparahaemolyticus,793,242,31,165,195,17,16,187
GCF_001270825.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002014015.fna.gz,vparahaemolyticus,1915,28,26,415,116,61,144,252
GCF_002072875.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000972045.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001726985.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_002072885.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707285.fna.gz,vparahaemolyticus,810,28,26,177,116,61,144,138
GCF_001634165.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001682175.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000736325.fna.gz,vparahaemolyticus,114,55,18,58,31,46,15,55
GCF_001608505.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001608595.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001913745.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001998785.fna.gz,vparahaemolyticus,-,5,17,25,27,10,,13
GCF_002018695.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_002144515.fna.gz,vparahaemolyticus,430,5,4,11,19,24,25,61
GCF_001270885.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002014055.fna.gz,vparahaemolyticus,1913,363,30,303,218,26,505,442
GCF_002072925.fna.gz,vparahaemolyticus,98,14,27,11,49,13,30,11
GCF_000972055.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001609185.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001609445.fna.gz,vparahaemolyticus,1060,224,4,238,273,68,90,19
GCF_001727045.fna.gz,vparahaemolyticus,739,17,33,137,235,94,331,23
GCF_002073775.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000736335.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_001634185.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_002072975.fna.gz,vparahaemolyticus,966,12,26,37,25,132,312,342
GCF_001608545.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707305.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_001913735.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001975475.fna.gz,vparahaemolyticus,1140,19,136,11,295,13,295,223
GCF_002018625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002114585.fna.gz,vparahaemolyticus,1166,297,4,101,89,73,124,13
GCF_000972105.fna.gz,vparahaemolyticus,141,31,3,91,22,68,115,12
GCF_001270215.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001270895.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002018635.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_002114595.fna.gz,vparahaemolyticus,1166,297,4,101,89,73,124,13
GCF_001609375.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001727025.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_001996365.fna.gz,vparahaemolyticus,1913,363,30,303,218,26,505,442
GCF_002018645.fna.gz,vparahaemolyticus,445,137,122,11,3,131,238,194
GCF_002114605.fna.gz,vparahaemolyticus,1525,111,20,171,22,24,5,34
GCF_000786835.fna.gz,vparahaemolyticus,546,84,139,37,19,144,149,46
GCF_002221015.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221425.fna.gz,vparahaemolyticus,12,9,4,10,15,26,21,13
GCF_001608705.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_000707325.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002150465.fna.gz,vparahaemolyticus,2152,31,19,221,135,26,131,91
GCF_002198175.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198445.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209765.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221185.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_002880015.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_000972125.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001609495.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002144625.fna.gz,vparahaemolyticus,614,5,26,11,144,24,71,162
GCF_002153925.fna.gz,vparahaemolyticus,1251,5,152,318,173,23,303,373
GCF_002198255.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198525.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002220905.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221285.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_000786845.fna.gz,vparahaemolyticus,634,7,6,18,4,26,302,26
GCF_002198395.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209625.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221065.fna.gz,vparahaemolyticus,1716,94,3,166,31,69,114,105
GCF_002238235.fna.gz,vparahaemolyticus,1127,60,203,50,25,99,106,358
GCF_000707345.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_002153875.fna.gz,vparahaemolyticus,114,55,18,58,31,46,15,55
GCF_002198185.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198475.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209775.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221225.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_002880025.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_000974905.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001609515.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002144645.fna.gz,vparahaemolyticus,1112,284,23,326,293,132,343,191
GCF_002153945.fna.gz,vparahaemolyticus,1246,36,102,5,44,37,131,67
GCF_002198275.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198555.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002220915.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221305.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_000786855.fna.gz,vparahaemolyticus,430,5,4,11,19,24,25,61
GCF_002198415.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209665.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221075.fna.gz,vparahaemolyticus,809,215,48,232,144,26,344,76
GCF_002504185.fna.gz,vparahaemolyticus,1842,69,225,91,69,24,92,114
GCF_000707365.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_002153895.fna.gz,vparahaemolyticus,2160,4,18,9,11,61,13,38
GCF_002198195.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198485.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209785.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221245.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_002880035.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_000975195.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002144535.fna.gz,vparahaemolyticus,430,5,4,11,19,24,25,61
GCF_002150155.fna.gz,vparahaemolyticus,342,5,2,142,31,106,106,13
GCF_002153975.fna.gz,vparahaemolyticus,1805,47,79,45,166,26,91,46
GCF_002198295.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198565.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002220925.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221325.fna.gz,vparahaemolyticus,324,20,7,3,15,5,25,13
GCF_000877405.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002154015.fna.gz,vparahaemolyticus,-,5,18,37,,26,88,
GCF_002198305.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198575.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002220935.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221345.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000707385.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001608615.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209675.fna.gz,vparahaemolyticus,-,222,46,236,21,12,,69
GCF_002221085.fna.gz,vparahaemolyticus,194,97,78,99,101,47,127,29
GCF_002775145.fna.gz,vparahaemolyticus,-,,279,3,75,2,,8
GCF_001006105.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_002144555.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002150175.fna.gz,vparahaemolyticus,1733,302,18,340,286,37,133,422
GCF_002154055.fna.gz,vparahaemolyticus,-,252,46,273,31,17,104,278
GCF_002198335.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198615.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002220985.fna.gz,vparahaemolyticus,-,222,46,236,107,12,128,69
GCF_002221365.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000786865.fna.gz,vparahaemolyticus,633,31,50,37,19,24,301,88
GCF_001608655.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198215.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198515.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002210265.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221265.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_002880075.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_000707405.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001608675.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209685.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221145.fna.gz,vparahaemolyticus,162,47,50,37,53,26,58,19
GCF_002803235.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_001006115.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_002144575.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002150185.fna.gz,vparahaemolyticus,-,112,23,339,307,54,104,
GCF_002198055.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198355.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209595.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002220995.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221385.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000813305.fna.gz,vparahaemolyticus,1,5,17,25,27,10,52,13
GCF_001608685.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209725.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221165.fna.gz,vparahaemolyticus,324,20,7,3,15,5,25,13
GCF_002807115.fna.gz,vparahaemolyticus,2123,144,23,55,187,274,401,76
GCF_000707425.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002144585.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_002150315.fna.gz,vparahaemolyticus,396,9,2,46,165,1,213,185
GCF_002198075.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198375.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209605.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221005.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221395.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001006125.fna.gz,vparahaemolyticus,141,31,3,91,22,68,115,12
GCF_002150335.fna.gz,vparahaemolyticus,396,9,2,46,165,1,213,185
GCF_002198135.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002198435.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002209735.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002221175.fna.gz,vparahaemolyticus,110,17,44,28,52,36,57,23
GCF_002859065.fna.gz,vparahaemolyticus,-,11,50,47,113,157,530,201
GCF_006368365.fna.gz,vparahaemolyticus,-,302,28,,,12,87,152
GCF_000878575.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_006368215.fna.gz,vparahaemolyticus,478,185,26,18,73,37,226,19
GCF_006368495.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000707445.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002880085.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880135.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_002880195.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880255.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_002880315.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880375.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880435.fna.gz,vparahaemolyticus,1911,248,26,10,155,9,467,410
GCF_002880495.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_003056675.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003085735.fna.gz,vparahaemolyticus,1166,297,4,101,89,73,124,13
GCF_003337295.fna.gz,vparahaemolyticus,-,,,,,,,
GCF_003612695.fna.gz,vparahaemolyticus,2482,10,165,89,239,217,388,13
GCF_004121085.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004194515.fna.gz,vparahaemolyticus,2513,351,290,182,62,187,571,19
GCF_006368225.fna.gz,vparahaemolyticus,-,2,26,83,72,23,,94
GCF_006368505.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000878585.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_006368235.fna.gz,vparahaemolyticus,-,,,95,30,33,,224
GCF_006368545.fna.gz,vparahaemolyticus,-,3,31,45,101,26,,112
GCF_000707465.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002880175.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_002880225.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_002880295.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880355.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880415.fna.gz,vparahaemolyticus,1911,248,26,10,155,9,467,410
GCF_002880475.fna.gz,vparahaemolyticus,1911,248,26,10,155,9,467,410
GCF_002880535.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_003076895.fna.gz,vparahaemolyticus,-,289,20,332,,2,5,277
GCF_003186805.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_003408935.fna.gz,vparahaemolyticus,490,118,50,184,72,54,253,76
GCF_004028465.fna.gz,vparahaemolyticus,813,33,176,52,93,194,261,151
GCF_004121285.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_006368175.fna.gz,vparahaemolyticus,96,35,29,66,16,42,4,50
GCF_006368375.fna.gz,vparahaemolyticus,-,3,29,4,19,22,4,
GCF_000878595.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_004121115.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_006124855.fna.gz,vparahaemolyticus,1931,171,4,420,113,23,222,126
GCF_006368335.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368705.fna.gz,vparahaemolyticus,-,103,31,52,25,23,403,
GCF_000707485.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_002880095.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880155.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880215.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880275.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_002880335.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880385.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880455.fna.gz,vparahaemolyticus,1912,273,26,79,104,212,41,135
GCF_002880505.fna.gz,vparahaemolyticus,1915,28,26,415,116,61,144,252
GCF_002880555.fna.gz,vparahaemolyticus,1914,373,18,27,370,26,141,232
GCF_002880575.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_003047085.fna.gz,vparahaemolyticus,2484,29,30,18,409,46,339,123
GCF_003056665.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003057315.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003186355.fna.gz,vparahaemolyticus,2480,5,63,159,115,84,560,74
GCF_003408905.fna.gz,vparahaemolyticus,-,31,,212,135,,106,74
GCF_004006515.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_004121175.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004121185.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004121195.fna.gz,vparahaemolyticus,2012,27,50,425,61,44,324,343
GCF_004121225.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004324495.fna.gz,vparahaemolyticus,114,55,18,58,31,46,15,55
GCF_006368255.fna.gz,vparahaemolyticus,-,35,29,,16,42,4,50
GCF_006368565.fna.gz,vparahaemolyticus,-,96,26,11,31,34,,35
GCF_006368595.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368725.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003798505.fna.gz,vparahaemolyticus,-,17,,33,13,19,327,36
GCF_004121235.fna.gz,vparahaemolyticus,390,118,46,111,119,12,87,117
GCF_006124955.fna.gz,vparahaemolyticus,1931,171,4,420,113,23,222,126
GCF_006368345.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368755.fna.gz,vparahaemolyticus,-,356,244,3,62,2,481,419
GCF_006369285.fna.gz,vparahaemolyticus,398,165,39,11,70,115,22,177
GCF_006369365.fna.gz,vparahaemolyticus,-,,,46,194,143,127,89
GCF_002880595.fna.gz,vparahaemolyticus,1914,373,18,27,370,26,141,232
GCF_003056625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003056745.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003119375.fna.gz,vparahaemolyticus,-,289,20,332,,2,5,277
GCF_003351885.fna.gz,vparahaemolyticus,150,19,48,11,61,26,74,68
GCF_003612715.fna.gz,vparahaemolyticus,2514,15,1,3,30,9,11,185
GCF_004121095.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004324655.fna.gz,vparahaemolyticus,2524,152,214,54,418,14,57,14
GCF_006368265.fna.gz,vparahaemolyticus,2042,307,26,350,314,51,16,455
GCF_006368575.fna.gz,vparahaemolyticus,-,71,177,11,,47,345,167
GCF_006370805.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006370855.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368625.fna.gz,vparahaemolyticus,-,,149,46,31,,,171
GCF_006368385.fna.gz,vparahaemolyticus,85,5,4,11,19,24,4,45
GCF_006371465.fna.gz,vparahaemolyticus,693,3,2,46,61,2,230,268
GCF_006371495.fna.gz,vparahaemolyticus,847,148,127,101,74,202,355,19
GCF_006368415.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006369315.fna.gz,vparahaemolyticus,-,140,18,9,11,23,326,
GCF_006369335.fna.gz,vparahaemolyticus,-,178,28,8,,24,272,206
GCF_002887545.fna.gz,vparahaemolyticus,247,116,45,62,72,26,149,76
GCF_003056645.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003057295.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003174825.fna.gz,vparahaemolyticus,864,3,2,245,61,2,230,268
GCF_003408895.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_003691525.fna.gz,vparahaemolyticus,809,215,48,232,144,26,344,76
GCF_004121105.fna.gz,vparahaemolyticus,2013,11,26,424,373,93,277,450
GCF_004923355.fna.gz,vparahaemolyticus,-,44,,25,30,,256,129
GCF_006368305.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368645.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006370835.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006370895.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368425.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368635.fna.gz,vparahaemolyticus,-,173,28,82,,2,243,200
GCF_006368665.fna.gz,vparahaemolyticus,1743,112,26,8,61,57,8,425
GCF_006372145.fna.gz,vparahaemolyticus,1530,44,6,5,59,52,111,397
GCF_006372155.fna.gz,vparahaemolyticus,918,29,4,18,75,46,339,123
GCF_006371485.fna.gz,vparahaemolyticus,1825,10,50,85,62,2,1,95
GCF_006368435.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006369325.fna.gz,vparahaemolyticus,-,140,18,9,11,23,326,
GCF_006369355.fna.gz,vparahaemolyticus,-,82,142,,325,57,,459
GCF_006368485.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006368815.fna.gz,vparahaemolyticus,-,,18,157,194,23,466,19
GCF_006368915.fna.gz,vparahaemolyticus,2347,291,18,3,25,51,129,39
GCF_006369095.fna.gz,vparahaemolyticus,-,,60,134,31,24,116,19
GCF_006369665.fna.gz,vparahaemolyticus,-,118,50,,72,54,253,76
GCF_006370945.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371015.fna.gz,vparahaemolyticus,-,60,28,,210,159,104,126
GCF_006371215.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371755.fna.gz,vparahaemolyticus,-,5,63,26,115,84,84,74
GCF_006370655.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371235.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371835.fna.gz,vparahaemolyticus,809,215,48,232,144,26,344,76
GCF_006372165.fna.gz,vparahaemolyticus,-,26,,11,81,,109,
GCF_006372305.fna.gz,vparahaemolyticus,817,48,140,7,41,108,5,299
GCF_006370685.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371265.fna.gz,vparahaemolyticus,848,251,174,278,63,17,235,311
GCF_006371545.fna.gz,vparahaemolyticus,362,36,102,45,44,37,194,168
GCF_006371655.fna.gz,vparahaemolyticus,1790,9,49,85,62,20,1,296
GCF_006371915.fna.gz,vparahaemolyticus,-,338,113,41,80,132,,66
GCF_006368955.fna.gz,vparahaemolyticus,-,179,125,5,117,26,403,27
GCF_006369185.fna.gz,vparahaemolyticus,66,42,35,38,3,31,25,40
GCF_006369535.fna.gz,vparahaemolyticus,66,42,35,38,3,31,25,40
GCF_006370575.fna.gz,vparahaemolyticus,1249,44,4,3,257,238,58,371
GCF_006371125.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371455.fna.gz,vparahaemolyticus,-,341,26,170,31,46,51,82
GCF_006372045.fna.gz,vparahaemolyticus,-,100,48,78,15,,159,
GCF_006368995.fna.gz,vparahaemolyticus,-,188,2,3,199,1,106,67
GCF_006369195.fna.gz,vparahaemolyticus,-,270,,238,,26,544,330
GCF_006370785.fna.gz,vparahaemolyticus,-,100,31,62,31,48,104,159
GCF_006371395.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006371945.fna.gz,vparahaemolyticus,-,60,61,27,133,26,276,145
GCF_006372185.fna.gz,vparahaemolyticus,-,26,,244,25,,41,89
GCF_006372365.fna.gz,vparahaemolyticus,-,,50,47,31,17,403,125
GCF_006370715.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371275.fna.gz,vparahaemolyticus,-,173,28,82,73,2,243,
GCF_006371565.fna.gz,vparahaemolyticus,-,79,4,69,222,17,499,27
GCF_006371685.fna.gz,vparahaemolyticus,800,214,61,14,3,23,342,297
GCF_006371955.fna.gz,vparahaemolyticus,-,182,50,147,,23,,293
GCF_006369005.fna.gz,vparahaemolyticus,-,182,47,104,44,71,52,53
GCF_006369205.fna.gz,vparahaemolyticus,-,381,99,206,335,2,104,224
GCF_006369545.fna.gz,vparahaemolyticus,-,,,128,118,,130,
