Genome,Scheme,ST,ddl,gdh,atpA,gyd,adk,pstS,purK
GCF_002949075.fna.gz,efaecium,200,2,1,9,1,1,33,3
GCF_002949115.fna.gz,efaecium,422,2,6,2,1,1,1,6
GCF_002848685.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002442445.fna.gz,efaecium,6,2,1,4,1,5,1,9
GCF_002630965.fna.gz,efaecium,-,5,1,43,1,1,1,1
GCF_002630975.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_003719355.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003719365.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_001059995.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003323475.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003323535.fna.gz,efaecium,280,3,1,1,1,1,1,1
GCF_001057285.fna.gz,efaecium,-,12,1,7,5,5,1,1
GCF_003350715.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_003350765.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_002944955.fna.gz,efaecium,163,13,9,5,8,6,37,15
GCF_002948045.fna.gz,efaecium,446,2,1,9,1,1,1,3
GCF_002948075.fna.gz,efaecium,284,2,1,9,1,5,1,6
GCF_003268205.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003268245.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002948675.fna.gz,efaecium,-,3,1,5,1,1,33,6
GCF_003335865.fna.gz,efaecium,-,2,1,,1,1,1,44
GCF_003346195.fna.gz,efaecium,39,6,4,6,3,2,3,4
GCF_002973795.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002944515.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002631325.fna.gz,efaecium,1332,4,10,14,1,5,1,6
GCF_002859025.fna.gz,efaecium,-,1,1,9,12,1,,1
GCF_003938025.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003938065.fna.gz,efaecium,-,1,1,7,12,1,,1
GCF_002140215.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_002750905.fna.gz,efaecium,-,2,1,15,1,28,20,44
GCF_002761275.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003320075.fna.gz,efaecium,462,2,6,5,1,1,33,6
GCF_003323545.fna.gz,efaecium,969,1,1,1,1,1,7,44
GCF_003172835.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_003333365.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003335715.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003320485.fna.gz,efaecium,38,5,3,2,4,1,4,5
GCF_001547335.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002944115.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_002944125.fna.gz,efaecium,100,13,18,5,10,6,26,17
GCF_002119065.fna.gz,efaecium,750,1,1,1,1,1,20,44
GCF_002946955.fna.gz,efaecium,130,4,12,8,1,5,1,9
GCF_002947485.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_001562925.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003796925.fna.gz,efaecium,236,2,6,9,1,1,1,6
GCF_003797005.fna.gz,efaecium,-,2,6,,1,1,7,6
GCF_001025315.fna.gz,efaecium,-,13,8,13,6,6,109,8
GCF_001547015.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_001547025.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002005825.fna.gz,efaecium,963,2,1,15,1,1,11,44
GCF_002005875.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_001545495.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003796305.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_003796405.fna.gz,efaecium,-,2,6,,1,1,7,6
GCF_003938035.fna.gz,efaecium,612,1,1,9,5,1,1,1
GCF_003938105.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_001455425.fna.gz,efaecium,545,4,12,14,1,5,1,6
GCF_001721025.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001721065.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003796725.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_003796745.fna.gz,efaecium,-,13,18,5,8,6,,17
GCF_002947255.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_001547155.fna.gz,efaecium,1495,3,1,2,1,1,20,1
GCF_001052405.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002140515.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_002140535.fna.gz,efaecium,-,8,9,36,20,6,19,17
GCF_002334625.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002360135.fna.gz,efaecium,269,2,1,2,1,1,1,6
GCF_003320715.fna.gz,efaecium,1973,1,1,138,1,1,11,2
GCF_003323565.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_002260625.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_003320315.fna.gz,efaecium,-,3,1,2,1,5,25,6
GCF_003320495.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_002141005.fna.gz,efaecium,372,5,1,2,1,1,1,3
GCF_001592725.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002158385.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_002158435.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_001969645.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003323335.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003323375.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_001969625.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001543665.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_002848705.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002848725.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001060065.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002630985.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002631505.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002944975.fna.gz,efaecium,1258,8,8,11,10,6,121,17
GCF_002945055.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003795625.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_003795685.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_001058055.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002948695.fna.gz,efaecium,2030,108,8,109,2,6,27,72
GCF_002948705.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_002944535.fna.gz,efaecium,-,5,1,2,22,1,1,
GCF_003350785.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003408985.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003408995.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003409035.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002631335.fna.gz,efaecium,672,4,1,9,21,5,20,9
GCF_003269465.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_003284785.fna.gz,efaecium,-,1,1,9,12,1,1,
GCF_002140255.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002948115.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_002948155.fna.gz,efaecium,191,2,1,2,1,1,7,6
GCF_002983785.fna.gz,efaecium,683,3,1,3,1,1,7,2
GCF_002997315.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002947475.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_002859045.fna.gz,efaecium,262,1,1,7,5,1,7,1
GCF_003320475.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_003323345.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001547355.fna.gz,efaecium,-,,1,,1,1,20,1
GCF_003071445.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003202445.fna.gz,efaecium,795,59,1,9,1,1,1,1
GCF_002761255.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003320065.fna.gz,efaecium,-,2,6,2,1,1,,6
GCF_003320115.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_001054055.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002027475.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002140295.fna.gz,efaecium,-,1,1,9,2,1,2,2
GCF_003938045.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003938125.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001545675.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_000772525.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002946985.fna.gz,efaecium,355,34,1,3,1,1,11,6
GCF_002947615.fna.gz,efaecium,1950,3,1,2,1,1,179,14
GCF_001025325.fna.gz,efaecium,-,13,8,13,10,6,27,8
GCF_003796335.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_003796425.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_003797525.fna.gz,efaecium,-,2,6,5,2,1,1,6
GCF_003797585.fna.gz,efaecium,-,2,6,9,1,5,20,6
GCF_003335695.fna.gz,efaecium,-,2,1,1,1,1,,44
GCF_001455435.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_002947115.fna.gz,efaecium,446,2,1,9,1,1,1,3
GCF_002947735.fna.gz,efaecium,1973,1,1,138,1,1,11,2
GCF_003940205.fna.gz,efaecium,761,1,1,70,12,1,1,1
GCF_001547175.fna.gz,efaecium,721,1,1,9,1,1,20,1
GCF_003797025.fna.gz,efaecium,236,2,6,9,1,1,1,6
GCF_003938135.fna.gz,efaecium,787,1,1,9,12,1,7,1
GCF_003938305.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003938445.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003939775.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_004101385.fna.gz,efaecium,-,13,8,13,11,6,10,8
GCF_002158245.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001545535.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002260765.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002554355.fna.gz,efaecium,-,,,137,3,70,,4
GCF_001622975.fna.gz,efaecium,437,5,1,9,1,1,20,3
GCF_002005885.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_002803675.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_001721085.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002360185.fna.gz,efaecium,-,8,,13,6,6,10,8
GCF_002850515.fna.gz,efaecium,66,5,1,9,1,1,1,3
GCF_001547195.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002141075.fna.gz,efaecium,27,7,5,2,1,1,1,7
GCF_002891175.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_003939205.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004015145.fna.gz,efaecium,-,8,,13,6,11,10,23
GCF_002260775.fna.gz,efaecium,-,98,1,1,1,1,20,1
GCF_001052435.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002140555.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_002891275.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003939215.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_004099785.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_002158445.fna.gz,efaecium,968,1,1,15,1,33,83,44
GCF_002944135.fna.gz,efaecium,12,2,6,5,1,1,1,6
GCF_002944195.fna.gz,efaecium,12,2,6,5,1,1,1,6
GCF_002848745.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002945095.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_002945145.fna.gz,efaecium,212,7,5,15,1,1,1,7
GCF_001076335.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003938505.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003940215.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_002948755.fna.gz,efaecium,-,8,10,5,8,11,28,23
GCF_002944615.fna.gz,efaecium,116,17,18,25,10,6,19,17
GCF_001543675.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_002141035.fna.gz,efaecium,372,5,1,2,1,1,1,3
GCF_002631535.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002631625.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002944215.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_002948175.fna.gz,efaecium,-,3,1,2,1,1,25,6
GCF_004102995.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_001058095.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002947765.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_002948245.fna.gz,efaecium,-,3,1,5,1,1,33,2
GCF_003938345.fna.gz,efaecium,-,1,1,36,10,1,27,1
GCF_003938485.fna.gz,efaecium,-,1,1,36,10,1,27,1
GCF_003939805.fna.gz,efaecium,761,1,1,70,12,1,1,1
GCF_004103165.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_003795735.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_003938275.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003938375.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003939705.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_004099795.fna.gz,efaecium,130,4,12,8,1,5,1,9
GCF_002260815.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002997345.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003020685.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_003939745.fna.gz,efaecium,612,1,1,9,5,1,1,1
GCF_004099895.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_001054105.fna.gz,efaecium,-,1,1,9,1,,1,1
GCF_002880635.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002894545.fna.gz,efaecium,546,3,1,9,12,3,1,1
GCF_003202475.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003240455.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002777275.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001547395.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002141115.fna.gz,efaecium,688,8,8,13,6,6,27,59
GCF_002894565.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_000787055.fna.gz,efaecium,619,3,50,15,1,1,70,2
GCF_003938515.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003940245.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_001545685.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_003938285.fna.gz,efaecium,-,1,1,36,10,1,27,1
GCF_003938395.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003939765.fna.gz,efaecium,612,1,1,9,5,1,1,1
GCF_004101305.fna.gz,efaecium,2042,8,8,13,6,6,27,22
GCF_002947775.fna.gz,efaecium,-,8,52,,6,6,29,23
GCF_002945495.fna.gz,efaecium,-,8,36,9,6,6,49,62
GCF_003938525.fna.gz,efaecium,787,1,1,9,12,1,7,1
GCF_003940995.fna.gz,efaecium,-,1,1,7,12,1,,1
GCF_002949135.fna.gz,efaecium,-,3,1,3,1,,1,2
GCF_002948235.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003939145.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003947145.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_001455445.fna.gz,efaecium,-,9,6,,1,1,13,3
GCF_003795785.fna.gz,efaecium,490,2,7,9,1,1,36,6
GCF_003938265.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003938365.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003938495.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003940185.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004103475.fna.gz,efaecium,-,13,8,,10,6,27,8
GCF_002442475.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003939165.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003957785.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001635875.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001547235.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003939175.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003965125.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_002442955.fna.gz,efaecium,16,2,1,1,1,1,1,1
GCF_001545545.fna.gz,efaecium,-,1,1,15,26,1,7,1
GCF_002158215.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_002944175.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_001052485.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001547185.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001547415.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004151795.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004151985.fna.gz,efaecium,-,3,1,1,1,1,1,2
GCF_004152225.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_004152505.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_004300005.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002944235.fna.gz,efaecium,191,2,1,2,1,1,7,6
GCF_002944675.fna.gz,efaecium,1179,13,75,5,8,6,6,17
GCF_002945575.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_004126575.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_004126665.fna.gz,efaecium,-,2,6,5,1,1,,6
GCF_004126765.fna.gz,efaecium,176,2,6,9,1,1,1,3
GCF_004126885.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_004127055.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_004151665.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004151815.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004152075.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152305.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152585.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004300105.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001277795.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_004126975.fna.gz,efaecium,-,2,7,5,4,1,1,6
GCF_004127115.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_004151765.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004151925.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152175.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152405.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004299905.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001721105.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004151675.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004151865.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004152085.fna.gz,efaecium,-,,1,9,12,1,1,1
GCF_004152325.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004152605.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_004300115.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001562975.fna.gz,efaecium,-,1,1,15,1,1,,1
GCF_001058125.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004151995.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152265.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004152515.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004300025.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001054215.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_004152005.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152275.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004152565.fna.gz,efaecium,772,1,1,15,1,1,1,44
GCF_004300065.fna.gz,efaecium,992,1,1,9,12,1,20,1
GCF_001543715.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_004125495.fna.gz,efaecium,370,2,6,5,1,1,16,6
GCF_004125755.fna.gz,efaecium,370,2,6,5,1,1,16,6
GCF_004126585.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_004126675.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_004126775.fna.gz,efaecium,-,2,6,9,7,1,7,6
GCF_004126905.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_004127075.fna.gz,efaecium,245,2,1,9,1,1,36,6
GCF_004151685.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004151875.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152105.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152365.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_004299865.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300125.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_000787065.fna.gz,efaecium,812,6,4,6,3,27,3,4
GCF_004152065.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152285.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152575.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_004300075.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001545715.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_004125515.fna.gz,efaecium,14,2,7,9,1,1,7,6
GCF_004126555.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_004126595.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_004126685.fna.gz,efaecium,-,2,13,9,7,1,7,6
GCF_004126795.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_004126915.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_004127085.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_004151695.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004151885.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004152135.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004152375.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004299875.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300165.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001471295.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004126755.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_004126855.fna.gz,efaecium,236,2,6,9,1,1,1,6
GCF_004126985.fna.gz,efaecium,-,2,13,9,1,1,14,6
GCF_004127135.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_004151775.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004151965.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152185.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_004152415.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004299925.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001547425.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001652715.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_001696275.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_004127025.fna.gz,efaecium,245,2,1,9,1,1,36,6
GCF_004127175.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_004151785.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004151975.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004152205.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_004152465.fna.gz,efaecium,-,1,1,7,,1,1,1
GCF_004299965.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001545555.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001025335.fna.gz,efaecium,-,13,8,13,6,6,40,8
GCF_004152475.fna.gz,efaecium,-,,1,9,12,1,1,1
GCF_004299975.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001547445.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001052685.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152485.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004299995.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_002944695.fna.gz,efaecium,123,5,1,5,1,1,1,3
GCF_004125555.fna.gz,efaecium,370,2,6,5,1,1,16,6
GCF_004126565.fna.gz,efaecium,1705,2,6,5,1,1,1,32
GCF_004126655.fna.gz,efaecium,489,2,7,5,4,1,7,6
GCF_004126705.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_004126825.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_004126955.fna.gz,efaecium,358,2,1,9,1,1,1,32
GCF_004127105.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_004151705.fna.gz,efaecium,761,1,1,70,12,1,1,1
GCF_004151895.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_004152165.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004152395.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004299885.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300175.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005235565.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001481405.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_004300355.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300425.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004300465.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300545.fna.gz,efaecium,38,5,3,2,4,1,4,5
GCF_004300655.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300805.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005116555.fna.gz,efaecium,812,6,4,6,3,27,3,4
GCF_005234405.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005234875.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_005235305.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235655.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001054465.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_005234425.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005234895.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_005235345.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235665.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001280775.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_001562995.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_004300525.fna.gz,efaecium,-,,1,9,12,1,1,1
GCF_004300635.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300755.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004368135.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005234365.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234835.fna.gz,efaecium,-,8,8,,11,6,10,8
GCF_005235285.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235635.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001543735.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_004302885.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005166365.fna.gz,efaecium,1054,3,1,9,2,1,1,2
GCF_005234485.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234955.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235385.fna.gz,efaecium,17,1,1,1,1,1,1,1
