Genome,Scheme,ST,ldh,cat,lhkA,abcZ,dapE,dat,bglA
GCF_002027935.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_002028105.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_002043045.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_002103345.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114735.fna.gz,lmonocytogenes,320,2,16,1,7,7,35,10
GCF_001493035.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001493595.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002028025.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002028185.fna.gz,lmonocytogenes,431,14,15,9,7,78,6,15
GCF_002103245.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002105695.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002114965.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001759705.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002027885.fna.gz,lmonocytogenes,101,14,15,9,7,8,6,15
GCF_002028035.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002028205.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002103255.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002105715.fna.gz,lmonocytogenes,1064,37,10,1,30,241,6,6
GCF_002114975.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001454885.fna.gz,lmonocytogenes,71,35,21,13,18,24,17,11
GCF_001466195.fna.gz,lmonocytogenes,101,14,15,9,7,8,6,15
GCF_002114725.fna.gz,lmonocytogenes,38,14,15,9,7,8,11,15
GCF_002115205.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_000726865.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002028225.fna.gz,lmonocytogenes,20,7,3,1,17,6,5,13
GCF_002103265.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114645.fna.gz,lmonocytogenes,101,14,15,9,7,8,6,15
GCF_002115005.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_000728805.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002103435.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114825.fna.gz,lmonocytogenes,122,62,6,1,6,4,1,5
GCF_000743465.fna.gz,lmonocytogenes,107,41,5,1,5,7,6,8
GCF_002103475.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114845.fna.gz,lmonocytogenes,122,62,6,1,6,4,1,5
GCF_000728415.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002103485.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114855.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_000729465.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002105615.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002114885.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001027065.fna.gz,lmonocytogenes,378,24,19,1,7,6,1,49
GCF_001999145.fna.gz,lmonocytogenes,-,,11,7,2,3,3,1
GCF_002000265.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002000295.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002019485.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_002027805.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002027845.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002027965.fna.gz,lmonocytogenes,4,5,12,3,1,3,2,2
GCF_002028125.fna.gz,lmonocytogenes,54,1,12,3,1,17,2,1
GCF_002086985.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002103395.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114765.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_001498575.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_000726545.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000726235.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002105635.fna.gz,lmonocytogenes,321,7,8,34,5,62,6,6
GCF_002114905.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001493255.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_000728145.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002028235.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002103315.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002114665.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002115025.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_000022925.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_000613085.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_002133255.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002156175.fna.gz,lmonocytogenes,66,28,4,5,4,3,2,4
GCF_000727165.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002132125.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132165.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132205.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132305.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132415.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132565.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002132715.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132885.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133065.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133315.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002208215.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001481995.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000727865.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000729485.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000764125.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002132575.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132735.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132895.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133105.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133345.fna.gz,lmonocytogenes,554,5,9,5,2,1,3,1
GCF_002213505.fna.gz,lmonocytogenes,388,1,12,5,3,70,2,1
GCF_001488235.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001482015.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002116675.fna.gz,lmonocytogenes,626,249,106,1,7,120,1,88
GCF_002131885.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002131895.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002131925.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002131935.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002131965.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002131975.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132005.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132025.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132045.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132055.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132085.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132095.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132135.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132185.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132255.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132335.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132475.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132645.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132805.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132975.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133175.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002144295.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002213605.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_000726885.fna.gz,lmonocytogenes,296,1,12,4,12,61,3,12
GCF_002132385.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132515.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002132685.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132835.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133025.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133215.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002144335.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000728425.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_000746625.fna.gz,lmonocytogenes,551,3,88,1,5,29,5,6
GCF_000764145.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002144215.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002213525.fna.gz,lmonocytogenes,387,154,2,1,5,29,5,6
GCF_000728825.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002132195.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132265.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132365.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132505.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002132655.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132815.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132985.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133205.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002144315.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002213625.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001481965.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002213645.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_000726555.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002132915.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133125.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002144235.fna.gz,lmonocytogenes,557,157,64,55,27,74,22,54
GCF_002213545.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_000726265.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001466215.fna.gz,lmonocytogenes,573,7,8,1,7,105,6,6
GCF_002133055.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133285.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002156185.fna.gz,lmonocytogenes,328,131,1,3,3,1,3,1
GCF_000689335.fna.gz,lmonocytogenes,403,24,10,1,7,4,5,7
GCF_001498815.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002132435.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132585.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132765.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132945.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133145.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002144255.fna.gz,lmonocytogenes,557,157,64,55,27,74,22,54
GCF_002213565.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_000727175.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002133295.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002206565.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000728185.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002132405.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132545.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132705.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132865.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133045.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133245.fna.gz,lmonocytogenes,554,5,9,5,2,1,3,1
GCF_002149945.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_000727885.fna.gz,lmonocytogenes,296,1,12,4,12,61,3,12
GCF_001487535.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_001487775.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001488015.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002132245.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002132325.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132465.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132625.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132785.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002132955.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_002133165.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002144265.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002213585.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002213985.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002214025.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002214065.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002214105.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002214145.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_002222685.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002222705.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002222765.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002222785.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002240265.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002285835.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002443365.fna.gz,lmonocytogenes,18,6,15,1,7,18,12,6
GCF_002443445.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_002443545.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002443675.fna.gz,lmonocytogenes,394,2,17,6,5,21,39,5
GCF_002443795.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002443995.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002444185.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002444435.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000787895.fna.gz,lmonocytogenes,399,2,15,1,8,6,6,6
GCF_002443805.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_002444015.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444215.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444445.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000727585.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001712305.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002443565.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_002443695.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_002443835.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_002444035.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_002444235.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_002444475.fna.gz,lmonocytogenes,38,14,15,9,7,8,11,15
GCF_000726905.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002443915.fna.gz,lmonocytogenes,398,7,19,1,7,6,1,13
GCF_002444115.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002444355.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444595.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000787905.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002443925.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002444125.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_002444365.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002444605.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000728465.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002444295.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002444525.fna.gz,lmonocytogenes,398,7,19,1,7,6,1,13
GCF_000728845.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002250305.fna.gz,lmonocytogenes,122,62,6,1,6,4,1,5
GCF_002443325.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002443405.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_002443515.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002443635.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002443745.fna.gz,lmonocytogenes,36,4,8,1,16,7,13,5
GCF_002443955.fna.gz,lmonocytogenes,425,2,15,14,7,8,6,6
GCF_002444155.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002444375.fna.gz,lmonocytogenes,38,14,15,9,7,8,11,15
GCF_002444615.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_000726585.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002444305.fna.gz,lmonocytogenes,54,1,12,3,1,17,2,1
GCF_002444555.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_000726275.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000712385.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002443855.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002444055.fna.gz,lmonocytogenes,489,1,12,4,11,3,3,9
GCF_002444245.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002444485.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_000727205.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002443455.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002443595.fna.gz,lmonocytogenes,398,7,19,1,7,6,1,13
GCF_002443705.fna.gz,lmonocytogenes,36,4,8,1,16,7,13,5
GCF_002443865.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002444065.fna.gz,lmonocytogenes,18,6,15,1,7,18,12,6
GCF_002444275.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444515.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000728205.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002443315.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002443395.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_002443475.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002443615.fna.gz,lmonocytogenes,451,4,10,1,7,21,1,5
GCF_002443735.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002443885.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444095.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444335.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002444575.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000727905.fna.gz,lmonocytogenes,257,30,11,5,1,11,2,1
GCF_002213665.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002213685.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002213705.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002213725.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002213745.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002213765.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002213785.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002213805.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_002213825.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_002213845.fna.gz,lmonocytogenes,394,2,17,6,5,21,39,5
GCF_002213865.fna.gz,lmonocytogenes,394,2,17,6,5,21,39,5
GCF_002213885.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002213905.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002213925.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002213945.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002213965.fna.gz,lmonocytogenes,388,1,12,5,3,70,2,1
GCF_002214005.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002214045.fna.gz,lmonocytogenes,292,3,2,1,57,29,5,6
GCF_002214085.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002214125.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_002220325.fna.gz,lmonocytogenes,224,94,12,2,11,38,3,3
GCF_002222695.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002222715.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002222775.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002240245.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002285655.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002443355.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002443435.fna.gz,lmonocytogenes,14,2,13,1,8,6,5,6
GCF_002443525.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002443655.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_002443775.fna.gz,lmonocytogenes,14,2,13,1,8,6,5,6
GCF_002443975.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002444175.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_002444385.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002444655.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_002446315.fna.gz,lmonocytogenes,562,178,91,72,83,100,58,19
GCF_000728215.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_000787915.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_000801525.fna.gz,lmonocytogenes,91,2,15,1,7,6,5,6
GCF_002445335.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002445475.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002445595.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002445745.fna.gz,lmonocytogenes,398,7,19,1,7,6,1,13
GCF_002445915.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446115.fna.gz,lmonocytogenes,398,7,19,1,7,6,1,13
GCF_002446415.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000728495.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_002446035.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446325.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_000801455.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446135.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446435.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000801475.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_002445095.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_002445175.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002445255.fna.gz,lmonocytogenes,36,4,8,1,16,7,13,5
GCF_002445395.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002445525.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002445665.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002445805.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002445975.fna.gz,lmonocytogenes,59,1,12,7,11,16,3,1
GCF_002446225.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002446525.fna.gz,lmonocytogenes,38,14,15,9,7,8,11,15
GCF_000726605.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726915.fna.gz,lmonocytogenes,323,1,11,2,34,15,3,12
GCF_000801555.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_002445035.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_002445105.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_002445185.fna.gz,lmonocytogenes,36,4,8,1,16,7,13,5
GCF_002445265.fna.gz,lmonocytogenes,2528,7,409,1,17,6,5,13
GCF_002445405.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002445545.fna.gz,lmonocytogenes,562,178,91,72,83,100,58,19
GCF_002445675.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_002445835.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002445995.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_002446255.fna.gz,lmonocytogenes,562,178,91,72,83,100,58,19
GCF_002446535.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000727245.fna.gz,lmonocytogenes,635,6,3,1,23,30,6,29
GCF_002446155.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446445.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000728485.fna.gz,lmonocytogenes,323,1,11,2,34,15,3,12
GCF_002446175.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002446475.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000712425.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_002445285.fna.gz,lmonocytogenes,808,1,4,5,11,3,3,1
GCF_002445415.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_002445575.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_002445715.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_002445865.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
