Genome,Scheme,ST,pta,tuf,ack,fdh,purA,sar,cpn60
GCF_903991955.fna.gz,spseudintermedius,945,1,1,12,2,8,1,13
GCF_903991965.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903991975.fna.gz,spseudintermedius,978,2,2,6,2,11,1,2
GCF_903991985.fna.gz,spseudintermedius,1377,2,1,5,2,36,1,2
GCF_903991995.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903992005.fna.gz,spseudintermedius,942,4,1,5,4,1,2,2
GCF_903992015.fna.gz,spseudintermedius,981,2,2,1,2,18,1,21
GCF_903992025.fna.gz,spseudintermedius,985,32,2,1,1,1,1,29
GCF_903992035.fna.gz,spseudintermedius,1382,1,1,1,1,11,1,24
GCF_903992045.fna.gz,spseudintermedius,979,58,17,1,4,1,2,26
GCF_903992055.fna.gz,spseudintermedius,993,1,2,1,4,13,1,8
GCF_903992065.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903992075.fna.gz,spseudintermedius,941,1,1,1,4,7,1,21
GCF_903992085.fna.gz,spseudintermedius,947,20,2,19,2,1,1,2
GCF_903992095.fna.gz,spseudintermedius,994,1,2,1,4,11,1,29
GCF_903992105.fna.gz,spseudintermedius,940,2,2,5,2,41,1,8
GCF_903992115.fna.gz,spseudintermedius,987,1,2,1,2,60,1,26
GCF_903992125.fna.gz,spseudintermedius,986,23,1,2,2,7,1,2
GCF_903992135.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903992145.fna.gz,spseudintermedius,985,32,2,1,1,1,1,29
GCF_903992155.fna.gz,spseudintermedius,982,1,2,5,2,3,2,24
GCF_903992165.fna.gz,spseudintermedius,984,1,1,1,2,3,2,2
GCF_903992175.fna.gz,spseudintermedius,983,1,2,5,4,5,1,18
GCF_903992185.fna.gz,spseudintermedius,1350,1,1,1,4,3,1,6
GCF_903992195.fna.gz,spseudintermedius,1353,2,1,5,2,2,1,18
GCF_903992205.fna.gz,spseudintermedius,1357,1,1,1,2,11,1,29
GCF_903992215.fna.gz,spseudintermedius,1380,1,1,1,2,16,5,9
GCF_903992225.fna.gz,spseudintermedius,1378,4,2,5,2,11,1,7
GCF_903992235.fna.gz,spseudintermedius,1351,1,1,1,1,6,5,7
GCF_903992245.fna.gz,spseudintermedius,1360,1,1,1,2,23,1,21
GCF_903992255.fna.gz,spseudintermedius,-,1,,1,2,13,4,13
GCF_903992265.fna.gz,spseudintermedius,1352,2,2,1,2,1,1,13
GCF_903992275.fna.gz,spseudintermedius,-,1,2,2,1,13,1,
GCF_903992285.fna.gz,spseudintermedius,-,2,2,1,2,,2,13
GCF_903992295.fna.gz,spseudintermedius,1358,4,2,2,1,11,1,6
GCF_903992305.fna.gz,spseudintermedius,1024,4,2,5,4,13,2,13
GCF_903992315.fna.gz,spseudintermedius,-,1,1,1,1,3,,2
GCF_903992325.fna.gz,spseudintermedius,1354,1,1,2,4,8,1,2
GCF_903992335.fna.gz,spseudintermedius,1359,1,2,4,1,1,1,13
GCF_903992345.fna.gz,spseudintermedius,1356,1,2,5,1,8,4,6
GCF_903992355.fna.gz,spseudintermedius,1349,23,2,4,1,3,2,13
GCF_903992365.fna.gz,spseudintermedius,1348,1,2,5,2,8,1,2
GCF_903992375.fna.gz,spseudintermedius,1355,1,2,1,1,36,1,2
GCF_903992385.fna.gz,spseudintermedius,1249,1,2,38,1,7,6,9
GCF_903992395.fna.gz,spseudintermedius,989,1,2,1,4,6,1,13
GCF_903992405.fna.gz,spseudintermedius,1379,1,2,1,1,23,1,21
GCF_903992415.fna.gz,spseudintermedius,-,1,,1,2,1,1,10
GCF_903992425.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903992435.fna.gz,spseudintermedius,1023,4,1,20,2,16,1,8
GCF_903992445.fna.gz,spseudintermedius,989,1,2,1,4,6,1,13
GCF_903992455.fna.gz,spseudintermedius,241,1,1,1,4,23,1,21
GCF_903992465.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_903992475.fna.gz,spseudintermedius,309,1,1,1,2,1,1,2
GCF_000185885.fna.gz,spseudintermedius,308,42,1,2,3,14,2,55
GCF_000189495.fna.gz,spseudintermedius,25,1,1,3,2,1,1,9
GCF_000478385.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_001622945.fna.gz,spseudintermedius,764,2,1,5,7,3,1,7
