Genome,Scheme,ST,aroA,thrA,gki,dpr,recA,mutS,cpn60
GCF_002760225.fna.gz,ssuis,444,121,11,7,123,113,133,166
GCF_002960015.fna.gz,ssuis,922,13,81,161,23,34,108,110
GCF_002960265.fna.gz,ssuis,499,88,55,72,44,91,105,134
GCF_002960445.fna.gz,ssuis,-,,,,,,,
GCF_002960625.fna.gz,ssuis,-,,,,,,,466
GCF_002960825.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002961105.fna.gz,ssuis,423,87,56,86,71,86,84,106
GCF_002961355.fna.gz,ssuis,-,15,11,7,5,162,220,193
GCF_002961635.fna.gz,ssuis,-,93,53,165,75,91,292,177
GCF_000937255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002960635.fna.gz,ssuis,-,91,111,,23,90,113,77
GCF_002960865.fna.gz,ssuis,921,56,126,106,28,71,94,44
GCF_002961125.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002961385.fna.gz,ssuis,-,15,11,7,5,162,220,193
GCF_002961645.fna.gz,ssuis,926,93,53,165,75,91,292,328
GCF_000947575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947615.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002759775.fna.gz,ssuis,432,121,116,155,74,118,141,152
GCF_002760125.fna.gz,ssuis,453,91,111,167,99,129,133,182
GCF_002760245.fna.gz,ssuis,-,127,,,74,128,,
GCF_002960045.fna.gz,ssuis,-,222,11,6,7,18,302,30
GCF_002960275.fna.gz,ssuis,-,,55,60,,59,218,132
GCF_002960455.fna.gz,ssuis,-,15,12,86,52,26,16,142
GCF_002960665.fna.gz,ssuis,-,16,94,103,99,113,,77
GCF_002960885.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002961145.fna.gz,ssuis,-,24,143,212,,77,16,30
GCF_002961395.fna.gz,ssuis,-,13,111,81,,113,108,78
GCF_002961685.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_000939995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002961165.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002961425.fna.gz,ssuis,-,91,111,155,123,37,133,
GCF_002961705.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_000938475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002759625.fna.gz,ssuis,431,91,81,129,74,34,133,110
GCF_002759695.fna.gz,ssuis,451,146,114,143,106,128,25,168
GCF_002760055.fna.gz,ssuis,436,149,111,103,131,113,160,110
GCF_002760135.fna.gz,ssuis,404,91,94,129,74,34,108,167
GCF_002760305.fna.gz,ssuis,432,121,116,155,74,118,141,152
GCF_002960055.fna.gz,ssuis,-,,,,,,,381
GCF_002960305.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002960485.fna.gz,ssuis,-,,,,,,,
GCF_002960685.fna.gz,ssuis,-,62,62,54,58,42,45,85
GCF_002960905.fna.gz,ssuis,921,56,126,106,28,71,94,44
GCF_002961175.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002961445.fna.gz,ssuis,-,91,111,155,123,37,133,
GCF_002961715.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_000945475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945515.fna.gz,ssuis,906,258,51,129,99,113,303,336
GCF_002688665.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002736265.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_002759445.fna.gz,ssuis,-,,,,,,,
GCF_002759675.fna.gz,ssuis,408,144,81,159,126,34,133,110
GCF_002759725.fna.gz,ssuis,434,148,111,161,130,113,133,77
GCF_002760075.fna.gz,ssuis,399,62,81,129,74,34,133,110
GCF_002760165.fna.gz,ssuis,453,91,111,167,99,129,133,182
GCF_002803825.fna.gz,ssuis,383,137,98,103,121,38,137,145
GCF_002960085.fna.gz,ssuis,-,162,81,129,74,34,133,110
GCF_002960325.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002960495.fna.gz,ssuis,-,198,74,280,49,72,236,
GCF_002960695.fna.gz,ssuis,-,25,12,4,30,13,9,
GCF_002960925.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002961205.fna.gz,ssuis,-,,,359,143,134,145,
GCF_002961465.fna.gz,ssuis,-,91,111,155,123,37,133,
GCF_002961725.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_000946495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002960105.fna.gz,ssuis,-,162,81,129,74,34,133,110
GCF_002960345.fna.gz,ssuis,934,63,12,86,217,68,43,55
GCF_002960525.fna.gz,ssuis,-,,249,304,,184,,348
GCF_002960725.fna.gz,ssuis,928,63,12,280,2,64,43,312
GCF_002960945.fna.gz,ssuis,-,,239,156,,18,71,410
GCF_002961225.fna.gz,ssuis,-,149,61,164,133,34,,110
GCF_002961485.fna.gz,ssuis,-,91,102,155,123,113,133,
GCF_002961765.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_000942335.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000942355.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002760195.fna.gz,ssuis,453,91,111,167,99,129,133,182
GCF_002896475.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002960145.fna.gz,ssuis,-,162,81,129,74,34,133,110
GCF_002960385.fna.gz,ssuis,-,149,61,81,23,34,65,58
GCF_002960555.fna.gz,ssuis,-,162,81,129,74,34,133,110
GCF_002960765.fna.gz,ssuis,928,63,12,280,2,64,43,312
GCF_002961005.fna.gz,ssuis,939,252,63,72,109,28,228,327
GCF_002961265.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002961525.fna.gz,ssuis,-,13,111,81,,113,108,
GCF_000944615.fna.gz,ssuis,898,49,125,61,234,26,300,344
GCF_000945495.fna.gz,ssuis,108,8,23,45,5,22,44,21
GCF_000946515.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002812525.fna.gz,ssuis,475,159,51,60,74,37,171,110
GCF_002960125.fna.gz,ssuis,-,162,81,129,74,34,133,110
GCF_002960355.fna.gz,ssuis,-,312,175,7,181,156,11,
GCF_002960535.fna.gz,ssuis,-,,,,,102,,
GCF_002960745.fna.gz,ssuis,-,312,138,7,181,156,11,
GCF_002960965.fna.gz,ssuis,932,25,200,212,47,28,228,327
GCF_002961235.fna.gz,ssuis,-,,63,223,42,13,16,327
GCF_002961505.fna.gz,ssuis,930,248,138,282,216,77,294,330
GCF_002961785.fna.gz,ssuis,926,93,53,165,75,91,292,328
GCF_000942375.fna.gz,ssuis,905,31,143,15,223,46,302,332
GCF_002961025.fna.gz,ssuis,939,252,63,72,109,28,228,327
GCF_002961275.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002961555.fna.gz,ssuis,931,249,55,86,52,91,292,66
GCF_002961795.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002961825.fna.gz,ssuis,-,13,103,138,74,34,133,110
GCF_002961845.fna.gz,ssuis,-,13,149,138,74,34,133,110
GCF_002961865.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_002961885.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002961905.fna.gz,ssuis,-,13,103,138,74,34,133,110
GCF_002961925.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_002961945.fna.gz,ssuis,-,93,53,165,75,64,292,328
GCF_002961965.fna.gz,ssuis,937,250,82,72,9,209,295,332
GCF_002961975.fna.gz,ssuis,-,93,53,165,75,64,292,328
GCF_002962005.fna.gz,ssuis,937,250,82,72,9,209,295,332
GCF_002962025.fna.gz,ssuis,-,88,38,199,49,64,221,142
GCF_002962045.fna.gz,ssuis,-,88,38,199,49,64,221,142
GCF_002962065.fna.gz,ssuis,-,90,18,7,11,77,,142
GCF_002962085.fna.gz,ssuis,-,90,18,7,11,77,,142
GCF_002962105.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002962125.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002962145.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002962185.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002962195.fna.gz,ssuis,937,250,82,72,9,209,295,332
GCF_002962225.fna.gz,ssuis,-,13,103,138,74,34,133,110
GCF_002962245.fna.gz,ssuis,11,3,1,1,1,1,1,1
GCF_002962265.fna.gz,ssuis,923,25,63,223,42,13,9,55
GCF_002962295.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002962305.fna.gz,ssuis,-,16,,129,74,34,,77
GCF_002962345.fna.gz,ssuis,-,154,81,129,74,34,108,77
GCF_002962365.fna.gz,ssuis,-,90,18,7,11,77,,142
GCF_002962375.fna.gz,ssuis,-,63,11,223,22,85,14,33
GCF_002962405.fna.gz,ssuis,933,91,100,155,74,34,296,331
GCF_002962425.fna.gz,ssuis,933,91,100,155,74,34,296,331
GCF_002962445.fna.gz,ssuis,-,,267,,201,,408,
GCF_002962465.fna.gz,ssuis,-,13,16,164,123,34,133,110
GCF_002962485.fna.gz,ssuis,-,198,106,280,49,72,236,
GCF_002962505.fna.gz,ssuis,919,25,12,4,30,13,9,33
GCF_002962515.fna.gz,ssuis,-,62,62,54,58,42,45,85
GCF_002962545.fna.gz,ssuis,919,25,12,4,30,13,9,33
GCF_002962565.fna.gz,ssuis,919,25,12,4,30,13,9,33
GCF_002962595.fna.gz,ssuis,-,62,62,54,58,42,45,85
GCF_002962615.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002962665.fna.gz,ssuis,939,252,63,72,109,28,228,327
GCF_002962685.fna.gz,ssuis,-,16,94,103,99,113,,77
GCF_002962715.fna.gz,ssuis,423,87,56,86,71,86,84,106
GCF_002962745.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002962765.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002962785.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002962805.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002962815.fna.gz,ssuis,-,218,37,12,284,,191,
GCF_002962845.fna.gz,ssuis,-,24,143,212,,77,191,30
GCF_002962865.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002962885.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002962915.fna.gz,ssuis,-,13,111,81,,113,108,78
GCF_002962945.fna.gz,ssuis,-,331,18,138,181,156,10,52
GCF_002962975.fna.gz,ssuis,930,248,138,282,216,77,294,330
GCF_002963005.fna.gz,ssuis,930,248,138,282,216,77,294,330
GCF_002963025.fna.gz,ssuis,-,88,12,72,2,91,,134
GCF_002963035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002963065.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002963085.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002963105.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_002963125.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_002963145.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002963155.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_002963185.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_002963205.fna.gz,ssuis,-,16,179,138,74,34,65,110
GCF_002963215.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002963245.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002963265.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002963295.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_002963325.fna.gz,ssuis,-,93,53,165,75,64,292,328
GCF_002963345.fna.gz,ssuis,11,3,1,1,1,1,1,1
GCF_002963355.fna.gz,ssuis,923,25,63,223,42,13,9,55
GCF_002963385.fna.gz,ssuis,-,16,,129,74,34,108,77
GCF_002963405.fna.gz,ssuis,-,16,,129,74,34,108,77
GCF_002963425.fna.gz,ssuis,-,291,166,64,239,18,163,478
GCF_002963435.fna.gz,ssuis,188,63,12,86,53,68,43,55
GCF_002963465.fna.gz,ssuis,940,39,201,12,30,210,297,38
GCF_002963485.fna.gz,ssuis,933,91,100,155,74,34,296,331
GCF_002963505.fna.gz,ssuis,-,,81,,,34,133,110
GCF_002963525.fna.gz,ssuis,-,93,53,,75,81,292,328
GCF_002963535.fna.gz,ssuis,-,93,53,,75,81,292,328
GCF_002963565.fna.gz,ssuis,-,93,53,,75,81,292,328
GCF_002963595.fna.gz,ssuis,477,15,12,4,22,85,16,193
GCF_002963625.fna.gz,ssuis,-,93,53,,75,81,292,328
GCF_002963645.fna.gz,ssuis,-,223,143,199,,,81,38
GCF_002963655.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002963685.fna.gz,ssuis,-,218,38,265,11,,191,35
GCF_002963695.fna.gz,ssuis,-,144,81,,99,34,145,77
GCF_002963705.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002963745.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002963765.fna.gz,ssuis,250,63,11,86,49,85,14,68
GCF_002963775.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_002963805.fna.gz,ssuis,-,63,12,86,44,68,43,299
GCF_002963825.fna.gz,ssuis,938,251,111,161,23,90,109,333
GCF_002963845.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_002963865.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_002963885.fna.gz,ssuis,499,88,55,72,44,91,105,134
GCF_002963905.fna.gz,ssuis,-,54,152,79,66,,181,241
GCF_002963925.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002963945.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002963965.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002963985.fna.gz,ssuis,-,91,138,81,23,113,108,110
GCF_002964005.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964015.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964045.fna.gz,ssuis,-,,53,,,,,
GCF_002964055.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964085.fna.gz,ssuis,917,23,23,73,52,194,220,99
GCF_002964105.fna.gz,ssuis,925,63,12,223,42,13,9,327
GCF_002964115.fna.gz,ssuis,917,23,23,73,52,194,220,99
GCF_002964145.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_002964165.fna.gz,ssuis,250,63,11,86,49,85,14,68
GCF_002964185.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_002964205.fna.gz,ssuis,938,251,111,161,23,90,109,333
GCF_002964225.fna.gz,ssuis,-,290,239,15,267,110,350,
GCF_002964325.fna.gz,ssuis,-,88,55,60,30,190,299,134
GCF_002964345.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964365.fna.gz,ssuis,-,88,55,60,30,190,299,134
GCF_002964375.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964405.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964415.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964445.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964465.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964485.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964505.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_002964525.fna.gz,ssuis,920,15,11,7,5,162,220,299
GCF_902702765.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_902702775.fna.gz,ssuis,220,48,27,66,30,55,33,33
GCF_002964575.fna.gz,ssuis,-,,,,,,,
GCF_003012385.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003012395.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003012425.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003012435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003012465.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003012485.fna.gz,ssuis,665,1,1,189,1,1,1,1
GCF_003028635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_003144175.fna.gz,ssuis,498,38,55,72,59,69,84,28
GCF_003285225.fna.gz,ssuis,-,88,55,60,30,190,299,134
GCF_003285245.fna.gz,ssuis,-,88,55,60,30,190,299,134
GCF_003288175.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_003352205.fna.gz,ssuis,1006,278,126,39,257,93,291,44
GCF_003352225.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_003931695.fna.gz,ssuis,1098,308,12,188,124,254,364,395
GCF_003931705.fna.gz,ssuis,1097,150,92,343,193,113,108,394
GCF_003931715.fna.gz,ssuis,-,18,4,12,24,10,1,
GCF_003933285.fna.gz,ssuis,1104,25,10,41,15,23,15,392
GCF_003933705.fna.gz,ssuis,1104,25,10,41,15,23,15,392
GCF_003933805.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_003933815.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_003933825.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_003933835.fna.gz,ssuis,1238,321,16,198,273,38,384,417
GCF_003933845.fna.gz,ssuis,1105,206,231,342,239,20,363,393
GCF_003933905.fna.gz,ssuis,1104,25,10,41,15,23,15,392
GCF_003933915.fna.gz,ssuis,1105,206,231,342,239,20,363,393
GCF_003933945.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_003933955.fna.gz,ssuis,1108,62,62,339,58,249,82,85
GCF_003934335.fna.gz,ssuis,-,,249,304,,287,,
GCF_003934345.fna.gz,ssuis,1104,25,10,41,15,23,15,392
GCF_003934375.fna.gz,ssuis,1133,2,25,349,5,3,31,30
GCF_003934385.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_004009965.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_004843685.fna.gz,ssuis,-,87,44,72,2,189,16,90
GCF_004922805.fna.gz,ssuis,1090,38,229,64,30,18,163,259
GCF_004922815.fna.gz,ssuis,1088,210,53,74,30,236,71,69
GCF_004922825.fna.gz,ssuis,1089,122,16,334,142,113,303,77
GCF_004922855.fna.gz,ssuis,1091,118,60,138,239,170,354,259
GCF_004922885.fna.gz,ssuis,-,,,,28,,,
GCF_004922915.fna.gz,ssuis,-,45,79,187,30,243,355,386
GCF_006568965.fna.gz,ssuis,988,38,149,15,245,26,323,259
GCF_006568985.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_006568995.fna.gz,ssuis,995,198,8,7,242,64,224,32
GCF_006569025.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_006569035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_006569085.fna.gz,ssuis,971,8,63,34,5,177,30,68
GCF_006569105.fna.gz,ssuis,1001,268,15,12,243,77,299,351
GCF_006569115.fna.gz,ssuis,1214,119,174,360,2,20,139,352
GCF_006569125.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_006569145.fna.gz,ssuis,975,254,76,66,30,214,48,90
GCF_007724845.fna.gz,ssuis,35,31,25,34,5,4,31,30
GCF_009192495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_009663175.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_009729875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_009861585.fna.gz,ssuis,1289,194,127,221,202,102,256,197
GCF_009870015.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_009870045.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_009870805.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_012037005.fna.gz,ssuis,-,,,,,,,
GCF_012037615.fna.gz,ssuis,-,45,55,72,30,71,232,142
GCF_013009155.fna.gz,ssuis,-,93,11,60,30,26,292,132
GCF_013009235.fna.gz,ssuis,-,62,34,16,88,42,45,127
GCF_013009275.fna.gz,ssuis,288,62,34,16,88,100,45,127
GCF_013009295.fna.gz,ssuis,288,62,34,16,88,100,45,127
GCF_013009315.fna.gz,ssuis,-,,,,,,,
GCF_013009335.fna.gz,ssuis,-,17,8,154,42,6,47,
GCF_013009415.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_013009425.fna.gz,ssuis,-,,,,,,,
GCF_013009445.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_013009465.fna.gz,ssuis,373,8,109,45,5,22,44,30
GCF_013009485.fna.gz,ssuis,-,,,,,,,
GCF_013009515.fna.gz,ssuis,-,,,,,,,
GCF_013009535.fna.gz,ssuis,17,8,1,12,5,10,1,1
GCF_013009565.fna.gz,ssuis,288,62,34,16,88,100,45,127
GCF_013009575.fna.gz,ssuis,-,17,8,154,42,6,47,
GCF_013009595.fna.gz,ssuis,-,93,11,60,30,26,292,132
GCF_013184825.fna.gz,ssuis,-,,155,85,173,67,83,
GCF_013184835.fna.gz,ssuis,-,45,55,72,30,71,232,142
GCF_013184865.fna.gz,ssuis,-,91,92,141,123,37,133,
GCF_013184885.fna.gz,ssuis,-,223,8,248,34,142,21,283
GCF_013184895.fna.gz,ssuis,353,1,3,147,1,1,1,1
GCF_013184905.fna.gz,ssuis,-,91,92,141,123,37,133,
GCF_013184945.fna.gz,ssuis,353,1,3,147,1,1,1,1
GCF_013184965.fna.gz,ssuis,353,1,3,147,1,1,1,1
GCF_013184995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_013343705.fna.gz,ssuis,373,8,109,45,5,22,44,30
GCF_013343745.fna.gz,ssuis,288,62,34,16,88,100,45,127
GCF_013343755.fna.gz,ssuis,-,96,34,108,124,42,45,45
GCF_013343775.fna.gz,ssuis,-,,,,,,,
GCF_013343805.fna.gz,ssuis,-,299,227,83,56,67,83,83
GCF_013343825.fna.gz,ssuis,-,76,51,54,99,34,171,29
GCF_013343845.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_013344155.fna.gz,ssuis,-,229,12,129,36,38,21,291
GCF_013344185.fna.gz,ssuis,-,96,34,108,124,42,45,45
GCF_013344205.fna.gz,ssuis,373,8,109,45,5,22,44,30
GCF_013344215.fna.gz,ssuis,-,76,51,54,99,34,171,29
GCF_013344245.fna.gz,ssuis,-,,,,,,,
GCF_013344265.fna.gz,ssuis,-,,,,,,,
GCF_013344275.fna.gz,ssuis,-,299,227,83,56,67,83,83
GCF_013344305.fna.gz,ssuis,-,62,62,108,176,42,82,85
GCF_013344325.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_013344335.fna.gz,ssuis,-,45,55,72,30,71,232,142
GCF_013344365.fna.gz,ssuis,-,61,60,199,28,18,81,79
GCF_013344375.fna.gz,ssuis,-,93,11,60,30,26,292,132
GCF_013344405.fna.gz,ssuis,917,23,23,73,52,194,220,99
GCF_013344425.fna.gz,ssuis,-,93,11,60,30,26,292,132
GCF_013344445.fna.gz,ssuis,941,8,12,24,36,38,298,23
GCF_013370925.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013371005.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013371025.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_013371035.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013371565.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013371575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_013371605.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013488085.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_013488105.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_013488125.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_013488145.fna.gz,ssuis,620,196,25,34,5,3,31,30
GCF_013488165.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_013488185.fna.gz,ssuis,787,2,25,34,5,3,270,30
GCF_014192345.fna.gz,ssuis,114,43,38,21,5,47,52,54
GCF_014192525.fna.gz,ssuis,115,17,12,30,45,6,53,55
GCF_014843055.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_014843075.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000026725.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_014843095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_014854495.fna.gz,ssuis,1071,91,103,103,266,140,349,77
GCF_014854505.fna.gz,ssuis,1071,91,103,103,266,140,349,77
GCF_014874555.fna.gz,ssuis,1005,168,1,1,28,1,1,1
GCF_015291825.fna.gz,ssuis,1071,91,103,103,266,140,349,77
GCF_015908885.fna.gz,ssuis,-,96,34,108,32,42,82,45
GCF_015908985.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016584685.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016584705.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016584765.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016584785.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016584805.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016584825.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016584845.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016584865.fna.gz,ssuis,103,9,25,34,41,3,30,30
GCF_016584885.fna.gz,ssuis,103,9,25,34,41,3,30,30
GCF_016584905.fna.gz,ssuis,-,9,25,34,5,3,30,
GCF_016584925.fna.gz,ssuis,-,,25,34,41,3,30,30
GCF_016584945.fna.gz,ssuis,102,42,25,34,5,3,30,30
GCF_016584965.fna.gz,ssuis,103,9,25,34,41,3,30,30
GCF_016584985.fna.gz,ssuis,103,9,25,34,41,3,30,30
GCF_016585005.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_016585025.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016585045.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585065.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585085.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585105.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585125.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585145.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_016585165.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585185.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585205.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585225.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585245.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_016585265.fna.gz,ssuis,-,1,1,306,1,1,1,1
GCF_016585285.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585305.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585325.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585345.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585365.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585385.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585405.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585425.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585445.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585465.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585485.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585505.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585525.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585545.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585565.fna.gz,ssuis,324,2,25,34,104,3,31,30
