Genome,Scheme,ST,pgi,atpG,adk,mdh,frdB,recA,fucK
GCF_003414215.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_003414335.fna.gz,hinfluenzae,932,156,14,5,62,7,29,8
GCF_003414465.fna.gz,hinfluenzae,519,64,1,26,79,46,23,1
GCF_003414565.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_003414705.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003414805.fna.gz,hinfluenzae,986,58,1,35,7,22,29,36
GCF_003414945.fna.gz,hinfluenzae,986,58,1,35,7,22,29,36
GCF_003415065.fna.gz,hinfluenzae,1066,207,1,1,151,1,5,38
GCF_003415175.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415285.fna.gz,hinfluenzae,1066,207,1,1,151,1,5,38
GCF_003415425.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_002990065.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_002990245.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002990535.fna.gz,hinfluenzae,432,42,1,1,67,97,5,1
GCF_002990905.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002991295.fna.gz,hinfluenzae,1336,225,6,18,10,3,12,1
GCF_002991415.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_003203075.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003203235.fna.gz,hinfluenzae,1434,14,1,35,7,22,29,36
GCF_003351585.fna.gz,hinfluenzae,56,11,16,13,3,5,7,18
GCF_003414115.fna.gz,hinfluenzae,1789,39,20,6,202,7,43,66
GCF_003414225.fna.gz,hinfluenzae,921,2,3,148,207,58,56,1
GCF_003414365.fna.gz,hinfluenzae,2024,14,1,1,281,1,5,14
GCF_003414475.fna.gz,hinfluenzae,474,78,54,3,64,65,48,1
GCF_003414605.fna.gz,hinfluenzae,670,14,2,42,17,7,10,41
GCF_003414715.fna.gz,hinfluenzae,1230,13,7,14,17,13,132,7
GCF_003414815.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003414955.fna.gz,hinfluenzae,986,58,1,35,7,22,29,36
GCF_003415085.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415195.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_003415305.fna.gz,hinfluenzae,272,82,55,69,79,10,56,36
GCF_003415435.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_002990095.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_002990305.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002990685.fna.gz,hinfluenzae,-,2,8,14,17,18,3,
GCF_002990975.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002991325.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002991445.fna.gz,hinfluenzae,142,53,1,1,15,1,38,35
GCF_003203135.fna.gz,hinfluenzae,584,41,33,5,26,7,29,1
GCF_003203255.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_003351605.fna.gz,hinfluenzae,7,16,11,7,6,6,9,6
GCF_003414125.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003414235.fna.gz,hinfluenzae,519,64,1,26,79,46,23,1
GCF_003414385.fna.gz,hinfluenzae,201,2,8,33,1,8,3,16
GCF_003414505.fna.gz,hinfluenzae,2027,120,12,68,283,32,125,55
GCF_003414625.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_003414725.fna.gz,hinfluenzae,670,14,2,42,17,7,10,41
GCF_003414865.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_003414965.fna.gz,hinfluenzae,165,2,2,44,17,16,3,37
GCF_003415095.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415205.fna.gz,hinfluenzae,1812,130,20,6,77,107,43,15
GCF_003415345.fna.gz,hinfluenzae,272,82,55,69,79,10,56,36
GCF_003415475.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_002990565.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002990605.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_002990745.fna.gz,hinfluenzae,389,112,1,1,61,44,5,14
GCF_002991265.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_002991345.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_003203095.fna.gz,hinfluenzae,160,59,1,40,1,1,3,14
GCF_003203155.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_003203275.fna.gz,hinfluenzae,991,40,50,63,10,22,3,15
GCF_003352345.fna.gz,hinfluenzae,-,28,6,18,10,3,12,
GCF_003414165.fna.gz,hinfluenzae,238,77,33,5,26,7,29,15
GCF_003414285.fna.gz,hinfluenzae,2026,59,1,40,1,187,3,14
GCF_003414395.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003414515.fna.gz,hinfluenzae,519,64,1,26,79,46,23,1
GCF_003414635.fna.gz,hinfluenzae,921,2,3,148,207,58,56,1
GCF_003414745.fna.gz,hinfluenzae,2025,71,33,35,282,7,10,15
GCF_003414885.fna.gz,hinfluenzae,1812,130,20,6,77,107,43,15
GCF_003414995.fna.gz,hinfluenzae,215,1,1,1,98,54,5,14
GCF_003415105.fna.gz,hinfluenzae,215,1,1,1,98,54,5,14
GCF_003415215.fna.gz,hinfluenzae,1812,130,20,6,77,107,43,15
GCF_003415355.fna.gz,hinfluenzae,2023,268,25,132,78,31,18,103
GCF_003415495.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002990135.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_002990655.fna.gz,hinfluenzae,349,13,14,28,62,13,1,1
GCF_002990785.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002991285.fna.gz,hinfluenzae,436,1,1,40,15,1,5,10
GCF_002991365.fna.gz,hinfluenzae,-,247,74,53,268,42,86,
GCF_003203115.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_003203175.fna.gz,hinfluenzae,396,61,2,10,26,15,3,8
GCF_003352365.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_003414175.fna.gz,hinfluenzae,921,2,3,148,207,58,56,1
GCF_003414305.fna.gz,hinfluenzae,1069,1,107,14,22,1,5,1
GCF_003414415.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_003414545.fna.gz,hinfluenzae,1812,130,20,6,77,107,43,15
GCF_003414645.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003414785.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003414905.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415025.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415115.fna.gz,hinfluenzae,1813,40,18,3,7,53,10,2
GCF_003415255.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003415395.fna.gz,hinfluenzae,644,14,8,1,174,1,13,14
GCF_003415505.fna.gz,hinfluenzae,996,14,35,37,26,57,9,14
GCF_003415525.fna.gz,hinfluenzae,2022,267,57,63,15,52,21,13
GCF_003415565.fna.gz,hinfluenzae,2022,267,57,63,15,52,21,13
GCF_003415585.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_003425445.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003425465.fna.gz,hinfluenzae,2022,267,57,63,15,52,21,13
GCF_003425485.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_003425505.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003425525.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_003425565.fna.gz,hinfluenzae,1069,1,107,14,22,1,5,1
GCF_003425585.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003425605.fna.gz,hinfluenzae,1069,1,107,14,22,1,5,1
GCF_003425625.fna.gz,hinfluenzae,1789,39,20,6,202,7,43,66
GCF_003425645.fna.gz,hinfluenzae,474,78,54,3,64,65,48,1
GCF_003425715.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003425765.fna.gz,hinfluenzae,2022,267,57,63,15,52,21,13
GCF_003425815.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_003425935.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_003425955.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_003458065.fna.gz,hinfluenzae,40,1,3,1,31,1,5,1
GCF_003490185.fna.gz,hinfluenzae,243,14,1,1,59,1,5,14
GCF_003490225.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003490275.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_003490425.fna.gz,hinfluenzae,1445,77,33,5,22,7,29,15
GCF_003490445.fna.gz,hinfluenzae,1714,130,1,26,79,46,23,1
GCF_003490605.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_003490645.fna.gz,hinfluenzae,724,7,20,10,4,21,8,5
GCF_003490705.fna.gz,hinfluenzae,1862,42,1,1,67,65,5,1
GCF_003490755.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_003490785.fna.gz,hinfluenzae,404,111,1,1,49,1,5,14
GCF_003490865.fna.gz,hinfluenzae,54,7,14,10,4,22,22,5
GCF_003490875.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_003490905.fna.gz,hinfluenzae,208,4,33,5,16,7,29,15
GCF_003490975.fna.gz,hinfluenzae,245,1,24,1,27,18,5,18
GCF_003491005.fna.gz,hinfluenzae,1708,183,35,37,7,57,13,14
GCF_003492045.fna.gz,hinfluenzae,95,7,14,31,4,4,8,5
GCF_003492685.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_003493075.fna.gz,hinfluenzae,1689,255,18,17,62,53,34,2
GCF_003493105.fna.gz,hinfluenzae,146,57,8,11,17,47,41,7
GCF_003493205.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003493265.fna.gz,hinfluenzae,84,13,7,29,45,13,1,1
GCF_003493275.fna.gz,hinfluenzae,1711,14,18,5,86,53,23,15
GCF_003493305.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_003493335.fna.gz,hinfluenzae,2,4,7,14,16,1,1,15
GCF_003493385.fna.gz,hinfluenzae,398,114,1,1,89,1,37,14
GCF_003493485.fna.gz,hinfluenzae,602,41,2,5,26,7,29,1
GCF_003493835.fna.gz,hinfluenzae,1692,58,8,5,92,58,29,14
GCF_003494135.fna.gz,hinfluenzae,142,53,1,1,15,1,38,35
GCF_003494325.fna.gz,hinfluenzae,184,58,45,45,26,48,18,9
GCF_003494415.fna.gz,hinfluenzae,-,21,7,14,46,16,1,
GCF_003494495.fna.gz,hinfluenzae,119,47,14,10,4,4,8,5
GCF_003494745.fna.gz,hinfluenzae,1870,10,11,7,6,6,10,134
GCF_003495765.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_003496895.fna.gz,hinfluenzae,385,13,54,95,30,12,48,7
GCF_003496965.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_003497065.fna.gz,hinfluenzae,431,117,33,5,142,7,29,15
GCF_004327565.fna.gz,hinfluenzae,1860,26,2,10,26,15,3,8
GCF_004802015.fna.gz,hinfluenzae,1906,157,54,63,17,57,10,73
GCF_004802085.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_004802285.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_004802365.fna.gz,hinfluenzae,1479,44,34,6,252,169,1,5
GCF_004802435.fna.gz,hinfluenzae,200,14,8,42,17,7,10,41
GCF_007897105.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_007897175.fna.gz,hinfluenzae,367,1,1,1,67,1,5,1
GCF_003493375.fna.gz,hinfluenzae,321,13,14,28,62,1,1,1
GCF_003493435.fna.gz,hinfluenzae,55,31,14,10,4,4,8,5
GCF_003493625.fna.gz,hinfluenzae,1717,183,35,37,7,57,8,14
GCF_003493725.fna.gz,hinfluenzae,637,12,14,10,4,5,8,7
GCF_003493895.fna.gz,hinfluenzae,180,21,1,1,81,1,5,1
GCF_003494225.fna.gz,hinfluenzae,183,1,44,14,22,1,5,1
GCF_003494345.fna.gz,hinfluenzae,-,1,33,7,66,7,29,
GCF_003494725.fna.gz,hinfluenzae,1690,5,11,137,217,104,42,11
GCF_003494815.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_003496805.fna.gz,hinfluenzae,121,28,6,18,10,3,14,10
GCF_003496985.fna.gz,hinfluenzae,117,7,14,10,4,4,8,3
GCF_003497045.fna.gz,hinfluenzae,205,69,1,40,61,1,5,14
GCF_004153235.fna.gz,hinfluenzae,267,83,6,1,1,1,5,1
GCF_004802005.fna.gz,hinfluenzae,1908,21,7,14,1,193,1,30
GCF_004802095.fna.gz,hinfluenzae,1909,279,60,26,289,32,21,7
GCF_004802165.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_004802225.fna.gz,hinfluenzae,1221,74,32,63,46,7,29,18
GCF_004802295.fna.gz,hinfluenzae,1910,40,3,40,17,38,21,1
GCF_004802395.fna.gz,hinfluenzae,1906,157,54,63,17,57,10,73
GCF_004802445.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_007897115.fna.gz,hinfluenzae,1282,2,8,33,111,16,29,16
GCF_008586745.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_003493525.fna.gz,hinfluenzae,1343,58,33,5,87,106,29,15
GCF_003493645.fna.gz,hinfluenzae,41,12,4,17,7,17,11,1
GCF_003493785.fna.gz,hinfluenzae,176,58,33,5,47,7,29,15
GCF_003494005.fna.gz,hinfluenzae,53,7,14,10,4,5,8,7
GCF_003494295.fna.gz,hinfluenzae,134,14,1,1,53,1,13,14
GCF_003494585.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_003494785.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_003496775.fna.gz,hinfluenzae,1148,31,54,63,11,102,10,7
GCF_003496945.fna.gz,hinfluenzae,386,28,6,18,10,3,12,14
GCF_003497005.fna.gz,hinfluenzae,1756,29,20,40,33,23,152,18
GCF_003691655.fna.gz,hinfluenzae,670,14,2,42,17,7,10,41
GCF_004801995.fna.gz,hinfluenzae,776,130,33,5,87,7,29,15
GCF_004802075.fna.gz,hinfluenzae,1909,279,60,26,289,32,21,7
GCF_004802145.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_004802155.fna.gz,hinfluenzae,1221,74,32,63,46,7,29,18
GCF_004802205.fna.gz,hinfluenzae,200,14,8,42,17,7,10,41
GCF_004802235.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_004802305.fna.gz,hinfluenzae,1910,40,3,40,17,38,21,1
GCF_004802405.fna.gz,hinfluenzae,1907,161,84,71,290,111,100,1
GCF_005888175.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_007897125.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_010603885.fna.gz,hinfluenzae,146,57,8,11,17,47,41,7
GCF_003493745.fna.gz,hinfluenzae,836,1,11,1,62,18,5,18
GCF_003493945.fna.gz,hinfluenzae,824,3,18,105,30,53,34,2
GCF_003494245.fna.gz,hinfluenzae,51,16,2,7,6,6,9,6
GCF_003494595.fna.gz,hinfluenzae,395,2,51,14,15,16,31,48
GCF_003494765.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003496545.fna.gz,hinfluenzae,436,1,1,40,15,1,5,10
GCF_003496925.fna.gz,hinfluenzae,1759,38,2,43,7,132,104,36
GCF_003497025.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_003691635.fna.gz,hinfluenzae,1025,8,20,6,77,107,43,15
GCF_004801985.fna.gz,hinfluenzae,1908,21,7,14,1,193,1,30
GCF_004802065.fna.gz,hinfluenzae,1907,161,84,71,290,111,100,1
GCF_004802265.fna.gz,hinfluenzae,776,130,33,5,87,7,29,15
GCF_004802355.fna.gz,hinfluenzae,1479,44,34,6,252,169,1,5
GCF_007897155.fna.gz,hinfluenzae,422,21,7,14,1,1,1,30
GCF_010603905.fna.gz,hinfluenzae,836,1,11,1,62,18,5,18
GCF_010604085.fna.gz,hinfluenzae,176,58,33,5,47,7,29,15
GCF_015712075.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_017871745.fna.gz,hinfluenzae,2333,41,77,151,210,53,34,8
GCF_012103175.fna.gz,hinfluenzae,56,11,16,13,3,5,7,18
GCF_900026975.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_900029205.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_900035255.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_900037345.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_900407355.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407415.fna.gz,hinfluenzae,1813,40,18,3,7,53,10,2
GCF_900407515.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_900407675.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_900407735.fna.gz,hinfluenzae,1218,2,8,33,17,16,127,16
GCF_900407995.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408075.fna.gz,hinfluenzae,396,61,2,10,26,15,3,8
GCF_900407835.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408155.fna.gz,hinfluenzae,244,2,11,55,102,16,3,14
GCF_900408205.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_901472485.fna.gz,hinfluenzae,464,20,19,21,145,35,18,7
GCF_010603975.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_010604045.fna.gz,hinfluenzae,-,14,20,6,88,41,43,40
GCF_014762515.fna.gz,hinfluenzae,23,11,16,13,3,5,7,2
GCF_016535385.fna.gz,hinfluenzae,44,3,14,10,4,4,8,3
GCF_900022475.fna.gz,hinfluenzae,1,1,1,1,15,1,5,14
GCF_900026985.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900031505.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_900407365.fna.gz,hinfluenzae,1145,183,35,37,202,57,13,14
GCF_900035265.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407525.fna.gz,hinfluenzae,190,7,14,10,85,4,8,5
GCF_900407575.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_900407685.fna.gz,hinfluenzae,1147,57,110,4,7,71,35,4
GCF_900407745.fna.gz,hinfluenzae,1147,57,110,4,7,71,35,4
GCF_900408005.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408085.fna.gz,hinfluenzae,164,1,1,43,72,46,23,7
GCF_900407845.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408165.fna.gz,hinfluenzae,1835,126,112,45,62,111,23,73
GCF_900408215.fna.gz,hinfluenzae,368,3,4,3,54,17,34,11
GCF_901873435.fna.gz,hinfluenzae,-,120,12,50,136,32,48,1
GCF_012103225.fna.gz,hinfluenzae,62,24,12,21,19,9,19,7
GCF_016861285.fna.gz,hinfluenzae,56,11,16,13,3,5,7,18
GCF_900017145.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_014931495.fna.gz,hinfluenzae,-,215,20,60,45,19,2,19
GCF_900026995.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900029335.fna.gz,hinfluenzae,266,14,18,3,86,53,23,15
GCF_900035275.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_900038065.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_900407375.fna.gz,hinfluenzae,1148,31,54,63,11,102,10,7
GCF_900407535.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_900407585.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407695.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407755.fna.gz,hinfluenzae,160,59,1,40,1,1,3,14
GCF_900407855.fna.gz,hinfluenzae,1832,55,2,42,46,23,10,41
GCF_900407895.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408015.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408175.fna.gz,hinfluenzae,276,13,8,5,71,58,29,14
GCF_900475535.fna.gz,hinfluenzae,559,139,79,50,162,36,95,10
GCF_013394405.fna.gz,hinfluenzae,422,21,7,14,1,1,1,30
GCF_000767075.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_017871695.fna.gz,hinfluenzae,160,59,1,40,1,1,3,14
GCF_900017155.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_900027005.fna.gz,hinfluenzae,389,112,1,1,61,44,5,14
GCF_900029875.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900035285.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_900039575.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_900407385.fna.gz,hinfluenzae,10,5,15,5,8,10,11,9
GCF_900407545.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_900407595.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_900407705.fna.gz,hinfluenzae,1830,21,8,39,65,35,19,11
GCF_900407765.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_900408025.fna.gz,hinfluenzae,368,3,4,3,54,17,34,11
GCF_900408095.fna.gz,hinfluenzae,509,45,8,50,26,35,32,7
GCF_900407865.fna.gz,hinfluenzae,282,7,14,10,4,5,8,44
GCF_900408185.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900475755.fna.gz,hinfluenzae,123,18,6,22,58,11,15,12
GCF_000169775.fna.gz,hinfluenzae,411,21,7,14,1,13,1,30
GCF_000636035.fna.gz,hinfluenzae,2419,64,1,26,79,46,29,15
GCF_014982365.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_017871715.fna.gz,hinfluenzae,2330,2,8,33,49,19,3,16
GCF_900022485.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_013402015.fna.gz,hinfluenzae,-,145,83,,111,229,165,
GCF_900407555.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_900407605.fna.gz,hinfluenzae,1828,11,16,13,3,5,154,2
GCF_900027015.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_900035295.fna.gz,hinfluenzae,266,14,18,3,86,53,23,15
GCF_900035535.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_900407715.fna.gz,hinfluenzae,1426,40,3,40,35,38,21,1
GCF_900407775.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_900407395.fna.gz,hinfluenzae,425,48,8,39,65,35,19,11
GCF_900408035.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408055.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407875.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408195.fna.gz,hinfluenzae,1143,82,54,69,80,130,61,7
GCF_900475995.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_000165575.fna.gz,hinfluenzae,1622,61,2,11,74,15,3,8
GCF_017871735.fna.gz,hinfluenzae,2332,1,11,1,17,13,5,18
GCF_900020195.fna.gz,hinfluenzae,190,7,14,10,85,4,8,5
GCF_014701215.fna.gz,hinfluenzae,1511,11,16,13,46,5,7,18
GCF_000833735.fna.gz,hinfluenzae,105,8,9,3,14,8,4,2
GCF_900407565.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_900407615.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_900029195.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_900035525.fna.gz,hinfluenzae,914,127,1,1,89,1,37,14
GCF_900036645.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407725.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407785.fna.gz,hinfluenzae,836,1,11,1,62,18,5,18
GCF_900407405.fna.gz,hinfluenzae,1150,1,1,1,227,1,5,1
GCF_900408045.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408065.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407885.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_000165525.fna.gz,hinfluenzae,99,41,33,5,22,7,29,1
GCF_000012185.fna.gz,hinfluenzae,33,6,10,1,1,1,5,1
GCF_900022515.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900034945.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900041425.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407425.fna.gz,hinfluenzae,249,57,17,26,78,8,50,1
GCF_900407825.fna.gz,hinfluenzae,474,78,54,3,64,65,48,1
GCF_900407965.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408115.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_000169835.fna.gz,hinfluenzae,187,41,33,5,26,7,29,32
GCF_900022525.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407435.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_900044685.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_900407445.fna.gz,hinfluenzae,23,11,16,13,3,5,7,2
GCF_900407905.fna.gz,hinfluenzae,1280,215,22,1,45,19,2,19
GCF_900407975.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_900408125.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_000173315.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_900032115.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_900407505.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_900044695.fna.gz,hinfluenzae,190,7,14,10,85,4,8,5
GCF_900407795.fna.gz,hinfluenzae,160,59,1,40,1,1,3,14
GCF_900407915.fna.gz,hinfluenzae,205,69,1,40,61,1,5,14
GCF_900407985.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900408135.fna.gz,hinfluenzae,1136,210,9,3,14,8,4,4
GCF_000169795.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_900034905.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_900407625.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900044735.fna.gz,hinfluenzae,1,1,1,1,15,1,5,14
GCF_900407805.fna.gz,hinfluenzae,1831,270,137,26,35,121,21,7
GCF_900407925.fna.gz,hinfluenzae,1382,82,12,50,147,32,125,50
GCF_900408105.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_900408145.fna.gz,hinfluenzae,183,1,44,14,22,1,5,1
GCF_900478735.fna.gz,hinfluenzae,27,28,6,18,23,3,19,8
GCF_900638105.fna.gz,hinfluenzae,478,125,33,28,11,7,89,18
GCF_000175435.fna.gz,hinfluenzae,260,57,8,11,90,29,35,7
GCF_015694745.fna.gz,hinfluenzae,2380,158,2,98,310,70,4,15
GCF_900034915.fna.gz,hinfluenzae,389,112,1,1,61,44,5,14
GCF_900407655.fna.gz,hinfluenzae,1829,13,18,3,86,53,23,15
GCF_900407935.fna.gz,hinfluenzae,1834,44,33,35,46,7,29,15
