Scheme	Genome	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
cdifficile	GCF_004315025.fna	4094196	129	31737.95	236143	1003	191	19	56964	19	42394	35	20234	64
cdifficile	GCF_004315045.fna	4224708	130	32497.75	213915	1017	1915	27	72279	20	42703	37	17727	67
cdifficile	GCF_004315065.fna	4017774	105	38264.51	231909	1013	1894	25	78130	17	55924	30	21214	53
cdifficile	GCF_004315085.fna	4010334	137	29272.51	184313	1055	1096	39	63633	20	35454	37	17965	68
cdifficile	GCF_004315105.fna	4112193	66	62305.95	887469	1296	2141	28	150422	6	77516	14	33081	30
cdifficile	GCF_004315125.fna	4194086	277	15141.1	119560	1010	3479	42	28064	45	17208	84	7612	157
cdifficile	GCF_004315145.fna	4040282	172	23490.01	129865	1047	3873	50	43212	29	25546	53	12175	98
cdifficile	GCF_004315165.fna	4046430	130	31126.38	276697	1006	1794	21	61767	19	34910	38	17543	71
cdifficile	GCF_004315185.fna	4177422	153	27303.41	220558	1074	2327	41	53132	27	32846	47	14044	84
cdifficile	GCF_004315205.fna	4104046	133	30857.49	168021	1010	3417	54	71862	19	41205	34	19185	63
cdifficile	GCF_004315225.fna	4235023	181	23397.92	168976	1016	721	37	49639	27	30817	50	12083	94
cdifficile	GCF_004315245.fna	4019728	57	70521.54	480516	1071	1001	25	217942	7	139591	12	58428	18
cdifficile	GCF_004315265.fna	4142650	157	26386.31	203973	1024	1512	30	52934	23	34514	41	15984	75
cdifficile	GCF_004315285.fna	4287949	139	30848.55	177613	1022	275	14	57270	27	36643	44	16021	79
cdifficile	GCF_004315305.fna	4036500	109	37032.11	237919	1115	348	17	86236	16	46630	29	18757	56
cdifficile	GCF_004315325.fna	4074728	141	28898.78	172435	1008	208	7	49343	25	34764	44	14850	81
cdifficile	GCF_004315345.fna	4184334	164	25514.23	201729	1009	880	36	56775	23	34840	43	14090	79
cdifficile	GCF_004315365.fna	4096049	163	25129.13	156549	1011	376	15	49925	26	28079	48	12942	88
cdifficile	GCF_004315385.fna	4232357	138	30669.25	159840	1022	437	18	52467	25	34316	44	17673	76
cdifficile	GCF_004315405.fna	4187458	179	23393.62	169987	1035	936	16	47306	28	25960	51	11306	94
cdifficile	GCF_004315425.fna	4108474	139	29557.37	152552	1015	1650	37	56925	24	34066	43	15001	76
cdifficile	GCF_004315445.fna	4092960	128	31976.25	184930	1150	183	13	55174	21	39474	38	16738	69
cdifficile	GCF_004315465.fna	4253628	164	25936.76	154632	1011	1628	31	58839	23	32000	42	13576	82
cdifficile	GCF_004315485.fna	4009816	69	58113.28	405616	1025	1944	36	181928	7	127404	13	51267	23
cdifficile	GCF_004315505.fna	4074234	95	42886.67	323748	1031	1015	27	111016	12	57007	22	23900	44
cdifficile	GCF_004315525.fna	4159299	148	28103.37	185146	1007	651	26	57217	22	36396	40	15883	75
cdifficile	GCF_004315545.fna	4219731	116	36376.99	237452	1093	1592	32	80561	17	54640	29	19785	53
cdifficile	GCF_004315565.fna	4199729	140	29998.06	169772	1037	1036	21	54075	25	36870	43	16369	78
cdifficile	GCF_004315585.fna	4258659	161	26451.3	157358	1050	371	26	51287	28	32674	48	14267	88
cdifficile	GCF_004315605.fna	4202642	226	18595.76	132993	1022	908	22	37305	37	23327	66	8875	124
cdifficile	GCF_004315625.fna	4219248	173	24388.72	135711	1020	1543	38	47616	29	31722	50	12619	94
cdifficile	GCF_004315645.fna	4228557	213	19852.38	180840	1012	1800	46	48567	25	31320	46	10280	92
cdifficile	GCF_004315665.fna	4224826	135	31295.01	175325	1035	1327	25	53577	24	35911	43	15803	76
cdifficile	GCF_004315685.fna	4096435	213	19232.09	116367	1040	444	19	36147	35	21231	65	9589	122
cdifficile	GCF_004315705.fna	4000856	84	47629.24	194775	1256	581	21	91964	17	61676	27	30671	45
cdifficile	GCF_004315725.fna	4212072	115	36626.71	193983	1005	2599	45	70747	20	45694	35	20297	62
cdifficile	GCF_004315745.fna	4253106	156	27263.5	193686	1009	248	20	54001	23	32468	44	15616	80
cdifficile	GCF_004315765.fna	3995157	155	25775.21	154290	1005	148	14	46440	24	31968	44	16019	79
cdifficile	GCF_004315785.fna	4342513	98	44311.36	373760	1107	586	19	88626	16	53172	29	22343	53
cdifficile	GCF_004315805.fna	4121171	134	30755.01	184191	1032	490	23	68807	18	38506	35	15848	69
cdifficile	GCF_004315825.fna	4273723	117	36527.55	235636	1033	239	26	73561	18	46649	32	20802	60
cdifficile	GCF_004315845.fna	4205474	114	36890.12	465591	1028	636	46	96413	12	67735	21	21690	44
cdifficile	GCF_004315865.fna	4043792	100	40437.92	243648	1101	418	24	78530	17	51776	30	22074	54
cdifficile	GCF_004315885.fna	4233671	186	22761.67	178837	1006	524	17	47895	30	31561	51	12999	92
cdifficile	GCF_004315905.fna	4188127	170	24636.04	210131	1019	629	21	49945	24	31677	44	13574	84
cdifficile	GCF_004315925.fna	4209837	117	35981.51	226011	1030	115	3	69016	20	46653	34	18906	61
cdifficile	GCF_004315945.fna	4182549	44	95057.93	546915	1180	1166	21	295834	6	234047	9	135491	14
cdifficile	GCF_004315965.fna	4267332	115	37107.23	242406	1025	447	27	75600	18	55858	31	19482	55
cdifficile	GCF_004315985.fna	4160140	138	30145.94	209144	1067	528	19	61685	20	38916	37	17185	67
cdifficile	GCF_004316005.fna	4211114	110	38282.85	356205	1024	189	15	77809	17	42972	31	21117	58
cdifficile	GCF_004316025.fna	4209011	95	44305.38	244811	1017	326	18	90831	16	60836	26	25972	46
cdifficile	GCF_004316045.fna	4208581	116	36280.87	237091	1026	401	14	60944	17	38899	33	18780	65
cdifficile	GCF_004316065.fna	4299453	112	38387.97	263538	1010	435	19	65880	18	48823	33	22072	57
cdifficile	GCF_004316085.fna	4064071	74	54919.88	346232	1038	547	12	92853	12	62098	22	35265	38
cdifficile	GCF_004316105.fna	4186148	117	35779.04	284456	1010	483	28	74383	16	57129	29	20267	55
cdifficile	GCF_004316125.fna	4245198	62	68470.94	293458	1078	462	14	135784	12	86848	20	46727	32
cdifficile	GCF_004316145.fna	4076276	82	49710.68	249576	1002	527	26	128664	12	91379	20	32994	33
cdifficile	GCF_004316165.fna	4219272	83	50834.6	356665	1130	1051	32	106046	12	62566	22	30377	39
cdifficile	GCF_004316185.fna	4251750	159	26740.57	190200	1044	277	12	53792	20	33371	39	13324	78
cdifficile	GCF_004316205.fna	4220986	122	34598.25	198112	1008	614	28	68566	18	48926	33	21187	60
cdifficile	GCF_004316225.fna	4072003	143	28475.55	261573	1024	924	33	61603	18	43161	34	13249	67
cdifficile	GCF_004316245.fna	4233772	55	76977.67	519590	1116	796	14	144300	9	80013	16	38664	31
cdifficile	GCF_004316265.fna	4213774	108	39016.43	220762	1052	315	15	70080	19	46721	33	22295	60
cdifficile	GCF_004316285.fna	4099127	141	29071.82	277891	1004	414	18	61923	21	38510	37	16203	69
cdifficile	GCF_004316305.fna	4165274	101	41240.34	214422	1086	776	33	103149	16	68122	25	28011	44
cdifficile	GCF_004316325.fna	4129968	129	32015.26	185316	1005	382	17	68578	18	36862	34	16020	67
cdifficile	GCF_004316345.fna	4209531	132	31890.39	196287	1053	251	11	70724	17	38658	34	15495	67
cdifficile	GCF_004316365.fna	4244529	149	28486.77	188460	1036	125	14	62579	21	34819	37	14931	74
cdifficile	GCF_004316385.fna	4033531	76	53072.78	336932	1107	750	35	146152	10	106347	17	42369	29
cdifficile	GCF_004316405.fna	4158464	93	44714.67	216638	1104	207	15	92911	14	54567	26	24438	46
cdifficile	GCF_004316425.fna	4254686	85	50055.13	467463	1010	1019	35	92856	12	72115	22	26520	40
cdifficile	GCF_004316445.fna	4234278	87	48669.86	252610	1046	97	5	94500	15	65067	25	22996	47
cdifficile	GCF_004316465.fna	4054118	76	53343.66	395527	1058	218	14	101290	11	77173	21	31639	38
cdifficile	GCF_004316485.fna	4109878	71	57885.61	318439	1026	117	11	95288	13	67287	23	30963	39
cdifficile	GCF_004316505.fna	4165338	184	22637.71	149249	1003	386	20	45380	30	28461	53	11592	99
cdifficile	GCF_004316525.fna	4100559	432	9492.03	121513	1004	330	14	16478	77	9557	143	4657	265
cdifficile	GCF_004316545.fna	4104914	197	20837.13	133751	1005	555	26	40234	31	23848	57	9935	106
cdifficile	GCF_004316565.fna	4129239	133	31046.91	258080	1009	2666	32	56844	20	36111	37	17409	71
cdifficile	GCF_004316585.fna	4018008	273	14717.98	150281	1003	569	21	27211	44	18365	80	7098	147
cdifficile	GCF_004316605.fna	3969973	157	25286.45	208776	1022	86	13	46415	27	28059	49	13823	86
cdifficile	GCF_004316625.fna	4217906	245	17215.94	132010	1038	212	14	34651	36	19333	69	7918	132
cdifficile	GCF_004316645.fna	4245121	211	20119.06	116213	1006	259	11	38641	35	23655	63	9613	117
cdifficile	GCF_004316665.fna	4159138	196	21220.09	173043	1013	183	14	47163	29	28560	52	11660	95
cdifficile	GCF_004316685.fna	4100353	259	15831.48	158062	1010	190	8	26326	45	17410	83	8445	151
cdifficile	GCF_004316705.fna	4068909	279	14583.9	138100	1029	354	9	24560	48	16274	89	8038	159
cdifficile	GCF_004316725.fna	4058303	178	22799.46	160773	1036	700	15	40858	26	25611	52	11969	97
cdifficile	GCF_004316745.fna	4180507	303	13797.05	99822	1078	259	8	22449	54	14841	98	6749	180
cdifficile	GCF_004316765.fna	4129384	190	21733.6	149433	1012	464	20	41518	32	25097	58	11906	103
cdifficile	GCF_004316785.fna	4117440	70	58820.57	197581	1213	553	17	95300	15	65935	25	35790	40
cdifficile	GCF_004316805.fna	4164650	70	59495	533393	1009	203	11	128280	10	85076	17	39986	31
cdifficile	GCF_004316825.fna	4272530	90	47472.56	238415	1036	36	10	89840	17	57395	29	23457	51
cdifficile	GCF_004316845.fna	4169537	84	49637.35	244114	1271	124	8	93566	14	66443	25	24502	45
cdifficile	GCF_004316865.fna	4256653	190	22403.44	150573	1029	251	15	38147	36	25101	64	10654	114
cdifficile	GCF_004316885.fna	4253237	87	48887.78	249683	1235	150	12	88929	16	56780	27	29529	46
cdifficile	GCF_004316905.fna	4144981	64	64765.33	265389	1212	563	16	126380	13	86456	20	42292	35
cdifficile	GCF_004316925.fna	4175482	77	54227.04	235419	1225	363	12	108812	15	73743	24	37165	40
cdifficile	GCF_004316945.fna	4060535	157	25863.28	110609	1075	1149	26	48782	30	30881	50	13846	89
cdifficile	GCF_004316965.fna	4187342	121	34606.13	204591	1063	297	15	69929	20	46867	35	18177	61
cdifficile	GCF_004316985.fna	4198437	136	30870.86	201465	1012	522	29	57341	19	37742	36	17157	68
cdifficile	GCF_004317005.fna	4210031	151	27881	149873	1086	624	27	52773	26	34624	46	17314	79
cdifficile	GCF_004317025.fna	4221297	81	52114.78	287650	1079	162	18	96109	15	67439	25	24529	44
cdifficile	GCF_004317045.fna	4254694	111	38330.58	200482	1036	178	12	65351	20	46931	35	18696	64
cdifficile	GCF_004317065.fna	4250021	125	34000.17	226848	1036	376	18	72242	20	47615	35	21562	61
cdifficile	GCF_004317105.fna	4122775	222	18571.06	163149	1007	474	14	35959	35	20826	65	9480	122
cdifficile	GCF_004317125.fna	4182824	165	25350.45	151635	1041	456	21	47942	28	29735	50	13748	91
cdifficile	GCF_004317145.fna	4057844	258	15728.08	125231	1020	165	10	27193	44	15460	84	8058	153
cdifficile	GCF_004317165.fna	4066377	343	11855.33	70104	1012	227	9	23937	56	11898	105	5679	201
cdifficile	GCF_004317185.fna	4159846	276	15071.91	136320	1014	460	22	28935	43	19623	78	7903	145
cdifficile	GCF_004317205.fna	4172855	209	19965.81	112704	1001	397	21	32419	43	23095	72	11292	122
cdifficile	GCF_004317225.fna	4093792	326	12557.64	70704	1005	197	10	21698	56	13180	103	6161	189
cdifficile	GCF_004317245.fna	4205165	321	13100.2	95242	1033	65	12	21824	59	14071	106	6289	196
cdifficile	GCF_004317265.fna	4180461	374	11177.7	80666	1017	255	10	20021	64	11859	116	5507	222
cdifficile	GCF_004317285.fna	4082253	583	7002.15	42991	1008	55	7	10232	120	6583	218	3446	386
cdifficile	GCF_004317305.fna	4122493	257	16040.83	115254	1038	188	15	26164	46	17986	84	8937	147
cdifficile	GCF_004317325.fna	4063084	369	11011.07	81616	1002	84	10	19314	64	11069	120	5340	224
cdifficile	GCF_004317345.fna	4122650	243	16965.64	107188	1001	303	18	29150	42	17258	79	8272	145
cdifficile	GCF_004317365.fna	4219306	196	21527.07	141946	1013	376	18	41930	32	24650	59	11936	108
cdifficile	GCF_004317385.fna	4276895	204	20965.17	137786	1034	50	14	41137	33	24544	61	9377	114
cdifficile	GCF_004317405.fna	4051088	553	7325.66	78480	1002	300	6	12151	94	7544	179	3105	342
cdifficile	GCF_004317425.fna	3960147	532	7443.89	47976	1003	577	17	11091	101	7218	189	3569	341
cdifficile	GCF_004317445.fna	4182039	395	10587.44	89903	1005	361	23	18000	73	11076	133	5207	239
cdifficile	GCF_004317465.fna	4110435	562	7313.94	78936	1007	27	11	11423	99	7409	186	3214	352
cdifficile	GCF_004317485.fna	4025512	191	21075.98	100554	1033	79	14	35571	37	25039	63	11898	109
cdifficile	GCF_004317505.fna	4151701	314	13221.98	82692	1022	110	9	24961	52	15412	95	6555	176
cdifficile	GCF_004317525.fna	4170317	254	16418.57	127551	1001	280	8	27853	44	19097	79	8382	145
cdifficile	GCF_004317545.fna	4149260	220	18860.27	132755	1008	454	15	32913	35	20267	67	9746	125
cdifficile	GCF_004317565.fna	4203511	199	21123.17	135648	1003	232	22	41199	34	24991	60	11150	112
cdifficile	GCF_004317585.fna	4228704	224	18878.14	132481	1016	724	19	33203	36	21626	68	9614	125
cdifficile	GCF_004317605.fna	4020899	166	24222.28	186053	1013	463	18	47845	26	33706	45	11865	86
cdifficile	GCF_004317625.fna	4030488	406	9927.31	67651	1006	371	17	16494	72	10102	135	4624	247
cdifficile	GCF_004317645.fna	4085179	206	19830.97	108701	1021	392	20	41207	29	23089	55	10989	103
cdifficile	GCF_004317665.fna	4178533	302	13836.2	95794	1036	217	9	25418	49	15119	91	6646	170
cdifficile	GCF_004317685.fna	4110539	242	16985.7	115052	1022	108	9	32710	40	19629	73	8822	135
cdifficile	GCF_004317705.fna	4101310	300	13671.03	82869	1039	202	8	22699	55	14968	98	6740	176
cdifficile	GCF_004317725.fna	4206007	184	22858.73	154280	1112	135	8	38549	32	24767	60	11899	108
cdifficile	GCF_004317745.fna	3986399	154	25885.71	130312	1035	191	8	49137	27	31454	46	13381	83
cdifficile	GCF_004317765.fna	4486389	138	32510.07	197609	1035	147	19	59778	24	42049	41	19080	74
cdifficile	GCF_004317785.fna	3879180	602	6443.82	38970	1007	935	23	9300	121	5940	226	3040	403
cdifficile	GCF_004317805.fna	4205093	133	31617.24	212705	1043	273	23	59701	22	42118	39	17241	70
cdifficile	GCF_004317825.fna	4071067	117	34795.44	208326	1223	180	17	56301	22	42390	38	18652	67
cdifficile	GCF_004317845.fna	4110183	134	30673.01	195204	1009	697	29	56056	23	40677	40	16236	70
cdifficile	GCF_004317865.fna	4131092	268	15414.52	87875	1009	226	20	26805	49	16956	89	8504	156
cdifficile	GCF_004317885.fna	4143385	320	12948.08	86919	1019	192	9	21262	64	14093	111	6292	198
cdifficile	GCF_004317905.fna	4125467	183	22543.54	125434	1035	351	13	44079	30	27719	52	11285	97
cdifficile	GCF_004317925.fna	4183958	197	21238.37	241392	1100	192	14	38467	29	22160	58	10784	111
cdifficile	GCF_004317945.fna	3989507	237	16833.36	96226	1006	210	6	30367	41	20696	72	9706	129
cdifficile	GCF_004317965.fna	4067868	221	18406.64	132830	1022	173	8	30641	41	20426	73	9149	131
cdifficile	GCF_004317985.fna	3959306	247	16029.58	86492	1004	177	12	26142	45	17883	81	8034	144
cdifficile	GCF_004318005.fna	4220956	284	14862.52	80586	1009	324	12	26077	51	17079	90	7587	162
cdifficile	GCF_004318025.fna	4147090	279	14864.12	98470	1002	216	21	26199	44	17257	83	7913	154
cdifficile	GCF_004318045.fna	4215920	268	15731.04	194427	1000	522	16	26366	44	17040	84	7774	155
cdifficile	GCF_004318065.fna	4100820	242	16945.54	139868	1022	232	18	28816	45	19894	79	8695	139
cdifficile	GCF_004318085.fna	4089260	107	38217.38	263825	1026	281	25	106013	14	57220	24	21984	47
cdifficile	GCF_004318105.fna	4224148	143	29539.5	266687	1036	299	22	58547	22	39695	40	18921	70
cdifficile	GCF_004318125.fna	4232952	119	35571.03	204742	1033	307	18	72602	20	39520	36	19014	66
cdifficile	GCF_004318145.fna	4254732	145	29342.98	185618	1080	129	10	54864	26	35719	44	15005	80
cdifficile	GCF_004318165.fna	4158091	154	27000.59	205609	1021	306	16	72321	20	37943	36	13950	71
cdifficile	GCF_004318185.fna	4029782	148	27228.26	165848	1040	230	23	52901	24	38333	42	16637	76
cdifficile	GCF_004318205.fna	4051962	92	44043.07	228727	1014	407	25	82786	15	50591	27	23962	47
cdifficile	GCF_004318225.fna	4245916	156	27217.41	180537	1016	319	14	55544	25	34596	44	15316	79
cdifficile	GCF_004318245.fna	4245792	195	21773.29	134635	1009	124	10	36060	34	22017	64	11891	115
cdifficile	GCF_004318265.fna	4236474	172	24630.66	171192	1019	415	16	44499	30	30934	53	16197	91
cdifficile	GCF_004318285.fna	4177238	204	20476.66	152416	1013	229	25	48648	28	27797	51	12441	95
cdifficile	GCF_004318305.fna	4184178	176	23773.74	139452	1006	246	18	47205	30	30978	51	14272	89
cdifficile	GCF_004318325.fna	4225906	161	26247.86	148613	1003	386	24	49637	28	31560	49	14194	87
cdifficile	GCF_004318345.fna	4136457	131	31576.01	169781	1005	610	25	57185	24	37798	41	17349	72
cdifficile	GCF_004318365.fna	4069082	186	21876.78	168249	1008	608	19	40043	30	25349	54	11164	100
cdifficile	GCF_004318385.fna	4142642	182	22761.77	109512	1039	507	22	46062	31	29546	53	10100	93
cdifficile	GCF_004318405.fna	4079176	266	15335.25	137508	1000	218	14	26234	51	17041	89	7938	157
cdifficile	GCF_004318425.fna	4076121	204	19980.99	159818	1019	242	13	35429	39	24494	66	11287	115
cdifficile	GCF_004318445.fna	4273262	109	39204.24	209379	1022	465	14	80294	17	53403	30	22713	52
cdifficile	GCF_004318465.fna	4088197	301	13582.05	86261	1005	734	26	21641	55	14104	103	6509	183
cdifficile	GCF_004318485.fna	4107379	408	10067.11	85977	1001	439	17	16956	71	10632	132	4489	250
cdifficile	GCF_004318505.fna	4162608	411	10128	76205	1005	541	18	16806	75	10522	138	4859	250
cdifficile	GCF_004318545.fna	3928133	492	7984.01	51032	1006	217	19	12474	93	8042	172	3752	310
cdifficile	GCF_004318565.fna	3643242	432	8433.43	49402	1006	989	20	14359	82	8986	147	3800	269
cdifficile	GCF_004318585.fna	3973127	469	8471.49	48826	1008	22	11	12926	91	8612	168	3927	299
cdifficile	GCF_004318605.fna	3926314	446	8803.39	44062	1009	669	12	13771	85	8818	155	4326	280
cdifficile	GCF_004318625.fna	4054117	440	9213.9	88551	1003	38	9	15823	75	9066	144	4287	267
cdifficile	GCF_004318645.fna	4071003	502	8109.57	70765	1009	754	28	13305	89	8294	167	3684	310
cdifficile	GCF_004318665.fna	3985239	390	10218.56	72880	1007	327	27	18017	66	10255	125	5114	232
cdifficile	GCF_004318705.fna	4035444	511	7897.15	70199	1024	139	13	12750	91	7509	170	3704	322
cdifficile	GCF_004318725.fna	3973061	163	24374.61	155292	1014	249	16	41690	29	29410	51	11671	94
cdifficile	GCF_004318745.fna	4056158	193	21016.36	149674	1014	577	18	38472	31	24869	59	10394	105
cdifficile	GCF_004318765.fna	4102638	365	11240.1	68395	1003	379	12	17466	65	11959	122	5601	219
cdifficile	GCF_004318785.fna	3751840	328	11438.54	94917	1003	175	13	20006	58	12538	105	4981	192
cdifficile	GCF_004318805.fna	4000423	260	15386.24	120261	1001	92	9	29427	41	19501	74	7822	138
cdifficile	GCF_004318825.fna	4112375	364	11297.73	85196	1008	295	11	17275	72	11485	130	5528	231
cdifficile	GCF_004318845.fna	3969226	372	10669.96	70615	1016	230	9	17334	67	10758	125	5238	224
cdifficile	GCF_004318865.fna	4067753	258	15766.48	62941	1107	305	9	25493	53	15894	94	8178	165
cdifficile	GCF_004318885.fna	4019907	232	17327.19	118134	1071	241	11	29836	38	21237	70	9322	129
cdifficile	GCF_004318905.fna	4006085	297	13488.5	92725	1002	10	5	24016	52	14981	94	6575	174
cdifficile	GCF_004318925.fna	3966212	410	9673.69	60080	1040	72	6	15900	76	9040	144	4904	261
cdifficile	GCF_004318945.fna	4089196	331	12354.07	82667	1008	274	9	20829	62	13438	109	5944	197
cdifficile	GCF_004318965.fna	4016061	324	12395.25	108013	1042	166	5	22287	57	12173	105	5962	197
cdifficile	GCF_004319005.fna	4130667	400	10326.67	76468	1033	172	5	16897	75	10459	136	4785	250
cdifficile	GCF_004319025.fna	4143628	230	18015.77	219420	1000	156	10	33524	33	21073	64	9225	123
cdifficile	GCF_004319045.fna	3948530	209	18892.49	98423	1103	157	4	29895	41	21788	72	9741	125
cdifficile	GCF_004319065.fna	4160141	227	18326.61	121791	1092	101	10	34308	37	19270	70	9519	129
cdifficile	GCF_004319085.fna	4096063	353	11603.58	86438	1017	123	10	19941	61	12224	114	5402	213
cdifficile	GCF_004319105.fna	3988014	382	10439.83	65346	1006	40	4	17203	69	10587	127	4698	233
cdifficile	GCF_004319125.fna	3948034	343	11510.3	86359	1014	111	7	19078	66	13164	116	5640	205
cdifficile	GCF_004319145.fna	4068041	230	17687.13	134620	1004	185	10	32703	37	21116	69	8736	125
cdifficile	GCF_004319165.fna	3903256	412	9473.92	80078	1025	148	6	16156	76	9810	140	4480	255
cdifficile	GCF_004319205.fna	4061579	450	9025.73	62698	1006	131	10	15190	80	9382	150	4189	275
cdifficile	GCF_004319225.fna	3934409	320	12295.03	102758	1054	138	10	20733	54	12403	104	5598	198
cdifficile	GCF_004319245.fna	4067566	222	18322.37	110507	1050	487	16	38154	36	19969	64	8774	122
cdifficile	GCF_004319265.fna	4047694	321	12609.64	73755	1036	445	23	22452	57	13708	104	5932	187
cdifficile	GCF_004319285.fna	4027288	301	13379.69	92078	1025	313	10	21479	56	14043	102	6401	183
cdifficile	GCF_004319305.fna	4048630	314	12893.73	88835	1032	325	17	20875	58	14144	106	6519	189
cdifficile	GCF_004319325.fna	4240477	272	15589.99	89977	1009	160	15	23119	55	16359	99	8142	172
cdifficile	GCF_004319345.fna	4064557	194	20951.32	188956	1044	58	17	37610	29	22218	57	10502	108
cdifficile	GCF_004319365.fna	4089739	262	15609.69	99011	1103	536	13	24357	52	17190	92	7926	160
cdifficile	GCF_004319385.fna	4058177	255	15914.42	105621	1032	160	19	29096	45	17349	81	8376	148
cdifficile	GCF_004319405.fna	4057697	327	12408.86	116070	1003	344	20	20959	58	12473	108	6091	195
cdifficile	GCF_004319425.fna	4297732	73	58873.04	361991	1082	469	24	175731	9	79522	17	38596	33
cdifficile	GCF_004319805.fna	4062555	224	18136.41	102518	1013	534	45	41477	32	23842	58	9866	110
cdifficile	GCF_004319825.fna	4002417	386	10368.96	106762	1025	733	28	17395	65	10576	126	5062	231
cdifficile	GCF_004319845.fna	4179585	330	12665.41	103124	1020	830	19	21473	60	12963	110	6291	203
cdifficile	GCF_004319865.fna	4064312	319	12740.79	105346	1057	125	12	22390	51	13705	97	6243	186
cdifficile	GCF_004319885.fna	3968467	381	10415.92	82465	1001	146	5	17367	72	10961	127	5062	234
cdifficile	GCF_004684385.fna	4253251	202	21055.7	128605	525	0	0	52158	28	24948	51	10510	104
cdifficile	GCF_004684395.fna	4239303	281	15086.49	122604	503	0	0	34928	42	17640	78	7678	149
cdifficile	GCF_004684405.fna	4239614	342	12396.53	135491	506	0	0	28577	42	14490	85	6536	169
cdifficile	GCF_004684415.fna	4179121	266	15710.98	135524	525	0	0	28647	40	17425	78	7804	147
cdifficile	GCF_004684465.fna	4155016	270	15388.95	151171	500	0	0	31799	39	18893	73	8486	138
cdifficile	GCF_004684475.fna	4269463	270	15812.83	135477	513	0	0	34729	38	22233	69	7115	138
cdifficile	GCF_004684485.fna	4267338	312	13677.37	113936	510	0	0	27625	43	15860	84	5997	169
cdifficile	GCF_004684495.fna	4068130	232	17535.04	158074	500	0	0	35158	33	23683	61	9613	112
cdifficile	GCF_004684515.fna	4354623	146	29826.18	261730	501	0	0	87969	14	57484	26	20541	50
cdifficile	GCF_004684565.fna	4265148	101	42229.19	457821	502	0	0	132203	10	98427	17	29359	31
cdifficile	GCF_004684575.fna	4238854	87	48722.46	374339	503	0	0	117454	13	79381	21	37488	35
cdifficile	GCF_004684585.fna	4184262	88	47548.43	332375	503	0	0	107869	12	71093	22	27280	40
cdifficile	GCF_004684595.fna	4252418	99	42953.72	254451	502	0	0	149908	12	81415	19	27254	39
cdifficile	GCF_004684645.fna	4042406	127	31829.97	207672	450	0	0	70716	19	43047	34	18711	62
cdifficile	GCF_004684655.fna	4165396	69	60368.06	457881	503	0	0	197739	8	98502	15	37307	27
cdifficile	GCF_004684665.fna	4357721	129	33780.78	433262	301	0	0	156484	9	74902	18	27252	36
cdifficile	GCF_004684675.fna	4080432	79	51651.04	484746	503	0	0	135481	9	102263	16	37488	29
cdifficile	GCF_004684695.fna	4264201	103	41400.01	355446	503	0	0	135481	10	98625	18	32691	33
cdifficile	GCF_004684745.fna	4308058	92	46826.72	475708	503	0	0	118190	12	79960	20	28393	38
cdifficile	GCF_004684755.fna	4299239	95	45255.15	390495	503	0	0	107553	13	60348	24	31616	42
cdifficile	GCF_005502205.fna	4221572	98	43077.27	526102	202	387	4	277155	5	149337	10	71076	18
cdifficile	GCF_005786645.fna	3966024	115	34487.17	408406	203	0	0	133832	9	95347	17	37609	28
cdifficile	GCF_006379335.fna	4107083	3	1369027.67	4080499	10383	0	0	4080499	1	4080499	1	4080499	1
cdifficile	GCF_006379355.fna	4177329	2	2088664.5	4167947	9382	0	0	4167947	1	4167947	1	4167947	1
cdifficile	GCF_006380825.fna	4155533	4	1038883.25	4103144	2049	0	0	4103144	1	4103144	1	4103144	1
cdifficile	GCF_006380835.fna	4135554	7	590793.43	4091280	2325	0	0	4091280	1	4091280	1	4091280	1
cdifficile	GCF_006380875.fna	4210687	2	2105343.5	4178792	31895	0	0	4178792	1	4178792	1	4178792	1
cdifficile	GCF_006380895.fna	4192092	11	381099.27	1973955	4529	0	0	1434792	2	1434792	2	209854	4
cdifficile	GCF_006380905.fna	4094154	2	2047077	4080472	13682	0	0	4080472	1	4080472	1	4080472	1
cdifficile	GCF_006380915.fna	4118803	3	1372934.33	4083672	15101	0	0	4083672	1	4083672	1	4083672	1
cdifficile	GCF_006380955.fna	4451150	3	1483716.67	4302423	12526	0	0	4302423	1	4302423	1	4302423	1
cdifficile	GCF_006380975.fna	4445248	9	493916.44	4180979	9539	0	0	4180979	1	4180979	1	4180979	1
cdifficile	GCF_006380995.fna	4167354	4	1041838.5	4038225	3749	0	0	4038225	1	4038225	1	4038225	1
cdifficile	GCF_006381005.fna	4292951	2	2146475.5	4277080	15871	0	0	4277080	1	4277080	1	4277080	1
cdifficile	GCF_006381025.fna	4204496	3	1401498.67	4179677	8794	0	0	4179677	1	4179677	1	4179677	1
cdifficile	GCF_006381045.fna	4390283	6	731713.83	4178286	770	0	0	4178286	1	4178286	1	4178286	1
cdifficile	GCF_006381075.fna	4498460	7	642637.14	4235401	10798	0	0	4235401	1	4235401	1	4235401	1
cdifficile	GCF_006381095.fna	4231927	3	1410642.33	4203477	13095	0	0	4203477	1	4203477	1	4203477	1
cdifficile	GCF_006381115.fna	4244455	3	1414818.33	4207380	14836	0	0	4207380	1	4207380	1	4207380	1
cdifficile	GCF_006408235.fna	4121087	2	2060543.5	4108298	12789	0	0	4108298	1	4108298	1	4108298	1
