Genome,Scheme,ST,aroA,cpn60,dpr,gki,mutS,recA,thrA,clonal_complex
GCF_000945455.fna.gz,ssuis,897,13,77,233,287,117,38,205,
GCF_000945475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945495.fna.gz,ssuis,108,8,21,5,45,44,22,23,
GCF_000945515.fna.gz,ssuis,906,258,336,99,129,303,113,51,
GCF_000945535.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945555.fna.gz,ssuis,31,30,30,5,34,31,3,25,
GCF_000945575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945675.fna.gz,ssuis,891,1,1,1,299,1,1,1,
GCF_000945695.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945775.fna.gz,ssuis,877,15,11,9,7,305,30,12,
GCF_000945795.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000945815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945875.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000945935.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000945975.fna.gz,ssuis,863,37,34,29,5,8,19,28,
GCF_000945995.fna.gz,ssuis,878,15,68,9,12,305,30,11,
GCF_000946015.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946095.fna.gz,ssuis,858,38,75,45,15,84,26,149,
GCF_000946115.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946135.fna.gz,ssuis,31,30,30,5,34,31,3,25,
GCF_000946155.fna.gz,ssuis,873,1,1,1,293,1,1,1,
GCF_000946175.fna.gz,ssuis,873,1,1,1,293,1,1,1,
GCF_000946195.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000946215.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946235.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_000946255.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000946355.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946395.fna.gz,ssuis,105,1,1,1,52,1,1,1,
GCF_000946495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946515.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946535.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946555.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946615.fna.gz,ssuis,889,257,344,232,298,8,26,125,
GCF_000946655.fna.gz,ssuis,947,37,41,239,294,75,20,204,
GCF_000946675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946695.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946715.fna.gz,ssuis,895,21,25,221,14,8,21,27,
GCF_000946795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946835.fna.gz,ssuis,912,259,337,30,128,312,7,44,
GCF_000946875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946915.fna.gz,ssuis,905,31,332,223,15,302,46,143,
GCF_000946935.fna.gz,ssuis,860,49,90,19,128,75,77,125,
GCF_000946955.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000946995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947055.fna.gz,ssuis,911,8,21,5,45,44,22,203,
GCF_000947075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947235.fna.gz,ssuis,901,188,343,229,103,301,58,202,
GCF_000947255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947335.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947395.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947415.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947455.fna.gz,ssuis,913,21,344,225,128,76,26,56,
GCF_000947475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947495.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000947515.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947535.fna.gz,ssuis,887,114,342,58,188,310,219,8,
GCF_000947555.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947615.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947695.fna.gz,ssuis,23,26,8,24,12,1,10,4,
GCF_000947715.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000947735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947755.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000947835.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000993745.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_001272635.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_001293215.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_001293235.fna.gz,ssuis,-,-,30,5,34,31,3,25,
GCF_001293245.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_001293255.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_001293295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_001293305.fna.gz,ssuis,76,8,23,36,24,21,22,12,
GCF_001293355.fna.gz,ssuis,787,2,30,5,34,270,3,25,
GCF_001293375.fna.gz,ssuis,-,222,-,5,49,52,18,175,
GCF_001572685.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_001610935.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_001640765.fna.gz,ssuis,243,8,30,45,30,2,6,12,
GCF_001721625.fna.gz,ssuis,243,8,30,45,30,2,6,12,
GCF_001866735.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_001936415.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002111405.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002157605.fna.gz,ssuis,752,8,21,5,264,44,22,23,
GCF_002189695.fna.gz,ssuis,658,1,1,1,1,1,1,162,
GCF_002285535.fna.gz,ssuis,785,222,282,5,49,52,18,175,
GCF_002285735.fna.gz,ssuis,76,8,23,36,24,21,22,12,
GCF_002688665.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002736265.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_002759625.fna.gz,ssuis,431,91,110,74,129,133,34,81,
GCF_002759675.fna.gz,ssuis,408,144,110,126,159,133,34,81,
GCF_002759695.fna.gz,ssuis,451,146,168,106,143,25,128,114,
GCF_002759725.fna.gz,ssuis,434,148,77,130,161,133,113,111,
GCF_002759735.fna.gz,ssuis,406,142,77,74,158,109,113,111,
GCF_002759775.fna.gz,ssuis,432,121,152,74,155,141,118,116,
GCF_002760055.fna.gz,ssuis,436,149,110,131,103,160,113,111,
GCF_002760075.fna.gz,ssuis,399,62,110,74,129,133,34,81,
GCF_002760105.fna.gz,ssuis,453,91,182,99,167,133,129,111,
GCF_002760125.fna.gz,ssuis,453,91,182,99,167,133,129,111,
GCF_002760135.fna.gz,ssuis,404,91,167,74,129,108,34,94,
GCF_002760165.fna.gz,ssuis,453,91,182,99,167,133,129,111,
GCF_002760195.fna.gz,ssuis,453,91,182,99,167,133,129,111,
GCF_002760225.fna.gz,ssuis,444,121,166,123,7,133,113,11,
GCF_002760245.fna.gz,ssuis,new_alleles,127,~423,74,~189,~156,128,~62,
GCF_002760305.fna.gz,ssuis,432,121,152,74,155,141,118,116,
GCF_002803825.fna.gz,ssuis,383,137,145,121,103,137,38,98,
GCF_002812525.fna.gz,ssuis,475,159,110,74,60,171,37,51,
GCF_002896475.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002960005.fna.gz,ssuis,new_alleles,~352,348,~319,304,~408,184,267,
GCF_002960015.fna.gz,ssuis,922,13,110,23,161,108,34,81,
GCF_002960045.fna.gz,ssuis,new_ST,222,30,7,6,302,18,11,
GCF_002960055.fna.gz,ssuis,-,-,381,~200,-,-,~289,-,
GCF_002960085.fna.gz,ssuis,new_ST,162,110,74,129,133,34,81,
GCF_002960105.fna.gz,ssuis,new_ST,162,110,74,129,133,34,81,
GCF_002960125.fna.gz,ssuis,new_ST,162,110,74,129,133,34,81,
GCF_002960145.fna.gz,ssuis,new_ST,162,110,74,129,133,34,81,
GCF_002960185.fna.gz,ssuis,new_ST,16,58,23,129,65,34,61,
GCF_002960195.fna.gz,ssuis,new_alleles,38,~52,~30,162,~302,17,64,
GCF_002960265.fna.gz,ssuis,499,88,134,44,72,105,91,55,
GCF_002960275.fna.gz,ssuis,new_alleles,~183,132,~28,60,218,59,55,
GCF_002960305.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002960325.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002960345.fna.gz,ssuis,934,63,55,217,86,43,68,12,
GCF_002960355.fna.gz,ssuis,new_alleles,312,~212,181,7,11,156,175,
GCF_002960385.fna.gz,ssuis,new_ST,149,58,23,81,65,34,61,
GCF_002960395.fna.gz,ssuis,new_alleles,214,300,131,235,380,~262,232,
GCF_002960425.fna.gz,ssuis,-,-,~451,~163,~182,-,~274,-,
GCF_002960445.fna.gz,ssuis,-,~146,~451,~29,-,~113,~274,-,
GCF_002960455.fna.gz,ssuis,new_ST,15,142,52,86,16,26,12,
GCF_002960485.fna.gz,ssuis,-,-,~144,~163,-,-,~274,-,
GCF_002960495.fna.gz,ssuis,new_alleles,198,~116,49,280,236,72,74,
GCF_002960525.fna.gz,ssuis,new_alleles,~356,348,~319,304,~415,184,249,
GCF_002960535.fna.gz,ssuis,new_alleles,~293,~242,~216,~303,~215,102,~226,
GCF_002960555.fna.gz,ssuis,new_ST,162,110,74,129,133,34,81,
GCF_002960565.fna.gz,ssuis,929,16,329,23,281,293,35,51,
GCF_002960605.fna.gz,ssuis,new_alleles,149,110,133,164,~133,34,61,
GCF_002960625.fna.gz,ssuis,-,-,466,~29,-,~113,~274,-,
GCF_002960635.fna.gz,ssuis,new_alleles,91,77,23,~410,113,90,111,
GCF_002960665.fna.gz,ssuis,new_alleles,16,77,99,103,~133,113,94,
GCF_002960685.fna.gz,ssuis,new_ST,62,85,58,54,45,42,62,
GCF_002960695.fna.gz,ssuis,new_alleles,25,~116,30,4,9,13,12,
GCF_002960725.fna.gz,ssuis,928,63,312,2,280,43,64,12,
GCF_002960745.fna.gz,ssuis,new_alleles,312,~212,181,7,11,156,138,
GCF_002960765.fna.gz,ssuis,928,63,312,2,280,43,64,12,
GCF_002960775.fna.gz,ssuis,927,63,33,2,280,43,64,12,
GCF_002960805.fna.gz,ssuis,926,93,328,75,165,292,91,53,
GCF_002960825.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002960865.fna.gz,ssuis,921,56,44,28,106,94,71,126,
GCF_002960885.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002960905.fna.gz,ssuis,921,56,44,28,106,94,71,126,
GCF_002960925.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002960945.fna.gz,ssuis,new_alleles,~53,410,~272,156,71,18,239,
GCF_002960965.fna.gz,ssuis,932,25,327,47,212,228,28,200,
GCF_002961005.fna.gz,ssuis,939,252,327,109,72,228,28,63,
GCF_002961025.fna.gz,ssuis,939,252,327,109,72,228,28,63,
GCF_002961045.fna.gz,ssuis,new_ST,87,106,71,86,84,123,12,
GCF_002961055.fna.gz,ssuis,new_ST,87,106,71,86,84,123,12,
GCF_002961075.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_002961105.fna.gz,ssuis,423,87,106,71,86,84,86,56,
GCF_002961125.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002961145.fna.gz,ssuis,new_alleles,24,30,~30,212,16,77,143,
GCF_002961165.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002961175.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002961205.fna.gz,ssuis,new_alleles,~336,~13,143,359,145,134,~185,
GCF_002961225.fna.gz,ssuis,new_alleles,149,110,133,164,~133,34,61,
GCF_002961235.fna.gz,ssuis,new_alleles,~269,327,42,223,16,13,63,
GCF_002961265.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002961275.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002961305.fna.gz,ssuis,-,-,~393,~200,~277,~104,~269,-,
GCF_002961315.fna.gz,ssuis,new_alleles,91,~20,133,~274,113,~289,111,
GCF_002961325.fna.gz,ssuis,new_ST,15,193,5,7,220,162,11,
GCF_002961355.fna.gz,ssuis,new_ST,15,193,5,7,220,162,11,
GCF_002961385.fna.gz,ssuis,new_ST,15,193,5,7,220,162,11,
GCF_002961395.fna.gz,ssuis,new_alleles,13,78,~143,81,108,113,111,
GCF_002961425.fna.gz,ssuis,new_alleles,91,~218,123,155,133,37,111,
GCF_002961445.fna.gz,ssuis,new_alleles,91,~218,123,155,133,37,111,
GCF_002961465.fna.gz,ssuis,new_alleles,91,~218,123,155,133,37,111,
GCF_002961485.fna.gz,ssuis,new_alleles,91,~218,123,155,133,113,102,
GCF_002961505.fna.gz,ssuis,930,248,330,216,282,294,77,138,
GCF_002961525.fna.gz,ssuis,new_alleles,13,~20,~143,81,108,113,111,
GCF_002961555.fna.gz,ssuis,931,249,66,52,86,292,91,55,
GCF_002961565.fna.gz,ssuis,930,248,330,216,282,294,77,138,
GCF_002961605.fna.gz,ssuis,931,249,66,52,86,292,91,55,
GCF_002961625.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961635.fna.gz,ssuis,new_ST,93,177,75,165,292,91,53,
GCF_002961645.fna.gz,ssuis,926,93,328,75,165,292,91,53,
GCF_002961685.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961705.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961715.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961725.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961765.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_002961785.fna.gz,ssuis,926,93,328,75,165,292,91,53,
GCF_002961795.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002961825.fna.gz,ssuis,new_ST,13,110,74,138,133,34,103,
GCF_002961845.fna.gz,ssuis,new_ST,13,110,74,138,133,34,149,
GCF_002961865.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002961885.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002961905.fna.gz,ssuis,new_ST,13,110,74,138,133,34,103,
GCF_002961925.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_002961945.fna.gz,ssuis,new_ST,93,328,75,165,292,64,53,
GCF_002961965.fna.gz,ssuis,937,250,332,9,72,295,209,82,
GCF_002961975.fna.gz,ssuis,new_ST,93,328,75,165,292,64,53,
GCF_002962005.fna.gz,ssuis,937,250,332,9,72,295,209,82,
GCF_002962025.fna.gz,ssuis,new_ST,88,142,49,199,221,64,38,
GCF_002962045.fna.gz,ssuis,new_ST,88,142,49,199,221,64,38,
GCF_002962065.fna.gz,ssuis,new_alleles,90,142,11,7,~29,77,18,
GCF_002962085.fna.gz,ssuis,new_alleles,90,142,11,7,~29,77,18,
GCF_002962105.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002962125.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002962145.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002962185.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002962195.fna.gz,ssuis,937,250,332,9,72,295,209,82,
GCF_002962225.fna.gz,ssuis,new_ST,13,110,74,138,133,34,103,
GCF_002962245.fna.gz,ssuis,11,3,1,1,1,1,1,1,
GCF_002962265.fna.gz,ssuis,923,25,55,42,223,9,13,63,
GCF_002962295.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002962305.fna.gz,ssuis,new_alleles,16,77,74,129,~133,34,~111,
GCF_002962345.fna.gz,ssuis,new_ST,154,77,74,129,108,34,81,
GCF_002962365.fna.gz,ssuis,new_alleles,90,142,11,7,~29,77,18,
GCF_002962375.fna.gz,ssuis,new_ST,63,33,22,223,14,85,11,
GCF_002962405.fna.gz,ssuis,933,91,331,74,155,296,34,100,
GCF_002962425.fna.gz,ssuis,933,91,331,74,155,296,34,100,
GCF_002962445.fna.gz,ssuis,new_alleles,~352,~348,201,~399,408,~286,267,
GCF_002962465.fna.gz,ssuis,new_ST,13,110,123,164,133,34,16,
GCF_002962485.fna.gz,ssuis,new_alleles,198,~116,49,280,236,72,106,
GCF_002962505.fna.gz,ssuis,919,25,33,30,4,9,13,12,
GCF_002962515.fna.gz,ssuis,new_ST,62,85,58,54,45,42,62,
GCF_002962545.fna.gz,ssuis,919,25,33,30,4,9,13,12,
GCF_002962565.fna.gz,ssuis,919,25,33,30,4,9,13,12,
GCF_002962595.fna.gz,ssuis,new_ST,62,85,58,54,45,42,62,
GCF_002962615.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002962665.fna.gz,ssuis,939,252,327,109,72,228,28,63,
GCF_002962685.fna.gz,ssuis,new_alleles,16,77,99,103,~133,113,94,
GCF_002962715.fna.gz,ssuis,423,87,106,71,86,84,86,56,
GCF_002962745.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002962765.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002962785.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002962805.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002962815.fna.gz,ssuis,new_alleles,218,~452,284,12,191,~105,37,
GCF_002962845.fna.gz,ssuis,new_alleles,24,30,~30,212,191,77,143,
GCF_002962865.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002962885.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002962915.fna.gz,ssuis,new_alleles,13,78,~143,81,108,113,111,
GCF_002962945.fna.gz,ssuis,new_ST,331,52,181,138,10,156,18,
GCF_002962975.fna.gz,ssuis,930,248,330,216,282,294,77,138,
GCF_002963005.fna.gz,ssuis,930,248,330,216,282,294,77,138,
GCF_002963025.fna.gz,ssuis,new_alleles,88,134,2,72,~181,91,12,
GCF_002963035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_002963065.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002963085.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002963105.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002963125.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002963145.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002963155.fna.gz,ssuis,new_alleles,62,85,58,54,~248,42,62,
GCF_002963185.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_002963205.fna.gz,ssuis,new_ST,16,110,74,138,65,34,179,
GCF_002963215.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002963245.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002963265.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002963295.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_002963325.fna.gz,ssuis,new_ST,93,328,75,165,292,64,53,
GCF_002963345.fna.gz,ssuis,11,3,1,1,1,1,1,1,
GCF_002963355.fna.gz,ssuis,923,25,55,42,223,9,13,63,
GCF_002963385.fna.gz,ssuis,new_alleles,16,77,74,129,108,34,~111,
GCF_002963405.fna.gz,ssuis,new_alleles,16,77,74,129,108,34,~111,
GCF_002963425.fna.gz,ssuis,new_ST,291,478,239,64,163,18,166,
GCF_002963435.fna.gz,ssuis,188,63,55,53,86,43,68,12,
GCF_002963465.fna.gz,ssuis,940,39,38,30,12,297,210,201,
GCF_002963485.fna.gz,ssuis,933,91,331,74,155,296,34,100,
GCF_002963505.fna.gz,ssuis,new_alleles,~308,110,~164,~219,133,34,81,
GCF_002963525.fna.gz,ssuis,new_alleles,93,328,75,~60,292,81,53,
GCF_002963535.fna.gz,ssuis,new_alleles,93,328,75,~60,292,81,53,
GCF_002963565.fna.gz,ssuis,new_alleles,93,328,75,~60,292,81,53,
GCF_002963595.fna.gz,ssuis,477,15,193,22,4,16,85,12,
GCF_002963625.fna.gz,ssuis,new_alleles,93,328,75,~60,292,81,53,
GCF_002963645.fna.gz,ssuis,new_alleles,223,38,~216,199,81,~262,143,
GCF_002963655.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002963685.fna.gz,ssuis,new_alleles,218,35,11,265,191,~22,38,
GCF_002963695.fna.gz,ssuis,new_alleles,144,77,99,~354,145,34,81,
GCF_002963705.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002963745.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002963765.fna.gz,ssuis,250,63,68,49,86,14,85,11,
GCF_002963775.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_002963805.fna.gz,ssuis,new_ST,63,299,44,86,43,68,12,
GCF_002963825.fna.gz,ssuis,938,251,333,23,161,109,90,111,
GCF_002963845.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_002963865.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_002963885.fna.gz,ssuis,499,88,134,44,72,105,91,55,
GCF_002963905.fna.gz,ssuis,new_alleles,54,241,66,79,181,~103,152,
GCF_002963925.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002963945.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002963965.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002963985.fna.gz,ssuis,new_ST,91,110,23,81,108,113,138,
GCF_002964005.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964015.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964045.fna.gz,ssuis,-,-,~48,~200,~390,~166,~211,53,
GCF_002964055.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964085.fna.gz,ssuis,917,23,99,52,73,220,194,23,
GCF_002964105.fna.gz,ssuis,925,63,327,42,223,9,13,12,
GCF_002964115.fna.gz,ssuis,917,23,99,52,73,220,194,23,
GCF_002964145.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_002964165.fna.gz,ssuis,250,63,68,49,86,14,85,11,
GCF_002964185.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_002964205.fna.gz,ssuis,938,251,333,23,161,109,90,111,
GCF_002964225.fna.gz,ssuis,new_alleles,290,~203,267,15,350,110,239,
GCF_002964325.fna.gz,ssuis,new_ST,88,134,30,60,299,190,55,
GCF_002964345.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964365.fna.gz,ssuis,new_ST,88,134,30,60,299,190,55,
GCF_002964375.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964405.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964415.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964445.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964465.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964485.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964505.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964525.fna.gz,ssuis,920,15,299,5,7,220,162,11,
GCF_002964575.fna.gz,ssuis,-,-,~32,~163,~153,-,-,-,
GCF_003012385.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003012395.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003012425.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003012435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003012465.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003012485.fna.gz,ssuis,665,1,1,1,189,1,1,1,
GCF_003028635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_003144175.fna.gz,ssuis,498,38,28,59,72,84,69,55,
GCF_003285225.fna.gz,ssuis,new_ST,88,134,30,60,299,190,55,
GCF_003285245.fna.gz,ssuis,new_ST,88,134,30,60,299,190,55,
GCF_003288175.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_003352205.fna.gz,ssuis,1006,278,44,257,39,291,93,126,
GCF_003352225.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_003931695.fna.gz,ssuis,1098,308,395,124,188,364,254,12,
GCF_003931705.fna.gz,ssuis,1097,150,394,193,343,108,113,92,
GCF_003931715.fna.gz,ssuis,new_alleles,18,~136,24,12,1,10,4,
GCF_003933285.fna.gz,ssuis,1104,25,392,15,41,15,23,10,
GCF_003933705.fna.gz,ssuis,1104,25,392,15,41,15,23,10,
GCF_003933805.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_003933815.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_003933825.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_003933835.fna.gz,ssuis,1238,321,417,273,198,384,38,16,
GCF_003933845.fna.gz,ssuis,1105,206,393,239,342,363,20,231,
GCF_003933905.fna.gz,ssuis,1104,25,392,15,41,15,23,10,
GCF_003933915.fna.gz,ssuis,1105,206,393,239,342,363,20,231,
GCF_003933945.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_003933955.fna.gz,ssuis,1108,62,85,58,339,82,249,62,
GCF_003934335.fna.gz,ssuis,-,~356,~348,-,304,~408,287,249,
GCF_003934345.fna.gz,ssuis,1104,25,392,15,41,15,23,10,
GCF_003934375.fna.gz,ssuis,1133,2,30,5,349,31,3,25,
GCF_003934385.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_004009965.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_004843685.fna.gz,ssuis,new_ST,87,90,2,72,16,189,44,
GCF_004922805.fna.gz,ssuis,1090,38,259,30,64,163,18,229,
GCF_004922815.fna.gz,ssuis,1088,210,69,30,74,71,236,53,
GCF_004922825.fna.gz,ssuis,1089,122,77,142,334,303,113,16,
GCF_004922855.fna.gz,ssuis,1091,118,259,239,138,354,170,60,
GCF_004922885.fna.gz,ssuis,-,-,-,28,~77,~104,-,-,
GCF_004922915.fna.gz,ssuis,new_ST,45,386,30,187,355,243,79,
GCF_006568965.fna.gz,ssuis,988,38,259,245,15,323,26,149,
GCF_006568985.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_006568995.fna.gz,ssuis,995,198,32,242,7,224,64,8,
GCF_006569025.fna.gz,ssuis,1,1,1,1,1,1,1,1,
