Genome,Scheme,ST,abcZ,bglA,cat,dapE,dat,ldh,lhkA,CC,Lineage
GCF_001711695.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001711725.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001711735.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001711745.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001711785.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001711805.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001711815.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001711835.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001711865.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001711885.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001711905.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001711915.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001711935.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001711945.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001711985.fna.gz,lmonocytogenes,1018,177,144,2,29,5,3,1,ST1018,II
GCF_001711995.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001712025.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001712035.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001712045.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001712105.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001712115.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001712135.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_001712155.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_001712185.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001712195.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001712205.fna.gz,lmonocytogenes,204,5,7,6,4,5,4,1,CC204,II
GCF_001712215.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001712265.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001712275.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001712295.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001712305.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001712345.fna.gz,lmonocytogenes,37,5,7,3,5,1,8,6,CC37,II
GCF_001712365.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_001712375.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_001712405.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_001712415.fna.gz,lmonocytogenes,19,7,6,19,6,1,24,1,CC19,II
GCF_001720925.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001746875.fna.gz,lmonocytogenes,48,1,1,11,11,2,28,5,CC2,I
GCF_001746885.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001749845.fna.gz,lmonocytogenes,1065,7,171,10,6,1,3,1,ST1065,II
GCF_001749855.fna.gz,lmonocytogenes,107,5,8,5,7,6,41,1,CC7,II
GCF_001749885.fna.gz,lmonocytogenes,564,67,76,91,102,60,228,38,ST564,IV
GCF_001749905.fna.gz,lmonocytogenes,1212,7,187,10,6,1,2,1,CC11,II
GCF_001749925.fna.gz,lmonocytogenes,1213,218,30,53,260,27,390,26,ST1213,III
GCF_001749945.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001749965.fna.gz,lmonocytogenes,44,4,4,4,3,2,11,5,CC3,I
GCF_001749985.fna.gz,lmonocytogenes,800,41,30,43,54,70,111,28,CC641,III
GCF_001751405.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001751425.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001751435.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001751445.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001751455.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001751505.fna.gz,lmonocytogenes,379,2,1,4,3,3,1,5,CC379,I
GCF_001751525.fna.gz,lmonocytogenes,391,7,6,62,28,5,2,1,CC89,II
GCF_001751535.fna.gz,lmonocytogenes,222,21,6,15,8,6,2,14,CC90,II
GCF_001751545.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001751585.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001751605.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001751615.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001751635.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001751665.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_001751685.fna.gz,lmonocytogenes,562,83,19,91,100,58,178,72,CC562,IV
GCF_001751695.fna.gz,lmonocytogenes,67,1,1,11,11,2,9,5,CC2,I
GCF_001751705.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001751745.fna.gz,lmonocytogenes,563,84,75,92,101,59,227,73,ST563,IV
GCF_001751765.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001751775.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_001751785.fna.gz,lmonocytogenes,389,52,1,12,71,2,1,5,CC389,I
GCF_001751825.fna.gz,lmonocytogenes,437,63,59,67,79,44,167,49,ST437,L. innocua
GCF_001751845.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001751855.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001751865.fna.gz,lmonocytogenes,639,3,1,12,3,69,1,5,CC639,I
GCF_001751885.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001751925.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001751945.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001751965.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001751975.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001752005.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001752025.fna.gz,lmonocytogenes,48,1,1,11,11,2,28,5,CC2,I
GCF_001752045.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001752055.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001752075.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001752105.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001752125.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001752145.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001752155.fna.gz,lmonocytogenes,557,27,54,64,74,22,157,55,CC396,III
GCF_001752175.fna.gz,lmonocytogenes,801,52,1,4,1,3,1,4,CC651,I
GCF_001752205.fna.gz,lmonocytogenes,203,32,11,38,27,25,34,20,CC203,III
GCF_001752225.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001752245.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001752255.fna.gz,lmonocytogenes,1180,92,117,199,113,157,380,170,CC1180,III
GCF_001752285.fna.gz,lmonocytogenes,257,1,1,11,11,2,30,5,CC2,I
GCF_001752305.fna.gz,lmonocytogenes,288,34,39,11,15,3,1,2,CC288,I
GCF_001752325.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_001758825.fna.gz,lmonocytogenes,new_ST,23,29,3,30,6,6,193,,
GCF_001758835.fna.gz,lmonocytogenes,663,88,79,12,3,18,1,5,CC663,I
GCF_001758845.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001758855.fna.gz,lmonocytogenes,29,15,10,18,18,1,3,1,CC29,II
GCF_001758905.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001758915.fna.gz,lmonocytogenes,1323,228,141,218,204,175,410,194,ST1323,III
GCF_001758935.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_001758945.fna.gz,lmonocytogenes,412,7,52,8,6,1,2,1,CC412,II
GCF_001758985.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001758995.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_001759025.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001759035.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001759065.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001759075.fna.gz,lmonocytogenes,558,11,1,12,38,2,1,5,CC388,I
GCF_001759095.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759115.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001759145.fna.gz,lmonocytogenes,558,11,1,12,38,2,1,5,CC388,I
GCF_001759155.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_001759185.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759195.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_001759225.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001759235.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759265.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759275.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759305.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759315.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759345.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759355.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759385.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759395.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759415.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001759435.fna.gz,lmonocytogenes,191,11,1,36,2,3,1,7,CC191,I
GCF_001759465.fna.gz,lmonocytogenes,261,37,30,41,46,27,107,24,ST261,III
GCF_001759485.fna.gz,lmonocytogenes,59,11,1,12,16,3,1,7,CC59,I
GCF_001759505.fna.gz,lmonocytogenes,262,38,31,42,47,28,108,25,CC262,III
GCF_001759515.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001759545.fna.gz,lmonocytogenes,1066,7,49,8,242,5,2,103,CC1066,II
GCF_001759555.fna.gz,lmonocytogenes,263,39,32,35,48,29,109,26,ST263,III
GCF_001759585.fna.gz,lmonocytogenes,144,22,11,21,24,17,31,13,CC131,III
GCF_001759605.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_001759625.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001759645.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001759665.fna.gz,lmonocytogenes,1046,11,3,12,38,2,1,2,ST1046,I
GCF_001759685.fna.gz,lmonocytogenes,1182,185,178,200,249,158,382,171,ST1182,III
GCF_001759705.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001759725.fna.gz,lmonocytogenes,264,40,30,42,49,30,110,27,ST264,III
GCF_001759745.fna.gz,lmonocytogenes,1183,212,179,118,250,159,383,111,ST1183,III
GCF_001759755.fna.gz,lmonocytogenes,265,41,33,43,50,31,111,28,ST265,III
GCF_001759785.fna.gz,lmonocytogenes,1184,116,33,201,251,160,111,105,ST1184,III
GCF_001759805.fna.gz,lmonocytogenes,266,42,34,44,51,16,112,29,ST266,III
GCF_001759825.fna.gz,lmonocytogenes,1107,194,1,57,3,2,1,2,CC5,I
GCF_001759835.fna.gz,lmonocytogenes,267,40,30,42,52,32,113,25,CC267,III
GCF_001759865.fna.gz,lmonocytogenes,1067,116,33,193,243,89,111,160,ST1067,III
GCF_001759885.fna.gz,lmonocytogenes,1068,5,10,3,6,150,26,1,ST1068,II
GCF_001759905.fna.gz,lmonocytogenes,268,43,35,45,53,33,114,30,CC268,III
GCF_001759915.fna.gz,lmonocytogenes,269,41,36,46,54,34,115,28,CC269,III
GCF_001759945.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_001759965.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001759985.fna.gz,lmonocytogenes,557,27,54,64,74,22,157,55,CC396,III
GCF_001759995.fna.gz,lmonocytogenes,1187,213,30,202,48,75,360,172,ST1187,III
GCF_001760025.fna.gz,lmonocytogenes,1069,204,105,194,24,151,145,161,ST1069,III
GCF_001760045.fna.gz,lmonocytogenes,1188,40,40,42,52,32,113,25,CC267,III
GCF_001760065.fna.gz,lmonocytogenes,1189,214,180,203,252,32,384,173,ST1189,III
GCF_001760075.fna.gz,lmonocytogenes,1070,189,159,99,225,32,371,150,CC1070,III
GCF_001760105.fna.gz,lmonocytogenes,856,76,68,119,146,88,287,56,CC856,III
GCF_001760125.fna.gz,lmonocytogenes,1190,215,181,204,54,70,111,28,ST1190,III
GCF_001760145.fna.gz,lmonocytogenes,1191,20,182,21,83,25,385,113,ST1191,III
GCF_001760155.fna.gz,lmonocytogenes,1259,226,30,215,268,169,405,188,ST1259,III
GCF_001760175.fna.gz,lmonocytogenes,1192,40,30,42,52,32,386,25,CC267,III
GCF_001760205.fna.gz,lmonocytogenes,1140,189,159,99,225,32,355,150,CC1070,III
GCF_001760225.fna.gz,lmonocytogenes,1193,127,33,13,146,89,387,174,ST1193,III
GCF_001760235.fna.gz,lmonocytogenes,1194,116,33,204,253,34,388,28,ST1194,III
GCF_001760265.fna.gz,lmonocytogenes,1195,41,33,204,54,151,285,175,ST1195,III
GCF_001760285.fna.gz,lmonocytogenes,1196,41,33,205,144,70,246,28,ST1196,III
GCF_001760305.fna.gz,lmonocytogenes,91,7,6,15,6,5,2,1,CC14,II
GCF_001760315.fna.gz,lmonocytogenes,1071,7,47,10,6,1,7,1,ST1071,II
GCF_001760345.fna.gz,lmonocytogenes,1197,42,183,118,72,162,389,176,ST1197,III
GCF_001760365.fna.gz,lmonocytogenes,1198,216,184,206,254,163,285,177,ST1198,III
GCF_001760385.fna.gz,lmonocytogenes,1199,116,33,201,255,33,111,105,ST1199,III
GCF_001760395.fna.gz,lmonocytogenes,1200,185,32,207,256,86,111,178,ST1200,III
GCF_001760415.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001760445.fna.gz,lmonocytogenes,556,7,27,2,6,1,24,1,ST556,II
GCF_001760465.fna.gz,lmonocytogenes,412,7,52,8,6,1,2,1,CC412,II
GCF_001760475.fna.gz,lmonocytogenes,394,5,5,17,21,39,2,6,CC415,II
GCF_001760495.fna.gz,lmonocytogenes,376,5,5,3,6,1,2,1,ST376,II
GCF_001760525.fna.gz,lmonocytogenes,16,5,6,2,7,5,2,1,CC8,II
GCF_001760545.fna.gz,lmonocytogenes,370,53,13,3,67,13,3,41,CC366,II
GCF_001760565.fna.gz,lmonocytogenes,563,84,75,92,101,59,227,73,ST563,IV
GCF_001760575.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_001760605.fna.gz,lmonocytogenes,1202,217,185,32,258,89,390,179,ST1202,III
GCF_001760615.fna.gz,lmonocytogenes,226,7,10,17,6,1,96,1,CC226,II
GCF_001760645.fna.gz,lmonocytogenes,1073,5,5,195,6,5,26,48,CC739,II
GCF_001760655.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_001760685.fna.gz,lmonocytogenes,796,7,14,17,6,1,27,1,CC193,II
GCF_001760695.fna.gz,lmonocytogenes,489,11,9,12,3,3,1,4,CC489,I
GCF_001760725.fna.gz,lmonocytogenes,1206,34,1,57,3,3,1,2,CC5,I
GCF_001760735.fna.gz,lmonocytogenes,1074,11,1,4,43,69,1,2,ST1074,I
GCF_001760765.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001760775.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001760805.fna.gz,lmonocytogenes,388,3,1,12,70,2,1,5,CC388,I
GCF_001760815.fna.gz,lmonocytogenes,554,2,1,9,1,3,5,5,CC554,I
GCF_001760845.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_001760855.fna.gz,lmonocytogenes,1207,3,9,9,3,3,105,5,CC6,I
GCF_001760885.fna.gz,lmonocytogenes,1075,1,1,1,3,3,1,2,ST1075,I
GCF_001760895.fna.gz,lmonocytogenes,213,1,1,9,13,2,5,5,ST213,I
GCF_001760925.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001760935.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001760965.fna.gz,lmonocytogenes,1208,131,186,21,72,34,285,50,ST1208,III
GCF_001760975.fna.gz,lmonocytogenes,1076,205,172,8,8,1,26,103,CC1076,II
GCF_001761005.fna.gz,lmonocytogenes,639,3,1,12,3,69,1,5,CC639,I
GCF_001761015.fna.gz,lmonocytogenes,451,7,5,10,21,1,4,1,CC11,II
GCF_001761045.fna.gz,lmonocytogenes,1209,58,71,46,259,16,285,147,ST1209,III
GCF_001761065.fna.gz,lmonocytogenes,1059,53,170,10,18,1,370,6,ST1059,II
GCF_001761085.fna.gz,lmonocytogenes,308,3,1,1,1,18,1,3,CC1,I
GCF_001761095.fna.gz,lmonocytogenes,1077,206,5,196,244,5,314,6,ST1077,II
GCF_001761125.fna.gz,lmonocytogenes,219,1,2,9,1,2,5,3,CC4,I
GCF_001761135.fna.gz,lmonocytogenes,570,5,5,8,18,1,7,1,CC570,II
GCF_001761165.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_001761175.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001761205.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_001761225.fna.gz,lmonocytogenes,1210,7,6,8,7,6,7,1,CC573,II
GCF_001761245.fna.gz,lmonocytogenes,288,34,39,11,15,3,1,2,CC288,I
GCF_001761255.fna.gz,lmonocytogenes,647,5,13,3,6,5,96,1,CC20,II
GCF_001761285.fna.gz,lmonocytogenes,1078,113,173,10,4,1,372,103,CC1078,II
GCF_001817895.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_001825735.fna.gz,lmonocytogenes,188,169,140,169,203,132,338,134,ST188,L. innocua
GCF_001825745.fna.gz,lmonocytogenes,375,7,6,13,8,1,96,6,CC375,II
GCF_001825765.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001825795.fna.gz,lmonocytogenes,1214,219,30,198,158,27,393,27,ST1214,III
GCF_001825815.fna.gz,lmonocytogenes,569,86,75,93,101,61,232,77,ST569,IV
GCF_001825825.fna.gz,lmonocytogenes,1215,1,9,1,3,7,1,5,CC688,I
GCF_001825855.fna.gz,lmonocytogenes,184,167,10,8,4,5,4,1,ST184,II
GCF_001825865.fna.gz,lmonocytogenes,1080,7,5,17,6,1,151,85,ST1080,II
GCF_001825895.fna.gz,lmonocytogenes,412,7,52,8,6,1,2,1,CC412,II
GCF_001825905.fna.gz,lmonocytogenes,573,7,6,8,105,6,7,1,CC573,II
GCF_001825935.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_001825945.fna.gz,lmonocytogenes,378,7,49,19,6,1,24,1,CC19,II
GCF_001825975.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001825985.fna.gz,lmonocytogenes,1216,7,10,10,6,1,2,1,CC11,II
GCF_001826015.fna.gz,lmonocytogenes,663,88,79,12,3,18,1,5,CC663,I
GCF_001826025.fna.gz,lmonocytogenes,217,1,9,1,3,7,5,3,CC217,I
GCF_001826055.fna.gz,lmonocytogenes,85,5,8,5,7,6,38,1,CC7,II
GCF_001826075.fna.gz,lmonocytogenes,1181,5,7,3,5,1,381,6,CC37,II
GCF_001826095.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_001826105.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001826135.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826155.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001826165.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001826185.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001826215.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_001826235.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_001826245.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_001826265.fna.gz,lmonocytogenes,70,20,11,23,27,16,34,13,CC70,III
GCF_001826295.fna.gz,lmonocytogenes,203,32,11,38,27,25,34,20,CC203,III
GCF_001826315.fna.gz,lmonocytogenes,562,83,19,91,100,58,178,72,CC562,IV
GCF_001826335.fna.gz,lmonocytogenes,558,11,1,12,38,2,1,5,CC388,I
GCF_001826345.fna.gz,lmonocytogenes,1203,44,71,198,48,164,391,180,ST1203,III
GCF_001826375.fna.gz,lmonocytogenes,372,7,10,58,7,5,2,1,CC155,II
GCF_001826395.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826415.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826425.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001826455.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_001826475.fna.gz,lmonocytogenes,1081,5,97,17,6,5,358,6,ST1081,II
GCF_001826495.fna.gz,lmonocytogenes,207,7,27,10,41,5,2,1,CC207,II
GCF_001826505.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001826535.fna.gz,lmonocytogenes,1178,187,1,11,3,3,90,7,CC5,I
GCF_001826555.fna.gz,lmonocytogenes,1179,11,3,12,38,3,379,2,CC224,I
GCF_001826565.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001826595.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001826615.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826635.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_001826655.fna.gz,lmonocytogenes,88,12,12,12,1,3,1,4,CC88,I
GCF_001826675.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826685.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826715.fna.gz,lmonocytogenes,745,2,1,11,3,3,30,7,CC5,I
GCF_001826735.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_001826755.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_001826765.fna.gz,lmonocytogenes,551,5,6,88,29,5,3,1,CC8,II
GCF_001826795.fna.gz,lmonocytogenes,391,7,6,62,28,5,2,1,CC89,II
GCF_001826815.fna.gz,lmonocytogenes,371,7,6,56,6,1,2,1,CC11,II
GCF_001826825.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_001826855.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001826875.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_001826895.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826915.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001826925.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001826955.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001826975.fna.gz,lmonocytogenes,195,11,12,4,15,3,1,2,CC195,I
GCF_001826985.fna.gz,lmonocytogenes,1185,41,36,46,54,161,115,28,CC269,III
GCF_001827015.fna.gz,lmonocytogenes,551,5,6,88,29,5,3,1,CC8,II
GCF_001827025.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_001827055.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001827065.fna.gz,lmonocytogenes,1186,1,3,48,90,3,30,4,CC506,I
GCF_001827095.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_001827115.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001827135.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001827145.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_001827175.fna.gz,lmonocytogenes,1204,7,6,10,6,1,271,1,CC11,II
GCF_001827195.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001827215.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001827225.fna.gz,lmonocytogenes,1205,9,10,15,6,8,392,1,CC199,II
GCF_001827255.fna.gz,lmonocytogenes,204,5,7,6,4,5,4,1,CC204,II
GCF_001827275.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_001827295.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_001827305.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_001827335.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_001827345.fna.gz,lmonocytogenes,1211,5,8,17,5,6,2,1,CC1211,II
GCF_001827375.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_001827385.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_001827415.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_001827435.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_001827455.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_001827465.fna.gz,lmonocytogenes,1000,172,9,135,3,3,1,4,CC1000,I
