Genome,Scheme,ST,gdh,gyd,pstS,gki,aroE,xpt,yqiL,clonal_complex
GCF_001054705.fna.gz,efaecalis,new_alleles,1,7,9,1,~1,1,1,
GCF_001054775.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_001054785.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001054975.fna.gz,efaecalis,158,12,6,16,4,6,1,5,
GCF_001055025.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001055055.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001055135.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001055355.fna.gz,efaecalis,397,31,1,32,34,6,1,12,
GCF_001055395.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001055435.fna.gz,efaecalis,479,15,15,33,47,17,15,11,
GCF_001055475.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001055675.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001055725.fna.gz,efaecalis,388,35,7,40,32,32,26,31,
GCF_001055765.fna.gz,efaecalis,388,35,7,40,32,32,26,31,
GCF_001055875.fna.gz,efaecalis,388,35,7,40,32,32,26,31,
GCF_001055935.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001055955.fna.gz,efaecalis,new_alleles,9,5,4,16,1,11,~22,
GCF_001056045.fna.gz,efaecalis,443,20,3,7,6,23,2,2,
GCF_001056075.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001056115.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001056125.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001056135.fna.gz,efaecalis,777,27,2,11,28,26,2,1,
GCF_001056555.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001056625.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001056735.fna.gz,efaecalis,158,12,6,16,4,6,1,5,
GCF_001057145.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_001057325.fna.gz,efaecalis,44,13,6,5,14,10,9,5,
GCF_001057355.fna.gz,efaecalis,44,13,6,5,14,10,9,5,
GCF_001057435.fna.gz,efaecalis,new_ST,20,2,18,10,16,24,12,
GCF_001057475.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001057515.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001057625.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001057765.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001057835.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001057865.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001057915.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001058015.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001058065.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001058195.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_001058285.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001058335.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001058665.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001058715.fna.gz,efaecalis,79,23,6,7,25,24,2,17,
GCF_001058855.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001058875.fna.gz,efaecalis,206,2,1,13,11,3,2,2,
GCF_001058995.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_001059045.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001059265.fna.gz,efaecalis,new_alleles,12,1,11,6,~5,1,4,
GCF_001059345.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_001059635.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001059845.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001059885.fna.gz,efaecalis,new_alleles,12,1,11,6,~5,1,4,
GCF_001059895.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_001060035.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001075715.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_001075895.fna.gz,efaecalis,new_alleles,12,1,11,6,~5,1,4,
GCF_001263775.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_001400055.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_001400065.fna.gz,efaecalis,-,-,6,-,29,-,1,20,
GCF_001544235.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_001563075.fna.gz,efaecalis,167,40,14,42,46,3,15,39,
GCF_001594365.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001598635.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_001639005.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_001662265.fna.gz,efaecalis,5,1,7,9,1,1,3,1,
GCF_001689055.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_001692705.fna.gz,efaecalis,590,3,1,1,22,7,14,7,
GCF_001692955.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_001766735.fna.gz,efaecalis,58,21,9,1,3,7,1,6,
GCF_001806515.fna.gz,efaecalis,754,12,5,4,16,1,13,1,
GCF_001878735.fna.gz,efaecalis,29,6,5,4,16,11,13,10,
GCF_001878755.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_001878765.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_001878785.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_001886675.fna.gz,efaecalis,711,5,8,12,87,7,46,6,
GCF_001931845.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_001932015.fna.gz,efaecalis,141,21,2,11,3,34,3,4,
GCF_001989555.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_001999625.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_002006705.fna.gz,efaecalis,712,20,3,7,28,23,80,2,
GCF_002009465.fna.gz,efaecalis,755,14,1,22,10,16,2,12,
GCF_002009485.fna.gz,efaecalis,765,1,34,92,3,14,2,1,
GCF_002009495.fna.gz,efaecalis,227,25,6,52,56,3,5,51,
GCF_002009545.fna.gz,efaecalis,476,17,2,1,3,14,14,1,
GCF_002009565.fna.gz,efaecalis,756,19,2,4,22,19,4,14,
GCF_002077445.fna.gz,efaecalis,new_alleles,27,12,35,32,~50,2,23,
GCF_002088065.fna.gz,efaecalis,new_ST,5,2,30,17,14,14,1,
GCF_002105335.fna.gz,efaecalis,191,27,1,11,1,21,1,2,
GCF_002105365.fna.gz,efaecalis,191,27,1,11,1,21,1,2,
GCF_002106875.fna.gz,efaecalis,207,4,4,46,3,2,1,3,
GCF_002106895.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002106905.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_002106915.fna.gz,efaecalis,207,4,4,46,3,2,1,3,
GCF_002106955.fna.gz,efaecalis,new_alleles,2,7,~11,21,3,4,2,
GCF_002106975.fna.gz,efaecalis,79,23,6,7,25,24,2,17,
GCF_002106995.fna.gz,efaecalis,97,2,7,11,21,3,4,2,
GCF_002107005.fna.gz,efaecalis,133,2,7,11,1,3,16,2,
GCF_002107015.fna.gz,efaecalis,new_ST,38,7,12,39,11,27,66,
GCF_002107055.fna.gz,efaecalis,new_ST,38,7,12,39,11,27,66,
GCF_002107075.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_002107085.fna.gz,efaecalis,239,4,7,11,11,23,4,2,
GCF_002107095.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002107125.fna.gz,efaecalis,new_ST,38,7,12,39,11,27,66,
GCF_002108195.fna.gz,efaecalis,97,2,7,11,21,3,4,2,
GCF_002110325.fna.gz,efaecalis,new_alleles,~14,6,4,49,11,15,61,
GCF_002110335.fna.gz,efaecalis,648,12,10,3,17,31,2,5,
GCF_002110385.fna.gz,efaecalis,648,12,10,3,17,31,2,5,
GCF_002110405.fna.gz,efaecalis,444,14,1,3,22,19,1,14,
GCF_002110425.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_002110435.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_002140075.fna.gz,efaecalis,648,12,10,3,17,31,2,5,
GCF_002140335.fna.gz,efaecalis,479,15,15,33,47,17,15,11,
GCF_002140345.fna.gz,efaecalis,479,15,15,33,47,17,15,11,
GCF_002140925.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_002140985.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_002141205.fna.gz,efaecalis,new_alleles,~31,1|1,47,12,39,~20,2,
GCF_002141395.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_002141415.fna.gz,efaecalis,new_alleles,103,14,~37,~24,~110,15,11,
GCF_002163735.fna.gz,efaecalis,65,12,7,17,17,3,2,5,
GCF_002206315.fna.gz,efaecalis,308,3,7,11,21,9,4,7,
GCF_002206445.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_002206545.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_002208945.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_002220885.fna.gz,efaecalis,86,6,10,11,17,4,2,1,
GCF_002221625.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_002250145.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_002288985.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_002289025.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_002289045.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_002289055.fna.gz,efaecalis,335,4,1,16,4,1,1,4,
GCF_002355755.fna.gz,efaecalis,864,12,5,30,5,95,20,90,
GCF_002751015.fna.gz,efaecalis,525,12,7,3,32,6,26,5,
GCF_002763375.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_002763385.fna.gz,efaecalis,1,3,1,16,1,1,1,1,
GCF_002812965.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_002814115.fna.gz,efaecalis,108,1,2,30,13,37,22,32,
GCF_002848255.fna.gz,efaecalis,302,5,1,1,3,7,7,60,
GCF_002848295.fna.gz,efaecalis,578,20,2,18,1,6,15,19,
GCF_002861285.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_002861295.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_002943875.fna.gz,efaecalis,376,64,1,36,68,30,25,30,
GCF_002943885.fna.gz,efaecalis,415,9,6,7,16,11,11,8,
GCF_002943935.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_002943945.fna.gz,efaecalis,100,34,2,17,37,29,23,6,
GCF_002943975.fna.gz,efaecalis,862,14,7,30,3,39,2,22,
GCF_002944015.fna.gz,efaecalis,new_alleles,14,7,~30,3,39,2,22,
GCF_002944055.fna.gz,efaecalis,96,27,12,35,32,6,2,23,
GCF_002944065.fna.gz,efaecalis,376,64,1,36,68,30,25,30,
GCF_002944255.fna.gz,efaecalis,400,9,5,4,16,66,13,10,
GCF_002944275.fna.gz,efaecalis,444,14,1,3,22,19,1,14,
GCF_002944295.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_002944395.fna.gz,efaecalis,1079,103,1,103,107,108,1,8,
GCF_002944475.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_002944555.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_002944575.fna.gz,efaecalis,new_ST,5,1,1,30,7,7,6,
GCF_002944635.fna.gz,efaecalis,58,21,9,1,3,7,1,6,
GCF_002944655.fna.gz,efaecalis,1162,22,7,7,26,22,10,1,
GCF_002944755.fna.gz,efaecalis,new_ST,15,2,3,2,3,15,11,
GCF_002944805.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_002944875.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_002944985.fna.gz,efaecalis,96,27,12,35,32,6,2,23,
GCF_002945015.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_002945065.fna.gz,efaecalis,new_alleles,~27,2,16,28,26,2,1,
GCF_002945275.fna.gz,efaecalis,new_ST,34,2,17,16,29,23,6,
GCF_002945295.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002945315.fna.gz,efaecalis,new_alleles,12,2,~32,6,4,15,28,
GCF_002945355.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_002945435.fna.gz,efaecalis,108,1,2,30,13,37,22,32,
GCF_002945535.fna.gz,efaecalis,227,25,6,52,56,3,5,51,
GCF_002945555.fna.gz,efaecalis,257,15,2,33,2,3,15,11,
GCF_002945595.fna.gz,efaecalis,new_ST,22,2,30,1,10,1,1,
GCF_002945625.fna.gz,efaecalis,96,27,12,35,32,6,2,23,
GCF_002945655.fna.gz,efaecalis,new_ST,29,10,56,29,27,1,28,
GCF_002945715.fna.gz,efaecalis,96,27,12,35,32,6,2,23,
GCF_002945735.fna.gz,efaecalis,282,14,6,6,13,11,11,8,
GCF_002945775.fna.gz,efaecalis,257,15,2,33,2,3,15,11,
GCF_002945875.fna.gz,efaecalis,177,15,2,37,37,39,15,11,
GCF_002945915.fna.gz,efaecalis,1007,3,1,11,12,9,14,6,
GCF_002945975.fna.gz,efaecalis,27,3,2,7,10,10,2,7,
GCF_002945995.fna.gz,efaecalis,new_alleles,22,6,22,33,1,~5,~17,
GCF_002946015.fna.gz,efaecalis,63,21,2,1,3,7,1,6,
GCF_002946075.fna.gz,efaecalis,177,15,2,37,37,39,15,11,
GCF_002946095.fna.gz,efaecalis,new_alleles,~21,9,1,3,7,1,6,
GCF_002946155.fna.gz,efaecalis,398,17,5,27,5,6,2,54,
GCF_002946215.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_002946235.fna.gz,efaecalis,314,9,6,4,49,11,15,61,
GCF_002946275.fna.gz,efaecalis,new_ST,12,2,32,6,4,15,28,
GCF_002946755.fna.gz,efaecalis,228,45,5,44,53,48,41,42,
GCF_002946795.fna.gz,efaecalis,273,4,8,12,13,40,46,22,
GCF_002946875.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_002946975.fna.gz,efaecalis,141,21,2,11,3,34,3,4,
GCF_002947015.fna.gz,efaecalis,new_alleles,45,5,~44,53,48,41,42,
GCF_002947055.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002947075.fna.gz,efaecalis,192,42,1,43,52,39,4,41,
GCF_002947085.fna.gz,efaecalis,228,45,5,44,53,48,41,42,
GCF_002947155.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002947175.fna.gz,efaecalis,new_alleles,12,2,3,5,6,34,~5,
GCF_002947195.fna.gz,efaecalis,27,3,2,7,10,10,2,7,
GCF_002947205.fna.gz,efaecalis,81,27,2,16,28,26,2,1,
GCF_002947275.fna.gz,efaecalis,49,20,2,14,20,6,1,5,
GCF_002947395.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_002947435.fna.gz,efaecalis,228,45,5,44,53,48,41,42,
GCF_002947455.fna.gz,efaecalis,new_alleles,12,2,3,5,6,34,~5,
GCF_002947555.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_002947595.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_002947635.fna.gz,efaecalis,415,9,6,7,16,11,11,8,
GCF_002947645.fna.gz,efaecalis,273,4,8,12,13,40,46,22,
GCF_002947695.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_002947715.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_002947815.fna.gz,efaecalis,192,42,1,43,52,39,4,41,
GCF_002947835.fna.gz,efaecalis,260,50,10,30,5,21,2,1,
GCF_002947875.fna.gz,efaecalis,314,9,6,4,49,11,15,61,
GCF_002947935.fna.gz,efaecalis,108,1,2,30,13,37,22,32,
GCF_002947985.fna.gz,efaecalis,new_alleles,9,6,6,13,11,27,~8,
GCF_002948035.fna.gz,efaecalis,228,45,5,44,53,48,41,42,
GCF_002948095.fna.gz,efaecalis,new_alleles,~1,7,9,1,1,10,1,
GCF_002948195.fna.gz,efaecalis,415,9,6,7,16,11,11,8,
GCF_002948275.fna.gz,efaecalis,53,18,1,24,24,20,17,15,
GCF_002948315.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_002948335.fna.gz,efaecalis,new_alleles,~9,6,4,49,11,15,61,
GCF_002948435.fna.gz,efaecalis,200,19,1,24,22,19,2,14,
GCF_002948455.fna.gz,efaecalis,192,42,1,43,52,39,4,41,
GCF_002948495.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_002948515.fna.gz,efaecalis,228,45,5,44,53,48,41,42,
GCF_002948535.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_002948555.fna.gz,efaecalis,81,27,2,16,28,26,2,1,
GCF_002948635.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_002948735.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_002948775.fna.gz,efaecalis,282,14,6,6,13,11,11,8,
GCF_002948815.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_002948855.fna.gz,efaecalis,79,23,6,7,25,24,2,17,
GCF_002948975.fna.gz,efaecalis,415,9,6,7,16,11,11,8,
GCF_002949015.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_002949155.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_002949195.fna.gz,efaecalis,49,20,2,14,20,6,1,5,
GCF_002949225.fna.gz,efaecalis,122,4,2,30,39,6,1,15,
GCF_002949275.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_002973735.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_002973775.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_002973815.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_003030425.fna.gz,efaecalis,776,12,1,11,6,95,1,90,
GCF_003046865.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046875.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046905.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046915.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046945.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046965.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003046985.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003047245.fna.gz,efaecalis,209,10,1,11,5,5,5,4,
GCF_003056005.fna.gz,efaecalis,71,17,7,29,30,27,1,9,
GCF_003056045.fna.gz,efaecalis,71,17,7,29,30,27,1,9,
GCF_003144635.fna.gz,efaecalis,48,20,1,14,15,14,14,9,
GCF_003144655.fna.gz,efaecalis,48,20,1,14,15,14,14,9,
GCF_003144675.fna.gz,efaecalis,48,20,1,14,15,14,14,9,
GCF_003144685.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_003144715.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_003144735.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_003144755.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_003319335.fna.gz,efaecalis,314,9,6,4,49,11,15,61,
GCF_003319355.fna.gz,efaecalis,147,3,2,22,17,14,14,1,
GCF_003319365.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003319415.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003319425.fna.gz,efaecalis,624,59,5,78,53,82,36,42,
GCF_003319435.fna.gz,efaecalis,314,9,6,4,49,11,15,61,
GCF_003319475.fna.gz,efaecalis,273,4,8,12,13,40,46,22,
GCF_003319495.fna.gz,efaecalis,new_alleles,3,6,23,12,9,~10,7,
GCF_003319505.fna.gz,efaecalis,new_alleles,23,6,7,25,24,2,~17,
GCF_003319525.fna.gz,efaecalis,new_alleles,15,2,84,54,17,~15,11,
GCF_003319555.fna.gz,efaecalis,177,15,2,37,37,39,15,11,
GCF_003319575.fna.gz,efaecalis,237,9,6,4,33,45,37,28,
GCF_003319595.fna.gz,efaecalis,126,33,7,27,31,31,24,9,
GCF_003319605.fna.gz,efaecalis,398,17,5,27,5,6,2,54,
GCF_003319615.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_003319625.fna.gz,efaecalis,397,31,1,32,34,6,1,12,
GCF_003319675.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003319685.fna.gz,efaecalis,147,3,2,22,17,14,14,1,
GCF_003319715.fna.gz,efaecalis,147,3,2,22,17,14,14,1,
GCF_003319735.fna.gz,efaecalis,122,4,2,30,39,6,1,15,
GCF_003319755.fna.gz,efaecalis,49,20,2,14,20,6,1,5,
GCF_003319765.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_003319795.fna.gz,efaecalis,new_ST,27,7,7,5,39,2,36,
GCF_003319805.fna.gz,efaecalis,86,6,10,11,17,4,2,1,
GCF_003319815.fna.gz,efaecalis,368,63,6,67,6,23,1,68,
GCF_003319855.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003319875.fna.gz,efaecalis,314,9,6,4,49,11,15,61,
GCF_003319895.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003319915.fna.gz,efaecalis,256,4,6,7,29,8,1,20,
GCF_003319925.fna.gz,efaecalis,688,14,6,30,3,4,2,22,
GCF_003319955.fna.gz,efaecalis,444,14,1,3,22,19,1,14,
GCF_003319995.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003345275.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_003426185.fna.gz,efaecalis,new_ST,5,2,1,3,7,7,6,
GCF_003438055.fna.gz,efaecalis,new_alleles,9,1,~27,31,31,24,14,
GCF_003709885.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003709905.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003709925.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003709945.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003709965.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711625.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711635.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711665.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711675.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711705.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711725.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711745.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711755.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711785.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003711825.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_003795665.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003795675.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003795725.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003795755.fna.gz,efaecalis,82,12,6,28,29,7,10,20,
GCF_003795855.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_003795925.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003796085.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_003796135.fna.gz,efaecalis,245,20,1,3,17,6,1,5,
GCF_003796195.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003796245.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003796325.fna.gz,efaecalis,475,4,6,56,29,7,1,20,
GCF_003796375.fna.gz,efaecalis,-,92|1,11,-,1,-,1,-,
GCF_003796545.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003796565.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003796585.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003796605.fna.gz,efaecalis,256,4,6,7,29,8,1,20,
GCF_003796665.fna.gz,efaecalis,256,4,6,7,29,8,1,20,
GCF_003796705.fna.gz,efaecalis,202,1,7,9,1,1,10,1,
GCF_003796965.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003797045.fna.gz,efaecalis,-,92|1,11,-,1,-,1,-,
GCF_003797105.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003797595.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003797645.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_003797725.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_003812665.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_003933385.fna.gz,efaecalis,563,12,7,3,7,6,4,5,
GCF_003933395.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003933445.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_003962315.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_003962325.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962355.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_003962365.fna.gz,efaecalis,858,17,2,95,3,14,14,1,
GCF_003962375.fna.gz,efaecalis,585,8,7,7,4,4,4,1,
GCF_003962415.fna.gz,efaecalis,856,1,7,92,3,14,2,1,
GCF_003962425.fna.gz,efaecalis,585,8,7,7,4,4,4,1,
GCF_003962485.fna.gz,efaecalis,619,76,2,16,28,26,2,1,
GCF_003962505.fna.gz,efaecalis,585,8,7,7,4,4,4,1,
GCF_003962535.fna.gz,efaecalis,585,8,7,7,4,4,4,1,
GCF_003962555.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_003962565.fna.gz,efaecalis,479,15,15,33,47,17,15,11,
GCF_003962575.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962585.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_003962635.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962645.fna.gz,efaecalis,476,17,2,1,3,14,14,1,
GCF_003962675.fna.gz,efaecalis,81,27,2,16,28,26,2,1,
GCF_003962685.fna.gz,efaecalis,585,8,7,7,4,4,4,1,
GCF_003962695.fna.gz,efaecalis,476,17,2,1,3,14,14,1,
GCF_003962725.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962745.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962775.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_003962785.fna.gz,efaecalis,857,1,7,10,1,1,87,1,
GCF_003962795.fna.gz,efaecalis,476,17,2,1,3,14,14,1,
GCF_003962835.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_003962845.fna.gz,efaecalis,674,14,6,7,42,13,35,28,
GCF_003966385.fna.gz,efaecalis,729,6,10,37,17,4,2,1,
GCF_003966405.fna.gz,efaecalis,729,6,10,37,17,4,2,1,
GCF_003996775.fna.gz,efaecalis,82,12,6,28,29,7,10,20,
GCF_003996795.fna.gz,efaecalis,330,14,1,18,22,16,17,12,
GCF_004006275.fna.gz,efaecalis,1,3,1,16,1,1,1,1,
GCF_004006595.fna.gz,efaecalis,1,3,1,16,1,1,1,1,
GCF_004099665.fna.gz,efaecalis,new_alleles,17,7,96,4,10,~20,1,
GCF_004099975.fna.gz,efaecalis,new_alleles,17,7,96,4,10,~20,1,
GCF_004099985.fna.gz,efaecalis,new_alleles,17,7,96,4,10,~20,1,
