Genome,Scheme,ST,glp,gmk,ilv,pta,pur,pyc,tpi,clonal_complex
GCF_002201605.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002201645.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002201665.fna.gz,bcereus,1970,12,8,9,11,11,12,10,
GCF_002201685.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002201705.fna.gz,bcereus,2093,55,72,33,37,49,241,41,
GCF_002214705.fna.gz,bcereus,1977,241,8,36,10,41,17,17,
GCF_002214725.fna.gz,bcereus,127,6,4,53,4,16,6,3,
GCF_002214765.fna.gz,bcereus,1246,33,8,146,19,2,17,7,
GCF_002215175.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002216125.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_002220285.fna.gz,bcereus,1981,93,6,29,9,4,39,21,
GCF_002224345.fna.gz,bcereus,-,14,8,9,96,9,88,-,
GCF_002290105.fna.gz,bcereus,2057,320,14,367,5,19,3,55,
GCF_002343945.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002504205.fna.gz,bcereus,1000,13,8,8,58,122,12,7,ST-142 complex
GCF_002530555.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530565.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530575.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530625.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530635.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530775.fna.gz,bcereus,1989,324,2,122,5,19,3,91,ST-205 complex
GCF_002530785.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002530795.fna.gz,bcereus,2044,92,66,101,77,319,83,269,
GCF_002550115.fna.gz,bcereus,1978,33,8,13,19,60,17,17,
GCF_002550135.fna.gz,bcereus,2055,213,181,223,322,118,107,128,
GCF_002550155.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002550265.fna.gz,bcereus,25,30,8,16,13,2,16,7,ST-8 complex
GCF_002550315.fna.gz,bcereus,2075,40,8,166,26,308,36,7,
GCF_002550365.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002550375.fna.gz,bcereus,610,146,85,157,144,143,130,115,
GCF_002550435.fna.gz,bcereus,2061,332,193,351,341,322,250,32,
GCF_002550515.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002550555.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002550595.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002550675.fna.gz,bcereus,2063,59,81,348,229,214,122,32,
GCF_002550705.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002550775.fna.gz,bcereus,1948,287,8,14,11,2,17,7,
GCF_002550815.fna.gz,bcereus,1992,215,116,223,170,207,144,172,
GCF_002550835.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002550855.fna.gz,bcereus,723,158,78,193,169,164,143,103,
GCF_002550895.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002551625.fna.gz,bcereus,2101,7,8,396,12,20,36,7,
GCF_002551635.fna.gz,bcereus,2046,40,8,14,26,2,50,268,
GCF_002551665.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_002551775.fna.gz,bcereus,2043,11,9,14,12,12,14,274,ST-18 complex
GCF_002551855.fna.gz,bcereus,2025,68,54,346,2,248,84,13,
GCF_002551935.fna.gz,bcereus,2053,202,116,187,306,118,171,128,
GCF_002551975.fna.gz,bcereus,1579,10,8,16,12,2,16,7,ST-8 complex
GCF_002552015.fna.gz,bcereus,119,47,8,49,12,2,36,7,
GCF_002552045.fna.gz,bcereus,2088,276,159,305,308,282,228,229,
GCF_002552115.fna.gz,bcereus,2100,314,8,400,26,292,36,7,
GCF_002552195.fna.gz,bcereus,2064,332,193,353,344,322,250,26,
GCF_002552275.fna.gz,bcereus,1960,40,28,15,44,2,36,7,
GCF_002552295.fna.gz,bcereus,2070,17,5,356,357,223,248,12,
GCF_002552315.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002552335.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002552455.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002552465.fna.gz,bcereus,1952,11,8,14,12,2,25,7,ST-18 complex
GCF_002552485.fna.gz,bcereus,1947,11,9,14,12,24,14,7,ST-18 complex
GCF_002552505.fna.gz,bcereus,1964,40,8,15,26,138,50,7,
GCF_002552635.fna.gz,bcereus,137,37,28,14,12,37,36,7,
GCF_002552725.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002552745.fna.gz,bcereus,2037,312,116,223,309,118,171,281,
GCF_002552805.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002552875.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002552895.fna.gz,bcereus,1961,40,28,49,44,2,36,7,
GCF_002552995.fna.gz,bcereus,2042,37,9,14,12,24,14,274,ST-18 complex
GCF_002553095.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002553185.fna.gz,bcereus,2058,347,138,33,37,298,242,47,
GCF_002553235.fna.gz,bcereus,2047,322,2,21,5,114,3,266,ST-205 complex
GCF_002553255.fna.gz,bcereus,225,11,9,14,95,12,14,7,ST-18 complex
GCF_002553345.fna.gz,bcereus,2077,345,8,166,361,290,25,7,
GCF_002553395.fna.gz,bcereus,1952,11,8,14,12,2,25,7,ST-18 complex
GCF_002555205.fna.gz,bcereus,509,126,6,133,46,4,114,37,
GCF_002556855.fna.gz,bcereus,new_alleles,14,144,~170,9,224,7,15,
GCF_002557925.fna.gz,bcereus,new_ST,40,8,49,44,2,25,7,
GCF_002557945.fna.gz,bcereus,2049,59,133,149,229,328,122,179,
GCF_002557995.fna.gz,bcereus,new_ST,13,8,8,195,9,12,7,
GCF_002558085.fna.gz,bcereus,new_alleles,40,8,49,44,2,~25,7,
GCF_002558125.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002558165.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002558205.fna.gz,bcereus,new_ST,74,22,118,62,66,66,244,
GCF_002558245.fna.gz,bcereus,100,13,8,46,28,9,12,7,ST-142 complex
GCF_002558275.fna.gz,bcereus,new_ST,213,116,223,225,118,107,128,
GCF_002558285.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002558315.fna.gz,bcereus,new_alleles,17,5,311,3,223,212,~12,
GCF_002558365.fna.gz,bcereus,new_ST,47,8,15,12,37,50,7,
GCF_002558375.fna.gz,bcereus,new_ST,31,9,14,95,12,14,7,
GCF_002558435.fna.gz,bcereus,1579,10,8,16,12,2,16,7,ST-8 complex
GCF_002558445.fna.gz,bcereus,new_ST,272,9,14,26,138,36,7,
GCF_002558465.fna.gz,bcereus,new_alleles,~40,28,14,44,292,36,7,
GCF_002558475.fna.gz,bcereus,new_ST,172,28,14,12,37,50,142,
GCF_002558515.fna.gz,bcereus,new_alleles,59,81,~75,229,214,~122,32,
GCF_002558615.fna.gz,bcereus,new_ST,33,8,13,19,60,17,104,
GCF_002558645.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_002558665.fna.gz,bcereus,1947,11,9,14,12,24,14,7,ST-18 complex
GCF_002558705.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002558735.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,~68,
GCF_002558745.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002558765.fna.gz,bcereus,new_alleles,99,~8,14,26,~2,25,7,
GCF_002558845.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002558875.fna.gz,bcereus,new_alleles,~213,116,187,202,118,107,128,
GCF_002558885.fna.gz,bcereus,new_alleles,202,~116,~223,202,118,171,128,
GCF_002558955.fna.gz,bcereus,480,129,77,138,129,134,118,101,
GCF_002558975.fna.gz,bcereus,new_alleles,202,~116,~223,202,118,171,128,
GCF_002558985.fna.gz,bcereus,new_ST,91,8,49,44,2,25,7,
GCF_002559035.fna.gz,bcereus,787,172,71,14,29,24,14,7,
GCF_002559045.fna.gz,bcereus,new_ST,215,116,223,170,207,144,49,
GCF_002559055.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002559065.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002559115.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002559125.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002559135.fna.gz,bcereus,2025,68,54,346,2,248,84,13,
GCF_002559195.fna.gz,bcereus,new_alleles,213,116,~223,322,336,107,~128,
GCF_002559205.fna.gz,bcereus,137,37,28,14,12,37,36,7,
GCF_002559215.fna.gz,bcereus,new_alleles,137,82,150,138,~141,~123,105,
GCF_002559225.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002559275.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002559355.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002559365.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002559425.fna.gz,bcereus,2532,40,8,49,44,2,36,7,
GCF_002559435.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002559495.fna.gz,bcereus,new_alleles,99,~8,14,26,~2,25,7,
GCF_002559505.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002559545.fna.gz,bcereus,new_ST,47,28,14,12,37,36,144,
GCF_002559565.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002559595.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002559645.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002559665.fna.gz,bcereus,new_alleles,~305,~213,~312,335,~314,~233,277,
GCF_002559685.fna.gz,bcereus,new_ST,314,9,400,26,292,36,7,
GCF_002559715.fna.gz,bcereus,new_ST,272,9,14,26,138,36,7,
GCF_002559735.fna.gz,bcereus,new_ST,47,28,14,12,37,36,144,
GCF_002559765.fna.gz,bcereus,new_ST,37,28,14,26,2,36,7,
GCF_002559805.fna.gz,bcereus,new_ST,17,5,356,357,223,154,12,
GCF_002559865.fna.gz,bcereus,new_alleles,215,116,281,36,~207,144,172,
GCF_002559915.fna.gz,bcereus,new_alleles,~40,28,14,44,292,36,7,
GCF_002559935.fna.gz,bcereus,new_alleles,~266,68,294,~382,42,~206,~127,
GCF_002559945.fna.gz,bcereus,new_ST,47,28,14,12,37,36,144,
GCF_002559985.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002560035.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,7,
GCF_002560075.fna.gz,bcereus,new_ST,40,8,14,12,2,36,7,
GCF_002560095.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002560105.fna.gz,bcereus,1961,40,28,49,44,2,36,7,
GCF_002560115.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002560145.fna.gz,bcereus,new_ST,17,5,311,357,223,212,12,
GCF_002560175.fna.gz,bcereus,new_ST,47,8,88,12,2,36,7,
GCF_002560215.fna.gz,bcereus,new_alleles,~227,9,14,12,12,14,7,
GCF_002560225.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002560255.fna.gz,bcereus,1961,40,28,49,44,2,36,7,
GCF_002560265.fna.gz,bcereus,1216,46,28,14,248,2,50,7,
GCF_002560295.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002560325.fna.gz,bcereus,new_alleles,~266,68,294,~382,42,~206,~127,
GCF_002560375.fna.gz,bcereus,new_alleles,~280,~163,411,207,~238,~197,~162,
GCF_002560385.fna.gz,bcereus,new_alleles,~180,8,14,26,2,50,7,
GCF_002560395.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002560415.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002560475.fna.gz,bcereus,new_ST,17,5,356,357,223,212,12,
GCF_002560525.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002560615.fna.gz,bcereus,new_alleles,222,36,~86,~231,54,179,32,
GCF_002560715.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002560735.fna.gz,bcereus,new_alleles,332,193,351,341,322,250,~32,
GCF_002560775.fna.gz,bcereus,new_ST,215,116,223,36,207,144,172,
GCF_002560795.fna.gz,bcereus,new_ST,215,116,223,170,207,144,49,
GCF_002560915.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002560945.fna.gz,bcereus,new_alleles,213,116,~223,322,336,107,~128,
GCF_002560955.fna.gz,bcereus,119,47,8,49,12,2,36,7,
GCF_002561035.fna.gz,bcereus,new_alleles,40,~8,14,26,2,25,7,
GCF_002561095.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002561115.fna.gz,bcereus,new_ST,47,28,49,12,308,36,7,
GCF_002561135.fna.gz,bcereus,new_ST,47,28,14,12,37,36,144,
GCF_002561205.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002561235.fna.gz,bcereus,new_ST,215,116,223,36,207,144,172,
GCF_002561255.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002561265.fna.gz,bcereus,610,146,85,157,144,143,130,115,
GCF_002561295.fna.gz,bcereus,new_alleles,142,83,~247,141,~321,125,106,
GCF_002561355.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002561385.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002561535.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002561565.fna.gz,bcereus,new_alleles,~266,~68,294,~382,42,~206,~127,
GCF_002561575.fna.gz,bcereus,new_ST,40,8,14,13,2,50,144,
GCF_002561635.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002561655.fna.gz,bcereus,new_ST,40,8,49,44,2,25,7,
GCF_002561715.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002561725.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002561745.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002561805.fna.gz,bcereus,new_ST,40,8,49,44,2,25,7,
GCF_002561885.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002561915.fna.gz,bcereus,new_ST,215,116,223,170,207,144,49,
GCF_002561925.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002561945.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002561965.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002561985.fna.gz,bcereus,new_ST,17,5,311,3,223,212,12,
GCF_002562015.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002562085.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002562115.fna.gz,bcereus,new_ST,219,78,252,169,164,143,103,
GCF_002562125.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002562145.fna.gz,bcereus,1992,215,116,223,170,207,144,172,
GCF_002562165.fna.gz,bcereus,new_ST,47,28,14,26,86,25,7,
GCF_002562215.fna.gz,bcereus,1150,33,8,13,19,2,17,7,
GCF_002562255.fna.gz,bcereus,new_alleles,81,53,117,~193,113,93,145,
GCF_002562265.fna.gz,bcereus,119,47,8,49,12,2,36,7,
GCF_002562285.fna.gz,bcereus,959,37,9,14,18,20,14,7,ST-18 complex
GCF_002562335.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002562345.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002562355.fna.gz,bcereus,new_ST,59,36,251,233,53,56,148,
GCF_002562365.fna.gz,bcereus,new_alleles,~46,9,14,12,24,14,7,
GCF_002562445.fna.gz,bcereus,932,202,116,223,174,205,171,128,
GCF_002562465.fna.gz,bcereus,new_alleles,213,116,223,322,336,107,~128,
GCF_002562495.fna.gz,bcereus,new_ST,272,9,14,12,138,36,7,
GCF_002562505.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002562555.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,7,
GCF_002562575.fna.gz,bcereus,new_alleles,40,8,14,~12,~97,36,7,
GCF_002562585.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002562595.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002562625.fna.gz,bcereus,new_ST,17,5,311,3,223,212,12,
GCF_002562645.fna.gz,bcereus,new_alleles,~213,116,223,223,118,107,128,
GCF_002562695.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002562715.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002562725.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002562735.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002562775.fna.gz,bcereus,new_alleles,~129,~78,~179,~169,~282,~143,103,
GCF_002562795.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002562925.fna.gz,bcereus,new_ST,40,8,14,329,20,50,7,
GCF_002562955.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002562985.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002563005.fna.gz,bcereus,946,81,53,117,71,209,93,80,
GCF_002563025.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002563075.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002563095.fna.gz,bcereus,new_ST,24,138,33,55,298,38,5,
GCF_002563125.fna.gz,bcereus,new_ST,40,8,14,26,2,50,7,
GCF_002563195.fna.gz,bcereus,new_alleles,202,~116,~223,202,118,171,128,
GCF_002563225.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002563235.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002564345.fna.gz,bcereus,2053,202,116,187,306,118,171,128,
GCF_002564355.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002564375.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002564415.fna.gz,bcereus,2037,312,116,223,309,118,171,281,
GCF_002564425.fna.gz,bcereus,new_alleles,~180,8,14,26,2,50,7,
GCF_002564555.fna.gz,bcereus,705,158,78,186,169,164,143,103,
GCF_002564585.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002564605.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002564625.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002564655.fna.gz,bcereus,new_ST,213,116,223,306,118,107,128,
GCF_002564675.fna.gz,bcereus,new_ST,213,116,223,322,118,107,128,
GCF_002564695.fna.gz,bcereus,new_ST,40,8,14,12,2,36,7,
GCF_002564745.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002564775.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002564805.fna.gz,bcereus,new_ST,40,8,14,329,20,50,7,
GCF_002564815.fna.gz,bcereus,new_alleles,~64,116,~174,~174,~76,~171,~307,
GCF_002564835.fna.gz,bcereus,new_alleles,37,28,14,12,~292,36,7,
GCF_002564865.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002564885.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002564915.fna.gz,bcereus,new_alleles,~213,116,223,223,118,107,128,
GCF_002564945.fna.gz,bcereus,new_alleles,~275,~118,~273,207,346,~197,307,
GCF_002564965.fna.gz,bcereus,2037,312,116,223,309,118,171,281,
GCF_002565005.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002565025.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002565035.fna.gz,bcereus,746,81,53,117,193,113,93,145,
GCF_002565055.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_002565115.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002565175.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002565225.fna.gz,bcereus,new_alleles,40,8,147,~44,2,36,7,
GCF_002565235.fna.gz,bcereus,978,81,53,117,193,113,93,80,
GCF_002565245.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002565305.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002565315.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002565345.fna.gz,bcereus,new_alleles,213,181,223,322,118,107,~128,
GCF_002565405.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002565425.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002565455.fna.gz,bcereus,new_alleles,305,214,~247,342,321,272,271,
GCF_002565465.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002565505.fna.gz,bcereus,new_ST,40,8,14,12,2,36,7,
GCF_002565525.fna.gz,bcereus,new_ST,20,8,146,19,341,17,17,
GCF_002565565.fna.gz,bcereus,new_ST,272,9,14,44,2,36,7,
GCF_002565575.fna.gz,bcereus,new_alleles,47,8,~14,26,2,36,7,
GCF_002565605.fna.gz,bcereus,new_alleles,~266,68,81,~382,42,~206,~127,
GCF_002565615.fna.gz,bcereus,new_ST,47,28,49,12,308,36,7,
GCF_002565645.fna.gz,bcereus,new_ST,7,8,14,12,2,50,7,
GCF_002565655.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002565685.fna.gz,bcereus,new_ST,37,28,14,26,2,36,7,
GCF_002565695.fna.gz,bcereus,610,146,85,157,144,143,130,115,
GCF_002565725.fna.gz,bcereus,new_alleles,226,31,~202,43,219,49,37,
GCF_002565735.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002565765.fna.gz,bcereus,new_alleles,17,~5,311,3,223,248,12,
GCF_002565775.fna.gz,bcereus,-,141,83,~247,141,~321,-,106,
GCF_002565795.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002565815.fna.gz,bcereus,new_alleles,~129,78,~179,~169,~282,~143,103,
GCF_002565865.fna.gz,bcereus,new_alleles,40,8,14,12,~2,50,7,
GCF_002565885.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002565895.fna.gz,bcereus,932,202,116,223,174,205,171,128,
GCF_002565955.fna.gz,bcereus,new_alleles,202,~116,~223,202,118,171,128,
GCF_002565965.fna.gz,bcereus,new_alleles,215,116,223,36,207,144,~172,
GCF_002566005.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002566045.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002566105.fna.gz,bcereus,new_alleles,215,116,281,~36,207,144,172,
GCF_002566115.fna.gz,bcereus,-,~289,~163,-,~287,~269,~223,~162,
GCF_002566185.fna.gz,bcereus,new_ST,314,9,400,26,292,36,7,
GCF_002566205.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002566215.fna.gz,bcereus,new_alleles,13,8,8,7,9,12,~7,
GCF_002566225.fna.gz,bcereus,new_alleles,~40,28,14,44,292,36,7,
GCF_002566255.fna.gz,bcereus,new_ST,17,5,311,357,223,248,12,
GCF_002566365.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002566455.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002566525.fna.gz,bcereus,new_alleles,81,53,~117,232,113,93,80,
GCF_002566535.fna.gz,bcereus,new_ST,17,5,356,3,223,248,12,
GCF_002566595.fna.gz,bcereus,new_alleles,332,193,351,341,322,250,~32,
GCF_002566605.fna.gz,bcereus,2081,335,9,399,12,24,14,7,ST-18 complex
GCF_002566665.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002566675.fna.gz,bcereus,1962,37,28,14,26,86,36,7,
GCF_002566705.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002566725.fna.gz,bcereus,new_ST,47,8,16,26,2,16,7,
GCF_002566755.fna.gz,bcereus,new_ST,47,28,14,12,37,36,7,
GCF_002566775.fna.gz,bcereus,501,7,8,14,26,138,50,7,
GCF_002566795.fna.gz,bcereus,new_alleles,37,9,14,~12,2,25,7,
GCF_002566825.fna.gz,bcereus,new_alleles,~66,193,~351,56,322,250,32,
GCF_002566845.fna.gz,bcereus,new_alleles,141,83,~247,365,~321,125,106,
GCF_002566855.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002566885.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002566895.fna.gz,bcereus,1958,125,9,14,26,2,36,7,
GCF_002566925.fna.gz,bcereus,2035,338,8,396,329,20,36,7,
GCF_002567015.fna.gz,bcereus,new_ST,314,9,400,26,292,36,7,
GCF_002567065.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002567125.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002567135.fna.gz,bcereus,new_ST,17,5,311,357,223,212,12,
GCF_002567145.fna.gz,bcereus,new_ST,40,8,14,26,138,50,268,
GCF_002567185.fna.gz,bcereus,480,129,77,138,129,134,118,101,
GCF_002567215.fna.gz,bcereus,new_alleles,~213,116,223,223,118,107,128,
GCF_002567225.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002567275.fna.gz,bcereus,new_alleles,~66,193,351,56,~322,250,32,
GCF_002567325.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002567335.fna.gz,bcereus,new_ST,215,116,223,36,207,144,172,
GCF_002567355.fna.gz,bcereus,new_ST,7,8,14,26,2,50,7,
GCF_002567375.fna.gz,bcereus,new_alleles,40,8,15,44,2,~25,7,
GCF_002567405.fna.gz,bcereus,new_ST,40,8,14,329,20,50,7,
GCF_002567415.fna.gz,bcereus,new_ST,125,8,14,26,138,50,7,
GCF_002567445.fna.gz,bcereus,new_alleles,~47,8,14,12,2,36,7,
GCF_002567465.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002567475.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002567495.fna.gz,bcereus,2086,340,206,387,353,287,254,263,
GCF_002567525.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002567535.fna.gz,bcereus,new_ST,91,8,49,44,2,25,7,
GCF_002567555.fna.gz,bcereus,395,13,8,8,11,4,12,53,ST-142 complex
GCF_002567595.fna.gz,bcereus,new_alleles,215,116,223,~306,207,144,172,
GCF_002567605.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,7,
GCF_002567665.fna.gz,bcereus,new_alleles,81,53,~117,193,113,93,80,
GCF_002567675.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002567705.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002567725.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002567745.fna.gz,bcereus,new_ST,17,5,311,357,223,248,12,
GCF_002567785.fna.gz,bcereus,-,142,83,~247,141,~321,-,296,
GCF_002567795.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002567815.fna.gz,bcereus,new_alleles,31,9,~14,~12,2,36,7,
GCF_002567835.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002567915.fna.gz,bcereus,new_alleles,37,28,14,12,~292,36,7,
GCF_002567985.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002568015.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002568095.fna.gz,bcereus,new_ST,40,8,400,12,37,36,7,
GCF_002568125.fna.gz,bcereus,new_alleles,99,8,~14,44,2,36,7,
GCF_002568135.fna.gz,bcereus,new_ST,37,28,14,26,2,36,7,
GCF_002568145.fna.gz,bcereus,new_ST,37,28,14,26,2,25,7,
