Genome,Scheme,ST,ace,gltB,gmhD,lepA,lipA,narK,ndh,clonal_complex
GCF_001327275.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001327295.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327315.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327335.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327355.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327375.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001327395.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_001327415.fna.gz,bpseudomallei,158,1,1,2,1,6,10,1,
GCF_001327435.fna.gz,bpseudomallei,767,1,1,11,2,1,3,1,
GCF_001327455.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327475.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001327495.fna.gz,bpseudomallei,300,1,1,3,1,1,4,1,
GCF_001327515.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327535.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327555.fna.gz,bpseudomallei,163,3,2,2,1,1,4,1,
GCF_001327575.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001445635.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001445855.fna.gz,bpseudomallei,-,1,-,2,3,8,4,3,
GCF_001445865.fna.gz,bpseudomallei,1074,8,28,3,18,1,6,6,
GCF_001445875.fna.gz,bpseudomallei,-,-,4,11,3,5,4,6,
GCF_001445915.fna.gz,bpseudomallei,178,1,1,3,4,5,22,1,
GCF_001445925.fna.gz,bpseudomallei,-,3,1,-,3,5,4,6,
GCF_001445955.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_001445975.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001445985.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001446005.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001446035.fna.gz,bpseudomallei,266,1,15,14,14,1,8,1,
GCF_001446055.fna.gz,bpseudomallei,286,15,2,13,2,20,19,1,
GCF_001446075.fna.gz,bpseudomallei,613,1,4,43,4,1,48,11,
GCF_001446095.fna.gz,bpseudomallei,72,4,1,4,1,1,2,1,
GCF_001446115.fna.gz,bpseudomallei,-,3,-,11,3,5,4,6,
GCF_001446125.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001446155.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001446175.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001611585.fna.gz,bpseudomallei,376,1,4,2,3,8,4,3,
GCF_001637005.fna.gz,bpseudomallei,1005,3,1,4,1,6,4,1,
GCF_001637015.fna.gz,bpseudomallei,174,3,2,14,2,1,3,1,
GCF_001637025.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001642555.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001695715.fna.gz,bpseudomallei,new_alleles,4,~60,3,2,1,1,3,
GCF_001695735.fna.gz,bpseudomallei,1034,4,60,3,2,1,1,3,
GCF_001885195.fna.gz,bpseudomallei,436,1,1,2,32,5,1,1,
GCF_001887555.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_001887575.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_001905265.fna.gz,bpseudomallei,967,1,2,3,2,15,12,1,
GCF_001974745.fna.gz,bpseudomallei,437,12,32,3,2,3,43,1,
GCF_001975065.fna.gz,bpseudomallei,437,12,32,3,2,3,43,1,
GCF_001975085.fna.gz,bpseudomallei,975,1,4,3,47,1,12,1,
GCF_001975105.fna.gz,bpseudomallei,975,1,4,3,47,1,12,1,
GCF_001975125.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_001975145.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_001976165.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976175.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976185.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976195.fna.gz,bpseudomallei,11,1,1,13,1,6,1,1,
GCF_001976245.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976255.fna.gz,bpseudomallei,418,1,4,37,3,1,1,1,
GCF_001976265.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976275.fna.gz,bpseudomallei,206,1,1,3,1,1,1,1,
GCF_001976325.fna.gz,bpseudomallei,225,1,2,13,17,6,3,1,
GCF_001976335.fna.gz,bpseudomallei,288,3,2,3,2,1,3,1,
GCF_001976345.fna.gz,bpseudomallei,300,1,1,3,1,1,4,1,
GCF_001976385.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976395.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976405.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976415.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976465.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001976475.fna.gz,bpseudomallei,new_alleles,1,4,~3,4,1,4,1,
GCF_001976485.fna.gz,bpseudomallei,48,3,1,2,1,1,4,1,
GCF_001976495.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001976545.fna.gz,bpseudomallei,158,1,1,2,1,6,10,1,
GCF_001976565.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_001976575.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_001976585.fna.gz,bpseudomallei,1783,1,1,2,3,1,3,1,
GCF_001976625.fna.gz,bpseudomallei,507,3,1,11,3,5,4,6,
GCF_001976645.fna.gz,bpseudomallei,507,3,1,11,3,5,4,6,
GCF_001976655.fna.gz,bpseudomallei,47,3,1,2,1,1,3,1,
GCF_001976675.fna.gz,bpseudomallei,new_ST,1,12,2,1,1,2,1,
GCF_001976685.fna.gz,bpseudomallei,197,3,1,13,1,1,22,1,
GCF_001976725.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001976735.fna.gz,bpseudomallei,209,1,4,6,1,1,2,1,
GCF_001976755.fna.gz,bpseudomallei,9,1,1,12,1,1,1,1,
GCF_001976785.fna.gz,bpseudomallei,new_ST,1,4,3,2,6,2,1,
GCF_001976805.fna.gz,bpseudomallei,178,1,1,3,4,5,22,1,
GCF_001976815.fna.gz,bpseudomallei,178,1,1,3,4,5,22,1,
GCF_001976825.fna.gz,bpseudomallei,178,1,1,3,4,5,22,1,
GCF_001976865.fna.gz,bpseudomallei,227,1,1,2,1,5,4,1,
GCF_001976885.fna.gz,bpseudomallei,178,1,1,3,4,5,22,1,
GCF_001976895.fna.gz,bpseudomallei,526,1,2,4,1,1,1,1,
GCF_001976905.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001976925.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_001976965.fna.gz,bpseudomallei,114,1,3,3,4,1,24,1,
GCF_001976975.fna.gz,bpseudomallei,new_ST,1,1,2,1,1,2,1,
GCF_001977005.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_001977015.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977045.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977055.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977085.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001977095.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001977125.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001977135.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977165.fna.gz,bpseudomallei,new_ST,1,1,6,1,6,4,1,
GCF_001977185.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977195.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977225.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977245.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977265.fna.gz,bpseudomallei,208,1,1,6,1,1,4,1,
GCF_001977275.fna.gz,bpseudomallei,671,1,12,2,4,1,53,1,
GCF_001977285.fna.gz,bpseudomallei,208,1,1,6,1,1,4,1,
GCF_001977325.fna.gz,bpseudomallei,103,1,1,3,4,6,25,1,
GCF_001977345.fna.gz,bpseudomallei,122,4,2,14,120,1,12,1,
GCF_001977365.fna.gz,bpseudomallei,149,11,2,14,2,1,6,1,
GCF_001977375.fna.gz,bpseudomallei,169,1,1,2,3,8,4,3,
GCF_001977385.fna.gz,bpseudomallei,180,1,1,3,4,6,3,1,
GCF_001977425.fna.gz,bpseudomallei,392,1,2,6,1,1,4,1,
GCF_001977435.fna.gz,bpseudomallei,498,1,4,2,2,1,16,1,
GCF_001977465.fna.gz,bpseudomallei,309,1,2,3,17,1,1,1,
GCF_001977475.fna.gz,bpseudomallei,9,1,1,12,1,1,1,1,
GCF_001977495.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977525.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977545.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001977565.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001977575.fna.gz,bpseudomallei,new_ST,1,1,2,1,1,2,1,
GCF_001977605.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001977615.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001977645.fna.gz,bpseudomallei,-,-,4,11,3,5,4,6,
GCF_001977655.fna.gz,bpseudomallei,new_ST,3,4,11,3,8,2,6,
GCF_001977675.fna.gz,bpseudomallei,-,4,4,-,3,1,4,1,
GCF_001977695.fna.gz,bpseudomallei,507,3,1,11,3,5,4,6,
GCF_001977725.fna.gz,bpseudomallei,-,3,-,11,3,5,4,6,
GCF_001977735.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_001977745.fna.gz,bpseudomallei,new_ST,3,2,3,1,6,4,1,
GCF_001977785.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_001977805.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977815.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001977825.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977865.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977875.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001977885.fna.gz,bpseudomallei,93,1,1,2,1,1,4,1,
GCF_001977915.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_001977945.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_001977955.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001977975.fna.gz,bpseudomallei,1005,3,1,4,1,6,4,1,
GCF_001978005.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978015.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001978045.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001978055.fna.gz,bpseudomallei,208,1,1,6,1,1,4,1,
GCF_001978085.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001978105.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001978115.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001978125.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_001978165.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001978175.fna.gz,bpseudomallei,new_alleles,~1,12,2,4,1,53,1,
GCF_001978185.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_001978205.fna.gz,bpseudomallei,150,12,4,3,2,1,21,1,
GCF_001978245.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978265.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978285.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978295.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978325.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978345.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978365.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001978385.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978405.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978415.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978445.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978455.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978485.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978505.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978515.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978525.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978565.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978585.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978605.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978615.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978635.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978665.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978675.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978705.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978725.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978745.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001978765.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001978785.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001978795.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001978825.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978835.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978865.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978875.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978905.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978925.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978935.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978965.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978985.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001978995.fna.gz,bpseudomallei,266,1,15,14,14,1,8,1,
GCF_001979015.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001979045.fna.gz,bpseudomallei,266,1,15,14,14,1,8,1,
GCF_001979065.fna.gz,bpseudomallei,266,1,15,14,14,1,8,1,
GCF_001979085.fna.gz,bpseudomallei,135,1,17,13,4,15,22,1,
GCF_001979105.fna.gz,bpseudomallei,135,1,17,13,4,15,22,1,
GCF_001979115.fna.gz,bpseudomallei,114,1,3,3,4,1,24,1,
GCF_001979135.fna.gz,bpseudomallei,114,1,3,3,4,1,24,1,
GCF_001979165.fna.gz,bpseudomallei,1356,1,2,13,4,1,24,11,
GCF_001979175.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979195.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_001979215.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979245.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979255.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979275.fna.gz,bpseudomallei,473,4,2,14,2,1,6,1,
GCF_001979285.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979325.fna.gz,bpseudomallei,333,1,27,14,14,1,8,1,
GCF_001979335.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979345.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979385.fna.gz,bpseudomallei,259,1,6,13,2,15,8,11,
GCF_001979405.fna.gz,bpseudomallei,245,1,2,14,2,1,12,1,
GCF_001979415.fna.gz,bpseudomallei,332,1,16,3,2,1,22,11,
GCF_001979435.fna.gz,bpseudomallei,-,1,-,2,3,8,4,3,
GCF_001979455.fna.gz,bpseudomallei,498,1,4,2,2,1,16,1,
GCF_001979485.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001979495.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001979505.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979545.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001979565.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979585.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979595.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979615.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979645.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979665.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979675.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979695.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979725.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979745.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979755.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979765.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001979805.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_001979815.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979835.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979865.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979885.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001979895.fna.gz,bpseudomallei,260,1,6,30,4,1,12,1,
GCF_001979905.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001979945.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001979965.fna.gz,bpseudomallei,1356,1,2,13,4,1,24,11,
GCF_001979975.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_001979995.fna.gz,bpseudomallei,111,1,2,13,2,1,9,1,
GCF_001980025.fna.gz,bpseudomallei,72,4,1,4,1,1,2,1,
GCF_001980045.fna.gz,bpseudomallei,126,1,14,20,1,15,9,15,
GCF_001980065.fna.gz,bpseudomallei,260,1,6,30,4,1,12,1,
GCF_001980075.fna.gz,bpseudomallei,259,1,6,13,2,15,8,11,
GCF_001980105.fna.gz,bpseudomallei,112,1,2,13,16,1,22,1,
GCF_001980125.fna.gz,bpseudomallei,642,4,2,14,2,1,22,1,
GCF_001980145.fna.gz,bpseudomallei,862,1,1,13,2,8,6,11,
GCF_001980155.fna.gz,bpseudomallei,808,1,15,3,41,1,6,1,
GCF_001980175.fna.gz,bpseudomallei,335,1,4,13,4,1,2,1,
GCF_001980205.fna.gz,bpseudomallei,842,8,15,3,2,6,12,13,
GCF_001980215.fna.gz,bpseudomallei,848,1,1,3,4,15,6,11,
GCF_001980245.fna.gz,bpseudomallei,109,1,2,13,4,1,19,1,
GCF_001980265.fna.gz,bpseudomallei,846,1,1,3,4,42,2,1,
GCF_001980275.fna.gz,bpseudomallei,1044,4,23,13,4,17,2,1,
GCF_001980305.fna.gz,bpseudomallei,109,1,2,13,4,1,19,1,
GCF_001980315.fna.gz,bpseudomallei,1022,1,7,6,14,1,22,1,
GCF_001980335.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001980365.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_001980385.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980395.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980425.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980435.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980465.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980485.fna.gz,bpseudomallei,453,1,7,3,4,1,2,1,
GCF_001980495.fna.gz,bpseudomallei,333,1,27,14,14,1,8,1,
GCF_001980515.fna.gz,bpseudomallei,333,1,27,14,14,1,8,1,
GCF_001980545.fna.gz,bpseudomallei,new_ST,1,27,12,14,1,8,1,
GCF_001980565.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_001980585.fna.gz,bpseudomallei,881,4,1,6,1,8,60,1,
GCF_001980605.fna.gz,bpseudomallei,881,4,1,6,1,8,60,1,
GCF_001980625.fna.gz,bpseudomallei,658,1,4,2,1,1,4,3,
GCF_001980645.fna.gz,bpseudomallei,658,1,4,2,1,1,4,3,
GCF_001980655.fna.gz,bpseudomallei,881,4,1,6,1,8,60,1,
GCF_001980675.fna.gz,bpseudomallei,881,4,1,6,1,8,60,1,
GCF_001980695.fna.gz,bpseudomallei,78,1,2,2,1,1,1,1,
GCF_001980725.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001980735.fna.gz,bpseudomallei,78,1,2,2,1,1,1,1,
GCF_001980755.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001980775.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001980805.fna.gz,bpseudomallei,708,3,1,11,4,1,29,1,
GCF_001980815.fna.gz,bpseudomallei,708,3,1,11,4,1,29,1,
GCF_001980835.fna.gz,bpseudomallei,708,3,1,11,4,1,29,1,
GCF_001980845.fna.gz,bpseudomallei,56,3,1,4,1,1,4,1,
GCF_001980885.fna.gz,bpseudomallei,56,3,1,4,1,1,4,1,
GCF_001980895.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_001980905.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001980915.fna.gz,bpseudomallei,873,3,4,6,3,5,4,3,
GCF_001980965.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_001980985.fna.gz,bpseudomallei,60,3,1,12,1,1,3,1,
GCF_001980995.fna.gz,bpseudomallei,174,3,2,14,2,1,3,1,
GCF_001981025.fna.gz,bpseudomallei,304,1,1,5,1,1,4,1,
GCF_001981045.fna.gz,bpseudomallei,498,1,4,2,2,1,16,1,
GCF_001981055.fna.gz,bpseudomallei,4,1,1,4,2,1,2,1,
GCF_001981085.fna.gz,bpseudomallei,671,1,12,2,4,1,53,1,
GCF_001981105.fna.gz,bpseudomallei,874,1,4,3,2,1,4,1,
GCF_001981125.fna.gz,bpseudomallei,671,1,12,2,4,1,53,1,
GCF_001981135.fna.gz,bpseudomallei,671,1,12,2,4,1,53,1,
GCF_001981165.fna.gz,bpseudomallei,1465,1,2,13,17,1,4,1,
GCF_001981185.fna.gz,bpseudomallei,306,1,2,3,1,1,2,1,
GCF_001981195.fna.gz,bpseudomallei,306,1,2,3,1,1,2,1,
GCF_002110925.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002110945.fna.gz,bpseudomallei,95,1,1,2,2,5,1,1,
GCF_002110965.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002110985.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002111005.fna.gz,bpseudomallei,1038,1,1,2,56,5,1,1,
GCF_002111025.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002111045.fna.gz,bpseudomallei,951,1,1,2,1,1,1,1,
GCF_002111065.fna.gz,bpseudomallei,-,1,1,2,2,5,-,1,
GCF_002111085.fna.gz,bpseudomallei,11,1,1,13,1,6,1,1,
GCF_002111105.fna.gz,bpseudomallei,518,1,1,13,2,1,1,1,
GCF_002111125.fna.gz,bpseudomallei,698,1,1,13,1,5,1,36,
GCF_002111145.fna.gz,bpseudomallei,518,1,1,13,2,1,1,1,
GCF_002111165.fna.gz,bpseudomallei,92,1,1,2,1,5,1,1,
GCF_002111185.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002111205.fna.gz,bpseudomallei,518,1,1,13,2,1,1,1,
GCF_002111225.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_002111245.fna.gz,bpseudomallei,1038,1,1,2,56,5,1,1,
GCF_002111265.fna.gz,bpseudomallei,297,1,1,2,2,5,6,1,
GCF_002111285.fna.gz,bpseudomallei,92,1,1,2,1,5,1,1,
GCF_002111305.fna.gz,bpseudomallei,436,1,1,2,32,5,1,1,
GCF_002111325.fna.gz,bpseudomallei,92,1,1,2,1,5,1,1,
GCF_002111345.fna.gz,bpseudomallei,12,1,1,13,1,5,1,1,
GCF_002111365.fna.gz,bpseudomallei,550,1,4,6,2,1,2,3,
GCF_002111385.fna.gz,bpseudomallei,92,1,1,2,1,5,1,1,
GCF_002113945.fna.gz,bpseudomallei,1053,4,12,3,2,5,2,1,
GCF_002115385.fna.gz,bpseudomallei,698,1,1,13,1,5,1,36,
GCF_002245325.fna.gz,bpseudomallei,new_ST,3,1,2,4,5,4,6,
GCF_002803555.fna.gz,bpseudomallei,1650,4,12,14,1,1,19,1,
GCF_002803595.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_002843645.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_002860065.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_002880835.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_002880845.fna.gz,bpseudomallei,114,1,3,3,4,1,24,1,
GCF_002880855.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_002880915.fna.gz,bpseudomallei,225,1,2,13,17,6,3,1,
GCF_002880925.fna.gz,bpseudomallei,507,3,1,11,3,5,4,6,
GCF_002880955.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_002880965.fna.gz,bpseudomallei,197,3,1,13,1,1,22,1,
GCF_002880985.fna.gz,bpseudomallei,48,3,1,2,1,1,4,1,
GCF_002881015.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_002881035.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_002881055.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_002881075.fna.gz,bpseudomallei,418,1,4,37,3,1,1,1,
GCF_002881115.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_002881135.fna.gz,bpseudomallei,114,1,3,3,4,1,24,1,
GCF_002887835.fna.gz,bpseudomallei,260,1,6,30,4,1,12,1,
GCF_002887855.fna.gz,bpseudomallei,149,11,2,14,2,1,6,1,
GCF_002887875.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_002887885.fna.gz,bpseudomallei,-,-,2,22,18,1,22,11,
GCF_002887895.fna.gz,bpseudomallei,17,1,2,3,1,1,1,1,
GCF_002887935.fna.gz,bpseudomallei,498,1,4,2,2,1,16,1,
GCF_002887955.fna.gz,bpseudomallei,-,4,38,23,4,-,24,1,
