Genome,Scheme,ST,aspA,glnA,gltA,glyA,pgm,tkt,uncA,clonal_complex
GCF_001232885.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001232905.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001232925.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001232945.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001232965.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001233005.fna.gz,cjejuni,2258,2,84,2,68,2,68,5,
GCF_001233025.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001233065.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001233085.fna.gz,cjejuni,2135,8,1,6,3,2,1,12,ST-21 complex
GCF_001233105.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_001233185.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001233225.fna.gz,cjejuni,5738,160,84,5,10,13,3,5,
GCF_001233245.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001233285.fna.gz,cjejuni,844,2,4,1,3,7,1,5,ST-48 complex
GCF_001233305.fna.gz,cjejuni,523,2,4,1,93,11,3,6,ST-658 complex
GCF_001233325.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001233405.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001233465.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001233545.fna.gz,cjejuni,5597,10,2,42,4,90,25,8,
GCF_001233585.fna.gz,cjejuni,583,4,7,10,4,42,51,1,ST-45 complex
GCF_001233625.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001233645.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001233665.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001233685.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001233745.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001233765.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001233805.fna.gz,cjejuni,5758,7,422,5,10,11,3,6,ST-353 complex
GCF_001233905.fna.gz,cjejuni,583,4,7,10,4,42,51,1,ST-45 complex
GCF_001233965.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001233985.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_001234065.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001234085.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001234145.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001234165.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001234225.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001234285.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001234305.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001234325.fna.gz,cjejuni,132,1,6,22,24,12,28,1,ST-508 complex
GCF_001234425.fna.gz,cjejuni,132,1,6,22,24,12,28,1,ST-508 complex
GCF_001234505.fna.gz,cjejuni,5717,2,421,4,64,332,7,23,ST-1034 complex
GCF_001234565.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001234605.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001234665.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001234685.fna.gz,cjejuni,429,7,4,5,2,11,1,5,ST-48 complex
GCF_001234745.fna.gz,cjejuni,2844,24,21,2,2,2,59,6,ST-460 complex
GCF_001234825.fna.gz,cjejuni,220,1,6,29,2,40,32,3,ST-179 complex
GCF_001234865.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001234885.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001234945.fna.gz,cjejuni,5136,24,2,2,2,10,3,3,ST-464 complex
GCF_001234965.fna.gz,cjejuni,new_ST,1,4,52,2,6,3,17,
GCF_001235005.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001235045.fna.gz,cjejuni,4811,6,4,52,2,89,282,5,
GCF_001235065.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001235125.fna.gz,cjejuni,141,2,1,10,3,2,1,5,ST-21 complex
GCF_001235145.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_001235165.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001235245.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001235365.fna.gz,cjejuni,587,1,2,42,4,90,25,8,ST-362 complex
GCF_001235565.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_001235585.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001235625.fna.gz,cjejuni,1301,2,115,57,26,127,29,35,ST-692 complex
GCF_001235765.fna.gz,cjejuni,5728,2,59,4,38,10,488,35,ST-433 complex
GCF_001235825.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001235925.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001235965.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001235985.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001236085.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001236105.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001236125.fna.gz,cjejuni,5756,73,21,2,465,86,3,6,
GCF_001236165.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001236205.fna.gz,cjejuni,1911,7,84,5,10,119,178,26,
GCF_001236225.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001236305.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001236325.fna.gz,cjejuni,508,1,6,60,24,12,28,1,ST-508 complex
GCF_001236345.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001236385.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001236445.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001236525.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_001236545.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001236605.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001236645.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001236665.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001236705.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_001236725.fna.gz,cjejuni,2401,64,105,20,287,94,103,16,
GCF_001236765.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001236785.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001236805.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_001236845.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001236865.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001236905.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001236945.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001237005.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001237085.fna.gz,cjejuni,262,2,1,1,3,2,1,3,ST-21 complex
GCF_001237125.fna.gz,cjejuni,5136,24,2,2,2,10,3,3,ST-464 complex
GCF_001237145.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001237205.fna.gz,cjejuni,132,1,6,22,24,12,28,1,ST-508 complex
GCF_001237265.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001237345.fna.gz,cjejuni,5731,24,2,2,2,10,3,12,ST-464 complex
GCF_001237385.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001237465.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001237545.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001237565.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001237585.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_001237605.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001237645.fna.gz,cjejuni,658,2,4,2,4,19,3,6,ST-658 complex
GCF_001237745.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001237785.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001237865.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001237885.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_001237965.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001238065.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001238105.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001238125.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001238165.fna.gz,cjejuni,883,2,17,2,3,2,1,5,ST-21 complex
GCF_001238185.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001238245.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001238565.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001238765.fna.gz,cjejuni,3102,2,84,12,3,11,1,5,ST-21 complex
GCF_001238785.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_001238805.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001238825.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_001238885.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001238945.fna.gz,cjejuni,933,10,1,59,19,10,5,7,ST-403 complex
GCF_001238965.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001238985.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_001239025.fna.gz,cjejuni,5727,2,1,12,462,2,1,5,ST-21 complex
GCF_001239045.fna.gz,cjejuni,449,7,71,5,62,11,67,6,ST-581 complex
GCF_001239105.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001239205.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001239265.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_001239305.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001239325.fna.gz,cjejuni,508,1,6,60,24,12,28,1,ST-508 complex
GCF_001239345.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001239365.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001239445.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001239485.fna.gz,cjejuni,3534,64,81,111,143,134,153,16,
GCF_001239645.fna.gz,cjejuni,5730,7,17,5,2,22,5,1,ST-353 complex
GCF_001239685.fna.gz,cjejuni,986,91,2,42,4,169,9,8,
GCF_001291505.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001291585.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_001291805.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001291825.fna.gz,cjejuni,132,1,6,22,24,12,28,1,ST-508 complex
GCF_001291925.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001291965.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001292025.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001292145.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001292185.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001292205.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001292245.fna.gz,cjejuni,4279,27,22,22,376,43,86,31,ST-1275 complex
GCF_001292265.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001292285.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001292385.fna.gz,cjejuni,814,2,75,4,48,141,34,1,ST-661 complex
GCF_001292485.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001299565.fna.gz,cjejuni,362,1,2,49,4,11,66,8,ST-362 complex
GCF_001299595.fna.gz,cjejuni,362,1,2,49,4,11,66,8,ST-362 complex
GCF_001314285.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001406935.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_001406955.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001406975.fna.gz,cjejuni,148,2,1,6,3,2,1,5,ST-21 complex
GCF_001406995.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001407015.fna.gz,cjejuni,47,2,1,1,5,2,1,5,ST-21 complex
GCF_001407035.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001407055.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001407075.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_001407095.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001407115.fna.gz,cjejuni,824,9,2,2,2,11,5,6,ST-257 complex
GCF_001407135.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001407195.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001407315.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001407345.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001407365.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001407415.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001407435.fna.gz,cjejuni,148,2,1,6,3,2,1,5,ST-21 complex
GCF_001407455.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001407475.fna.gz,cjejuni,1707,9,2,5,2,11,3,1,ST-607 complex
GCF_001407495.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001407515.fna.gz,cjejuni,47,2,1,1,5,2,1,5,ST-21 complex
GCF_001407535.fna.gz,cjejuni,441,7,1,2,83,2,3,6,
GCF_001407555.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001407575.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001407595.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001407635.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001407655.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001407675.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001407695.fna.gz,cjejuni,2180,2,4,2,25,11,3,5,ST-658 complex
GCF_001407715.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001407735.fna.gz,cjejuni,47,2,1,1,5,2,1,5,ST-21 complex
GCF_001407755.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001407775.fna.gz,cjejuni,443,24,17,2,15,23,3,12,ST-443 complex
GCF_001407795.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_001407815.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001407855.fna.gz,cjejuni,262,2,1,1,3,2,1,3,ST-21 complex
GCF_001407895.fna.gz,cjejuni,2123,1,2,42,4,2,25,8,ST-362 complex
GCF_001407915.fna.gz,cjejuni,583,4,7,10,4,42,51,1,ST-45 complex
GCF_001407935.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001407955.fna.gz,cjejuni,883,2,17,2,3,2,1,5,ST-21 complex
GCF_001407975.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001407995.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001408015.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001408055.fna.gz,cjejuni,7546,2,257,80,243,385,25,212,
GCF_001408095.fna.gz,cjejuni,441,7,1,2,83,2,3,6,
GCF_001408115.fna.gz,cjejuni,2364,14,249,5,2,11,3,6,ST-353 complex
GCF_001408135.fna.gz,cjejuni,429,7,4,5,2,11,1,5,ST-48 complex
GCF_001408155.fna.gz,cjejuni,367,2,2,4,62,4,5,6,ST-257 complex
GCF_001408175.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_001408195.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001408215.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001408235.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001412295.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_001416835.fna.gz,cjejuni,7729,7,112,5,2,741,67,6,ST-353 complex
GCF_001417165.fna.gz,cjejuni,222,2,21,5,2,59,1,5,ST-206 complex
GCF_001417285.fna.gz,cjejuni,2934,7,112,5,2,167,67,6,ST-353 complex
GCF_001418835.fna.gz,cjejuni,2140,9,53,2,53,11,3,3,ST-574 complex
GCF_001418855.fna.gz,cjejuni,8171,14,21,2,10,127,3,6,ST-52 complex
GCF_001418905.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001418915.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001418925.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001418935.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001418985.fna.gz,cjejuni,-,4,7,10,4,-,7,1,
GCF_001419025.fna.gz,cjejuni,8812,37,490,292,28,694,25,469,
GCF_001419065.fna.gz,cjejuni,1233,7,17,5,10,10,177,6,ST-353 complex
GCF_001419085.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001419105.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001419125.fna.gz,cjejuni,8180,181,53,27,10,11,3,6,ST-574 complex
GCF_001419165.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001419185.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001419195.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001419245.fna.gz,cjejuni,6091,2,4,5,25,11,203,5,
GCF_001419295.fna.gz,cjejuni,5453,1,6,137,176,40,478,3,ST-179 complex
GCF_001419475.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001419505.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001419625.fna.gz,cjejuni,8814,4,7,12,4,799,7,1,ST-45 complex
GCF_001419635.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001419645.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001420435.fna.gz,cjejuni,1953,7,17,2,2,86,3,1,ST-353 complex
GCF_001420455.fna.gz,cjejuni,9676,37,75,600,48,141,34,1,ST-661 complex
GCF_001420485.fna.gz,cjejuni,new_ST,7,75,4,64,86,59,1,
GCF_001432345.fna.gz,cjejuni,3579,7,4,27,68,11,1,6,
GCF_001441735.fna.gz,cjejuni,8177,3,222,29,250,303,25,35,
GCF_001441755.fna.gz,cjejuni,6052,2,4,1,2,22,1,5,ST-48 complex
GCF_001442025.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_001442185.fna.gz,cjejuni,3510,7,17,5,2,13,3,6,ST-353 complex
GCF_001442255.fna.gz,cjejuni,462,7,17,5,2,11,3,6,ST-353 complex
GCF_001442295.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001442335.fna.gz,cjejuni,8813,7,2,512,2,798,3,6,ST-353 complex
GCF_001457695.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_001488115.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001488675.fna.gz,cjejuni,8333,64,22,20,97,134,204,16,
GCF_001489095.fna.gz,cjejuni,262,2,1,1,3,2,1,3,ST-21 complex
GCF_001490635.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001491455.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001491675.fna.gz,cjejuni,8333,64,22,20,97,134,204,16,
GCF_001494015.fna.gz,cjejuni,262,2,1,1,3,2,1,3,ST-21 complex
GCF_001494515.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001496075.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001498975.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001506185.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506205.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506225.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506245.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506265.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506285.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506305.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506345.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506365.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506385.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506405.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506425.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506445.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506465.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506485.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506505.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506525.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506545.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506565.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506585.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506605.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506625.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506645.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506665.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506685.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506705.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506725.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506745.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506765.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506785.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506805.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506825.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506845.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506865.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506885.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506905.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506925.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001506945.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506965.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001506985.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507005.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507025.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507045.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507065.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507085.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507105.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001507125.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507145.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507165.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507185.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507205.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001507225.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507245.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001507265.fna.gz,cjejuni,794,10,81,50,87,120,76,52,ST-677 complex
GCF_001516405.fna.gz,cjejuni,5233,2,17,5,3,2,1,5,ST-21 complex
GCF_001516415.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001516425.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001516435.fna.gz,cjejuni,2049,8,10,16,2,11,12,6,ST-354 complex
GCF_001516485.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001516495.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001516505.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001516515.fna.gz,cjejuni,5233,2,17,5,3,2,1,5,ST-21 complex
GCF_001516565.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
