Genome,Scheme,ST,adk,atpG,frdB,fucK,mdh,pgi,recA,clonal_complex
GCF_002991325.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_002991345.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002991365.fna.gz,hinfluenzae,-,53,74,42,-,268,247,86,
GCF_002991385.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002991405.fna.gz,hinfluenzae,436,40,1,1,10,15,1,5,
GCF_002991415.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002991445.fna.gz,hinfluenzae,142,1,1,1,35,15,53,38,
GCF_002991465.fna.gz,hinfluenzae,-,14,44,1,1,22,-,5,
GCF_002991485.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003203015.fna.gz,hinfluenzae,1736,68,43,38,7,95,165,18,
GCF_003203035.fna.gz,hinfluenzae,393,42,2,38,41,104,55,10,
GCF_003203055.fna.gz,hinfluenzae,1683,63,54,165,1,17,31,10,
GCF_003203075.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003203095.fna.gz,hinfluenzae,160,40,1,1,14,1,59,3,
GCF_003203115.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_003203135.fna.gz,hinfluenzae,584,5,33,7,1,26,41,29,
GCF_003203155.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_003203175.fna.gz,hinfluenzae,396,10,2,15,8,26,61,3,
GCF_003203195.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_003203215.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003203235.fna.gz,hinfluenzae,1434,35,1,22,36,7,14,29,
GCF_003203255.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_003203275.fna.gz,hinfluenzae,991,63,50,22,15,10,40,3,
GCF_003351425.fna.gz,hinfluenzae,62,21,12,9,7,19,24,19,
GCF_003351445.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_003351465.fna.gz,hinfluenzae,9,7,11,6,8,6,16,9,
GCF_003351505.fna.gz,hinfluenzae,70,25,20,24,24,38,34,25,
GCF_003351585.fna.gz,hinfluenzae,56,13,16,5,18,3,11,7,
GCF_003351605.fna.gz,hinfluenzae,7,7,11,6,6,6,16,9,
GCF_003352345.fna.gz,hinfluenzae,-,18,6,3,-,10,28,12,
GCF_003352365.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_003352405.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_003414105.fna.gz,hinfluenzae,986,35,1,22,36,7,58,29,
GCF_003414115.fna.gz,hinfluenzae,1789,6,20,7,66,202,39,43,
GCF_003414125.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003414165.fna.gz,hinfluenzae,238,5,33,7,15,26,77,29,
GCF_003414175.fna.gz,hinfluenzae,921,148,3,58,1,207,2,56,
GCF_003414205.fna.gz,hinfluenzae,1812,6,20,107,15,77,130,43,
GCF_003414215.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_003414225.fna.gz,hinfluenzae,921,148,3,58,1,207,2,56,
GCF_003414235.fna.gz,hinfluenzae,519,26,1,46,1,79,64,23,
GCF_003414285.fna.gz,hinfluenzae,2026,40,1,187,14,1,59,3,
GCF_003414305.fna.gz,hinfluenzae,1069,14,107,1,1,22,1,5,
GCF_003414325.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_003414335.fna.gz,hinfluenzae,932,5,14,7,8,62,156,29,
GCF_003414365.fna.gz,hinfluenzae,2024,1,1,1,14,281,14,5,
GCF_003414385.fna.gz,hinfluenzae,201,33,8,8,16,1,2,3,
GCF_003414395.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003414415.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_003414445.fna.gz,hinfluenzae,519,26,1,46,1,79,64,23,
GCF_003414465.fna.gz,hinfluenzae,519,26,1,46,1,79,64,23,
GCF_003414475.fna.gz,hinfluenzae,474,3,54,65,1,64,78,48,
GCF_003414505.fna.gz,hinfluenzae,2027,68,12,32,55,283,120,125,
GCF_003414515.fna.gz,hinfluenzae,519,26,1,46,1,79,64,23,
GCF_003414545.fna.gz,hinfluenzae,1812,6,20,107,15,77,130,43,
GCF_003414555.fna.gz,hinfluenzae,474,3,54,65,1,64,78,48,
GCF_003414565.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_003414605.fna.gz,hinfluenzae,670,42,2,7,41,17,14,10,
GCF_003414625.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_003414635.fna.gz,hinfluenzae,921,148,3,58,1,207,2,56,
GCF_003414645.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003414655.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003414705.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003414715.fna.gz,hinfluenzae,1230,14,7,13,7,17,13,132,
GCF_003414725.fna.gz,hinfluenzae,670,42,2,7,41,17,14,10,
GCF_003414745.fna.gz,hinfluenzae,2025,35,33,7,15,282,71,10,
GCF_003414785.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003414795.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_003414805.fna.gz,hinfluenzae,986,35,1,22,36,7,58,29,
GCF_003414815.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003414865.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_003414885.fna.gz,hinfluenzae,1812,6,20,107,15,77,130,43,
GCF_003414905.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003414925.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003414945.fna.gz,hinfluenzae,986,35,1,22,36,7,58,29,
GCF_003414955.fna.gz,hinfluenzae,986,35,1,22,36,7,58,29,
GCF_003414965.fna.gz,hinfluenzae,165,44,2,16,37,17,2,3,
GCF_003414995.fna.gz,hinfluenzae,215,1,1,54,14,98,1,5,
GCF_003415025.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415035.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_003415065.fna.gz,hinfluenzae,1066,1,1,1,38,151,207,5,
GCF_003415085.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415095.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415105.fna.gz,hinfluenzae,215,1,1,54,14,98,1,5,
GCF_003415115.fna.gz,hinfluenzae,1813,3,18,53,2,7,40,10,
GCF_003415165.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_003415175.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415195.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_003415205.fna.gz,hinfluenzae,1812,6,20,107,15,77,130,43,
GCF_003415215.fna.gz,hinfluenzae,1812,6,20,107,15,77,130,43,
GCF_003415255.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415275.fna.gz,hinfluenzae,1030,23,3,5,1,166,66,21,
GCF_003415285.fna.gz,hinfluenzae,1066,1,1,1,38,151,207,5,
GCF_003415305.fna.gz,hinfluenzae,272,69,55,10,36,79,82,56,
GCF_003415345.fna.gz,hinfluenzae,272,69,55,10,36,79,82,56,
GCF_003415355.fna.gz,hinfluenzae,2023,132,25,31,103,78,268,18,
GCF_003415385.fna.gz,hinfluenzae,409,1,1,1,14,15,111,5,
GCF_003415395.fna.gz,hinfluenzae,644,1,8,1,14,174,14,13,
GCF_003415415.fna.gz,hinfluenzae,644,1,8,1,14,174,14,13,
GCF_003415425.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003415435.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_003415475.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_003415495.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_003415505.fna.gz,hinfluenzae,996,37,35,57,14,26,14,9,
GCF_003415525.fna.gz,hinfluenzae,2022,63,57,52,13,15,267,21,
GCF_003415565.fna.gz,hinfluenzae,2022,63,57,52,13,15,267,21,
GCF_003415585.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_003425445.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003425465.fna.gz,hinfluenzae,2022,63,57,52,13,15,267,21,
GCF_003425485.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_003425505.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003425525.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_003425565.fna.gz,hinfluenzae,1069,14,107,1,1,22,1,5,
GCF_003425585.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003425605.fna.gz,hinfluenzae,1069,14,107,1,1,22,1,5,
GCF_003425625.fna.gz,hinfluenzae,1789,6,20,7,66,202,39,43,
GCF_003425645.fna.gz,hinfluenzae,474,3,54,65,1,64,78,48,
GCF_003425715.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003425765.fna.gz,hinfluenzae,2022,63,57,52,13,15,267,21,
GCF_003425815.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003425935.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_003425955.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_003458065.fna.gz,hinfluenzae,40,1,3,1,1,31,1,5,
GCF_003490185.fna.gz,hinfluenzae,243,1,1,1,14,59,14,5,
GCF_003490225.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_003490275.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_003490425.fna.gz,hinfluenzae,1445,5,33,7,15,22,77,29,
GCF_003490445.fna.gz,hinfluenzae,1714,26,1,46,1,79,130,23,
GCF_003490605.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_003490645.fna.gz,hinfluenzae,724,10,20,21,5,4,7,8,
GCF_003490705.fna.gz,hinfluenzae,1862,1,1,65,1,67,42,5,
GCF_003490755.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_003490785.fna.gz,hinfluenzae,404,1,1,1,14,49,111,5,
GCF_003490865.fna.gz,hinfluenzae,54,10,14,22,5,4,7,22,
GCF_003490875.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_003490905.fna.gz,hinfluenzae,208,5,33,7,15,16,4,29,
GCF_003490975.fna.gz,hinfluenzae,245,1,24,18,18,27,1,5,
GCF_003491005.fna.gz,hinfluenzae,1708,37,35,57,14,7,183,13,
GCF_003492045.fna.gz,hinfluenzae,95,31,14,4,5,4,7,8,
GCF_003492685.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_003493075.fna.gz,hinfluenzae,1689,17,18,53,2,62,255,34,
GCF_003493105.fna.gz,hinfluenzae,146,11,8,47,7,17,57,41,
GCF_003493205.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003493265.fna.gz,hinfluenzae,84,29,7,13,1,45,13,1,
GCF_003493275.fna.gz,hinfluenzae,1711,5,18,53,15,86,14,23,
GCF_003493305.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_003493335.fna.gz,hinfluenzae,2,14,7,1,15,16,4,1,
GCF_003493375.fna.gz,hinfluenzae,321,28,14,1,1,62,13,1,
GCF_003493385.fna.gz,hinfluenzae,398,1,1,1,14,89,114,37,
GCF_003493435.fna.gz,hinfluenzae,55,10,14,4,5,4,31,8,
GCF_003493485.fna.gz,hinfluenzae,602,5,2,7,1,26,41,29,
GCF_003493525.fna.gz,hinfluenzae,1343,5,33,106,15,87,58,29,
GCF_003493625.fna.gz,hinfluenzae,1717,37,35,57,14,7,183,8,
GCF_003493645.fna.gz,hinfluenzae,41,17,4,17,1,7,12,11,
GCF_003493725.fna.gz,hinfluenzae,637,10,14,5,7,4,12,8,
GCF_003493745.fna.gz,hinfluenzae,836,1,11,18,18,62,1,5,
GCF_003493785.fna.gz,hinfluenzae,176,5,33,7,15,47,58,29,
GCF_003493835.fna.gz,hinfluenzae,1692,5,8,58,14,92,58,29,
GCF_003493895.fna.gz,hinfluenzae,180,1,1,1,1,81,21,5,
GCF_003493945.fna.gz,hinfluenzae,824,105,18,53,2,30,3,34,
GCF_003494005.fna.gz,hinfluenzae,53,10,14,5,7,4,7,8,
GCF_003494135.fna.gz,hinfluenzae,142,1,1,1,35,15,53,38,
GCF_003494225.fna.gz,hinfluenzae,183,14,44,1,1,22,1,5,
GCF_003494245.fna.gz,hinfluenzae,51,7,2,6,6,6,16,9,
GCF_003494295.fna.gz,hinfluenzae,134,1,1,1,14,53,14,13,
GCF_003494325.fna.gz,hinfluenzae,184,45,45,48,9,26,58,18,
GCF_003494345.fna.gz,hinfluenzae,-,7,33,7,-,66,1,29,
GCF_003494415.fna.gz,hinfluenzae,-,14,7,16,-,46,21,1,
GCF_003494495.fna.gz,hinfluenzae,119,10,14,4,5,4,47,8,
GCF_003494585.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_003494595.fna.gz,hinfluenzae,395,14,51,16,48,15,2,31,
GCF_003494725.fna.gz,hinfluenzae,1690,137,11,104,11,217,5,42,
GCF_003494745.fna.gz,hinfluenzae,1870,7,11,6,134,6,10,10,
GCF_003494765.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_003494785.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_003494815.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_003495765.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_003496545.fna.gz,hinfluenzae,436,40,1,1,10,15,1,5,
GCF_003496775.fna.gz,hinfluenzae,1148,63,54,102,7,11,31,10,
GCF_003496805.fna.gz,hinfluenzae,121,18,6,3,10,10,28,14,
GCF_003496895.fna.gz,hinfluenzae,385,95,54,12,7,30,13,48,
GCF_003496925.fna.gz,hinfluenzae,1759,43,2,132,36,7,38,104,
GCF_003496945.fna.gz,hinfluenzae,386,18,6,3,14,10,28,12,
GCF_003496965.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_003496985.fna.gz,hinfluenzae,117,10,14,4,3,4,7,8,
GCF_003497005.fna.gz,hinfluenzae,1756,40,20,23,18,33,29,152,
GCF_003497025.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_003497045.fna.gz,hinfluenzae,205,40,1,1,14,61,69,5,
GCF_003497065.fna.gz,hinfluenzae,431,5,33,7,15,142,117,29,
GCF_003691635.fna.gz,hinfluenzae,1025,6,20,107,15,77,8,43,
GCF_003691655.fna.gz,hinfluenzae,670,42,2,7,41,17,14,10,
GCF_004153235.fna.gz,hinfluenzae,267,1,6,1,1,1,83,5,
GCF_004327565.fna.gz,hinfluenzae,1860,10,2,15,8,26,26,3,
GCF_004801985.fna.gz,hinfluenzae,1908,14,7,193,30,1,21,1,
GCF_004801995.fna.gz,hinfluenzae,776,5,33,7,15,87,130,29,
GCF_004802005.fna.gz,hinfluenzae,1908,14,7,193,30,1,21,1,
GCF_004802015.fna.gz,hinfluenzae,1906,63,54,57,73,17,157,10,
GCF_004802065.fna.gz,hinfluenzae,1907,71,84,111,1,290,161,100,
GCF_004802075.fna.gz,hinfluenzae,1909,26,60,32,7,289,279,21,
GCF_004802085.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_004802095.fna.gz,hinfluenzae,1909,26,60,32,7,289,279,21,
GCF_004802145.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_004802155.fna.gz,hinfluenzae,1221,63,32,7,18,46,74,29,
GCF_004802165.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_004802205.fna.gz,hinfluenzae,200,42,8,7,41,17,14,10,
GCF_004802225.fna.gz,hinfluenzae,1221,63,32,7,18,46,74,29,
GCF_004802235.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_004802265.fna.gz,hinfluenzae,776,5,33,7,15,87,130,29,
GCF_004802285.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_004802295.fna.gz,hinfluenzae,1910,40,3,38,1,17,40,21,
GCF_004802305.fna.gz,hinfluenzae,1910,40,3,38,1,17,40,21,
GCF_004802355.fna.gz,hinfluenzae,1479,6,34,169,5,252,44,1,
GCF_004802365.fna.gz,hinfluenzae,1479,6,34,169,5,252,44,1,
GCF_004802395.fna.gz,hinfluenzae,1906,63,54,57,73,17,157,10,
GCF_004802405.fna.gz,hinfluenzae,1907,71,84,111,1,290,161,100,
GCF_004802435.fna.gz,hinfluenzae,200,42,8,7,41,17,14,10,
GCF_004802445.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_005888175.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_005888185.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_005888195.fna.gz,hinfluenzae,72,25,20,28,14,40,34,25,
GCF_005888205.fna.gz,hinfluenzae,-,-,26,24,21,36,33,21,
GCF_005888215.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_005888265.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_007896915.fna.gz,hinfluenzae,119,10,14,4,5,4,47,8,
GCF_007896985.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_007896995.fna.gz,hinfluenzae,411,14,7,13,30,1,21,1,
GCF_007897005.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_007897025.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_007897045.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_007897085.fna.gz,hinfluenzae,836,1,11,18,18,62,1,5,
GCF_007897105.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_007897115.fna.gz,hinfluenzae,1282,33,8,16,16,111,2,29,
GCF_007897125.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_007897155.fna.gz,hinfluenzae,422,14,7,1,30,1,21,1,
GCF_007897175.fna.gz,hinfluenzae,367,1,1,1,1,67,1,5,
GCF_008586745.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_008586805.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_008586825.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_008831525.fna.gz,hinfluenzae,43,1,22,19,19,32,17,2,
GCF_010367335.fna.gz,hinfluenzae,422,14,7,1,30,1,21,1,
GCF_010603795.fna.gz,hinfluenzae,-,132,1,38,-,60,44,5,
GCF_010603865.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_010603885.fna.gz,hinfluenzae,146,11,8,47,7,17,57,41,
GCF_010603905.fna.gz,hinfluenzae,836,1,11,18,18,62,1,5,
GCF_010603975.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_010604045.fna.gz,hinfluenzae,new_ST,6,20,41,40,88,14,43,
GCF_010604085.fna.gz,hinfluenzae,176,5,33,7,15,47,58,29,
GCF_012103175.fna.gz,hinfluenzae,56,13,16,5,18,3,11,7,
GCF_012103225.fna.gz,hinfluenzae,62,21,12,9,7,19,24,19,
GCF_013394405.fna.gz,hinfluenzae,422,14,7,1,30,1,21,1,
GCF_013402015.fna.gz,hinfluenzae,-,~150,83,229,-,111,145,165,
GCF_014701215.fna.gz,hinfluenzae,1511,13,16,5,18,46,11,7,
GCF_014762515.fna.gz,hinfluenzae,23,13,16,5,2,3,11,7,
GCF_014931495.fna.gz,hinfluenzae,new_ST,60,20,19,19,45,215,2,
GCF_014982365.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_015694745.fna.gz,hinfluenzae,2380,98,2,70,15,310,158,4,
GCF_015712075.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_016535385.fna.gz,hinfluenzae,44,10,14,4,3,4,3,8,
GCF_016861285.fna.gz,hinfluenzae,56,13,16,5,18,3,11,7,
GCF_017871695.fna.gz,hinfluenzae,160,40,1,1,14,1,59,3,
GCF_017871715.fna.gz,hinfluenzae,2330,33,8,19,16,49,2,3,
GCF_017871735.fna.gz,hinfluenzae,2332,1,11,13,18,17,1,5,
GCF_017871745.fna.gz,hinfluenzae,2333,151,77,53,8,210,41,34,
GCF_900017145.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900017155.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_900020195.fna.gz,hinfluenzae,190,10,14,4,5,85,7,8,
GCF_900022475.fna.gz,hinfluenzae,1,1,1,1,14,15,1,5,
GCF_900022485.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_900022495.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900022505.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_900022515.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900022525.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900026975.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_900026985.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900026995.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900027005.fna.gz,hinfluenzae,389,1,1,44,14,61,112,5,
GCF_900027015.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900029195.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900029205.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_900029335.fna.gz,hinfluenzae,266,3,18,53,15,86,14,23,
GCF_900029875.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900031505.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900032115.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_900034905.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_900034915.fna.gz,hinfluenzae,389,1,1,44,14,61,112,5,
GCF_900034925.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_900034935.fna.gz,hinfluenzae,914,1,1,1,14,89,127,37,
GCF_900034945.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900035255.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_900035265.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900035275.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_900035285.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_900035295.fna.gz,hinfluenzae,266,3,18,53,15,86,14,23,
GCF_900035525.fna.gz,hinfluenzae,914,1,1,1,14,89,127,37,
GCF_900035535.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_900036645.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900037345.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_900038065.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_900039575.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_900041425.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900044685.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_900044695.fna.gz,hinfluenzae,190,10,14,4,5,85,7,8,
GCF_900044735.fna.gz,hinfluenzae,1,1,1,1,14,15,1,5,
GCF_900407345.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_900407355.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407365.fna.gz,hinfluenzae,1145,37,35,57,14,202,183,13,
GCF_900407375.fna.gz,hinfluenzae,1148,63,54,102,7,11,31,10,
GCF_900407385.fna.gz,hinfluenzae,10,5,15,10,9,8,5,11,
GCF_900407395.fna.gz,hinfluenzae,425,39,8,35,11,65,48,19,
GCF_900407405.fna.gz,hinfluenzae,1150,1,1,1,1,227,1,5,
GCF_900407415.fna.gz,hinfluenzae,1813,3,18,53,2,7,40,10,
GCF_900407425.fna.gz,hinfluenzae,249,26,17,8,1,78,57,50,
GCF_900407435.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_900407445.fna.gz,hinfluenzae,23,13,16,5,2,3,11,7,
GCF_900407455.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407465.fna.gz,hinfluenzae,165,44,2,16,37,17,2,3,
GCF_900407475.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_900407485.fna.gz,hinfluenzae,485,33,8,16,16,78,2,3,
GCF_900407495.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_900407505.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900407515.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_900407525.fna.gz,hinfluenzae,190,10,14,4,5,85,7,8,
GCF_900407535.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_900407545.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_900407555.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_900407565.fna.gz,hinfluenzae,18,18,6,3,7,10,28,12,
GCF_900407575.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_900407585.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407595.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_900407605.fna.gz,hinfluenzae,1828,13,16,5,2,3,11,154,
GCF_900407615.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_900407625.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407635.fna.gz,hinfluenzae,567,105,18,53,14,7,3,34,
GCF_900407645.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_900407655.fna.gz,hinfluenzae,1829,3,18,53,15,86,13,23,
GCF_900407665.fna.gz,hinfluenzae,276,5,8,58,14,71,13,29,
GCF_900407675.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_900407685.fna.gz,hinfluenzae,1147,4,110,71,4,7,57,35,
GCF_900407695.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407705.fna.gz,hinfluenzae,1830,39,8,35,11,65,21,19,
GCF_900407715.fna.gz,hinfluenzae,1426,40,3,38,1,35,40,21,
GCF_900407725.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407735.fna.gz,hinfluenzae,1218,33,8,16,16,17,2,127,
GCF_900407745.fna.gz,hinfluenzae,1147,4,110,71,4,7,57,35,
GCF_900407755.fna.gz,hinfluenzae,160,40,1,1,14,1,59,3,
GCF_900407765.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_900407775.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_900407785.fna.gz,hinfluenzae,836,1,11,18,18,62,1,5,
GCF_900407795.fna.gz,hinfluenzae,160,40,1,1,14,1,59,3,
GCF_900407805.fna.gz,hinfluenzae,1831,26,137,121,7,35,270,21,
GCF_900407815.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407825.fna.gz,hinfluenzae,474,3,54,65,1,64,78,48,
GCF_900407835.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407845.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407855.fna.gz,hinfluenzae,1832,42,2,23,41,46,55,10,
