Genome,Scheme,ST,dnaE,gyrB,recA,dtdS,pntA,pyrC,tnaA,clonal_complex
GCF_001006105.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001006115.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001006125.fna.gz,vparahaemolyticus,141,31,115,22,12,3,91,68,no
GCF_001006185.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001006195.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001006205.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001007525.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001007535.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001007545.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001011015.fna.gz,vparahaemolyticus,1,5,52,27,13,17,25,10,no
GCF_001013435.fna.gz,vparahaemolyticus,new_alleles,6,414,384,27,23,37,~6,
GCF_001023055.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001023105.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001023125.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_001023155.fna.gz,vparahaemolyticus,1127,60,106,25,358,203,50,99,
GCF_001188035.fna.gz,vparahaemolyticus,59,36,15,1,25,23,21,16,36
GCF_001188135.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_001188185.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001244315.fna.gz,vparahaemolyticus,984,49,209,249,50,112,37,23,no
GCF_001267555.fna.gz,vparahaemolyticus,88,11,48,43,48,26,48,26,345
GCF_001267595.fna.gz,vparahaemolyticus,new_alleles,10,~442,~67,139,~41,82,47,
GCF_001267625.fna.gz,vparahaemolyticus,1134,137,212,19,139,129,46,14,no
GCF_001267635.fna.gz,vparahaemolyticus,1134,137,212,19,139,129,46,14,no
GCF_001267655.fna.gz,vparahaemolyticus,1346,42,248,19,76,127,46,69,no
GCF_001267965.fna.gz,vparahaemolyticus,137,31,4,91,69,26,90,23,no
GCF_001268005.fna.gz,vparahaemolyticus,1187,247,360,113,324,54,3,2,no
GCF_001268015.fna.gz,vparahaemolyticus,1516,80,82,80,74,4,67,61,no
GCF_001270125.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_001270145.fna.gz,vparahaemolyticus,1134,137,212,19,139,129,46,14,no
GCF_001270215.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001270235.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_001270285.fna.gz,vparahaemolyticus,new_alleles,210,~559,77,84,37,46,23,
GCF_001270815.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001270825.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001270885.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001270895.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001270905.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001270975.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001273555.fna.gz,vparahaemolyticus,1663,1,472,344,27,26,379,225,no
GCF_001273575.fna.gz,vparahaemolyticus,1518,2,108,86,82,18,62,51,120
GCF_001273635.fna.gz,vparahaemolyticus,102,17,19,13,36,33,24,20,24
GCF_001280635.fna.gz,vparahaemolyticus,1631,27,16,13,157,33,287,2,no
GCF_001280645.fna.gz,vparahaemolyticus,1632,340,462,71,403,26,375,251,no
GCF_001280655.fna.gz,vparahaemolyticus,324,20,25,15,13,7,3,5,34
GCF_001304775.fna.gz,vparahaemolyticus,1630,31,106,135,402,37,212,54,no
GCF_001433415.fna.gz,vparahaemolyticus,1628,111,320,22,34,20,21,24,no
GCF_001471485.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001497485.fna.gz,vparahaemolyticus,1052,3,147,15,348,47,177,13,
GCF_001541615.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001541625.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001558495.fna.gz,vparahaemolyticus,1,5,52,27,13,17,25,10,no
GCF_001559805.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001559885.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001559895.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001584415.fna.gz,vparahaemolyticus,141,31,115,22,12,3,91,68,no
GCF_001595565.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001595575.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001601695.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001608505.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001608525.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001608545.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608575.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001608595.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608605.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001608615.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608655.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608675.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608685.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608705.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001608735.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001608755.fna.gz,vparahaemolyticus,15,12,34,25,32,19,12,26,no
GCF_001608765.fna.gz,vparahaemolyticus,324,20,25,15,13,7,3,5,34
GCF_001608785.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001608815.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_001608835.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001608855.fna.gz,vparahaemolyticus,635,48,5,41,261,140,7,108,no
GCF_001608865.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608895.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608915.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001608935.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001608945.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_001608975.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001608995.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001609015.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001609025.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001609055.fna.gz,vparahaemolyticus,638,42,75,64,67,26,237,50,155
GCF_001609075.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609095.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609105.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001609135.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001609155.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001609175.fna.gz,vparahaemolyticus,1060,224,90,273,19,4,238,68,
GCF_001609185.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001609345.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001609375.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001609395.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609415.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609435.fna.gz,vparahaemolyticus,199,22,28,17,13,8,19,14,no
GCF_001609445.fna.gz,vparahaemolyticus,1060,224,90,273,19,4,238,68,
GCF_001609475.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001609495.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609515.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609525.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001609555.fna.gz,vparahaemolyticus,629,71,50,192,132,69,127,24,no
GCF_001609575.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_001609595.fna.gz,vparahaemolyticus,-,3,4,19,4,-,4,22,
GCF_001609615.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001609635.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609655.fna.gz,vparahaemolyticus,332,14,30,141,78,4,37,13,no
GCF_001609675.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609695.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001609715.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_001610595.fna.gz,vparahaemolyticus,630,19,17,21,260,24,23,24,no
GCF_001633825.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633835.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633845.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633855.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633905.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633915.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633935.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633955.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633985.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001633995.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634015.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634035.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634105.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634125.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634135.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634165.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634185.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634205.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634215.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001634245.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_001636035.fna.gz,vparahaemolyticus,1629,225,104,226,201,50,250,17,no
GCF_001682175.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001695935.fna.gz,vparahaemolyticus,52,30,32,23,20,2,13,11,no
GCF_001695945.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001695955.fna.gz,vparahaemolyticus,17,13,10,19,27,28,27,21,no
GCF_001695995.fna.gz,vparahaemolyticus,17,13,10,19,27,28,27,21,no
GCF_001696005.fna.gz,vparahaemolyticus,new_alleles,24,22,18,~306,18,11,8,
GCF_001696015.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001696055.fna.gz,vparahaemolyticus,19,15,11,30,10,1,3,9,no
GCF_001696065.fna.gz,vparahaemolyticus,12,9,21,15,13,4,10,26,no
GCF_001696085.fna.gz,vparahaemolyticus,61,37,14,14,9,14,34,26,no
GCF_001696115.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001696135.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001696145.fna.gz,vparahaemolyticus,58,35,20,31,29,23,6,27,no
GCF_001696155.fna.gz,vparahaemolyticus,12,9,21,15,13,4,10,26,no
GCF_001696165.fna.gz,vparahaemolyticus,58,35,20,31,29,23,6,27,no
GCF_001696215.fna.gz,vparahaemolyticus,9,6,6,3,17,11,35,26,no
GCF_001696225.fna.gz,vparahaemolyticus,20,16,33,32,36,13,11,19,no
GCF_001700835.fna.gz,vparahaemolyticus,395,169,104,151,73,26,46,94,no
GCF_001704915.fna.gz,vparahaemolyticus,1556,26,460,13,398,95,287,2,no
GCF_001707995.fna.gz,vparahaemolyticus,1579,57,176,338,13,31,11,2,no
GCF_001720365.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001726165.fna.gz,vparahaemolyticus,1133,214,329,30,19,26,69,26,no
GCF_001726175.fna.gz,vparahaemolyticus,313,142,29,10,7,4,24,20,412
GCF_001726185.fna.gz,vparahaemolyticus,1134,137,212,19,139,129,46,14,no
GCF_001726195.fna.gz,vparahaemolyticus,1134,137,212,19,139,129,46,14,no
GCF_001726245.fna.gz,vparahaemolyticus,32,20,25,15,6,7,11,4,34
GCF_001726255.fna.gz,vparahaemolyticus,732,241,330,205,253,28,22,188,no
GCF_001726265.fna.gz,vparahaemolyticus,1133,214,329,30,19,26,69,26,no
GCF_001726275.fna.gz,vparahaemolyticus,536,14,30,49,11,49,11,13,no
GCF_001726325.fna.gz,vparahaemolyticus,734,235,22,25,273,164,254,20,no
GCF_001726335.fna.gz,vparahaemolyticus,32,20,25,15,6,7,11,4,34
GCF_001726345.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_001726355.fna.gz,vparahaemolyticus,12,9,21,15,13,4,10,26,no
GCF_001726405.fna.gz,vparahaemolyticus,23,17,16,13,36,15,31,26,no
GCF_001726415.fna.gz,vparahaemolyticus,23,17,16,13,36,15,31,26,no
GCF_001726435.fna.gz,vparahaemolyticus,28,17,16,13,7,24,16,20,no
GCF_001726445.fna.gz,vparahaemolyticus,1142,26,118,13,321,33,32,155,no
GCF_001726485.fna.gz,vparahaemolyticus,1155,17,323,6,23,171,29,155,no
GCF_001726495.fna.gz,vparahaemolyticus,61,37,14,14,9,14,34,26,no
GCF_001726515.fna.gz,vparahaemolyticus,32,20,25,15,6,7,11,4,34
GCF_001726535.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_001726565.fna.gz,vparahaemolyticus,735,4,13,11,38,18,46,23,no
GCF_001726575.fna.gz,vparahaemolyticus,735,4,13,11,38,18,46,23,no
GCF_001726595.fna.gz,vparahaemolyticus,735,4,13,11,38,18,46,23,no
GCF_001726615.fna.gz,vparahaemolyticus,735,4,13,11,38,18,46,23,no
GCF_001726645.fna.gz,vparahaemolyticus,1148,293,16,13,57,24,16,20,no
GCF_001726655.fna.gz,vparahaemolyticus,735,4,13,11,38,18,46,23,no
GCF_001726685.fna.gz,vparahaemolyticus,113,63,62,25,54,4,56,45,no
GCF_001726695.fna.gz,vparahaemolyticus,1135,63,326,231,191,48,120,24,no
GCF_001726725.fna.gz,vparahaemolyticus,1136,31,327,13,157,14,3,20,no
GCF_001726735.fna.gz,vparahaemolyticus,-,19,295,-,223,136,11,13,
GCF_001726755.fna.gz,vparahaemolyticus,1150,56,16,237,362,33,59,20,no
GCF_001726775.fna.gz,vparahaemolyticus,108,26,58,53,19,28,9,26,no
GCF_001726805.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_001726815.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_001726845.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_001726855.fna.gz,vparahaemolyticus,320,145,177,140,158,4,132,104,no
GCF_001726885.fna.gz,vparahaemolyticus,737,45,336,143,7,171,255,36,no
GCF_001726895.fna.gz,vparahaemolyticus,320,145,177,140,158,4,132,104,no
GCF_001726915.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001726935.fna.gz,vparahaemolyticus,1152,3,16,192,363,206,335,2,no
GCF_001726965.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001726975.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001726985.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001727025.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001727045.fna.gz,vparahaemolyticus,739,17,331,235,23,33,137,94,no
GCF_001727055.fna.gz,vparahaemolyticus,1151,47,328,299,13,2,256,23,no
GCF_001727065.fna.gz,vparahaemolyticus,1152,3,16,192,363,206,335,2,no
GCF_001727105.fna.gz,vparahaemolyticus,1146,36,285,292,250,26,227,26,no
GCF_001727115.fna.gz,vparahaemolyticus,1153,49,16,13,364,33,31,2,no
GCF_001727125.fna.gz,vparahaemolyticus,1141,51,57,75,353,45,78,231,no
GCF_001727155.fna.gz,vparahaemolyticus,741,26,16,41,224,31,32,23,no
GCF_001727185.fna.gz,vparahaemolyticus,775,31,16,13,36,33,11,19,no
GCF_001727195.fna.gz,vparahaemolyticus,775,31,16,13,36,33,11,19,no
GCF_001727205.fna.gz,vparahaemolyticus,775,31,16,13,36,33,11,19,no
GCF_001727245.fna.gz,vparahaemolyticus,1149,59,417,95,361,14,32,232,no
GCF_001727265.fna.gz,vparahaemolyticus,743,17,64,137,60,94,11,51,no
GCF_001727275.fna.gz,vparahaemolyticus,1149,59,417,95,361,14,32,232,no
GCF_001727295.fna.gz,vparahaemolyticus,1149,59,417,95,361,14,32,232,no
GCF_001727305.fna.gz,vparahaemolyticus,313,142,29,10,7,4,24,20,412
GCF_001727345.fna.gz,vparahaemolyticus,313,142,29,10,7,4,24,20,412
GCF_001727365.fna.gz,vparahaemolyticus,744,31,82,236,35,23,26,51,no
GCF_001727385.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727395.fna.gz,vparahaemolyticus,1132,56,16,13,286,14,11,19,no
GCF_001727405.fna.gz,vparahaemolyticus,1132,56,16,13,286,14,11,19,no
GCF_001727415.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_001727465.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_001727475.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_001727485.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727505.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_001727545.fna.gz,vparahaemolyticus,-,19,217,89,175,-,62,51,
GCF_001727565.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727575.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727585.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727625.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727645.fna.gz,vparahaemolyticus,199,22,28,17,13,8,19,14,no
GCF_001727655.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_001727665.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727705.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_001727725.fna.gz,vparahaemolyticus,799,28,4,82,88,63,187,1,799
GCF_001727735.fna.gz,vparahaemolyticus,1143,10,323,296,15,14,160,2,no
GCF_001727745.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_001727775.fna.gz,vparahaemolyticus,1150,56,16,237,362,33,59,20,no
GCF_001727805.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_001727815.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001727825.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001727845.fna.gz,vparahaemolyticus,809,215,344,144,76,48,232,26,no
GCF_001727885.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727895.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001727915.fna.gz,vparahaemolyticus,new_ST,291,177,418,125,18,175,26,
GCF_001727925.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_001727965.fna.gz,vparahaemolyticus,1156,294,39,300,167,106,11,26,no
GCF_001727975.fna.gz,vparahaemolyticus,new_ST,291,177,418,125,18,175,26,
GCF_001727995.fna.gz,vparahaemolyticus,1144,3,53,297,13,50,334,187,no
GCF_001728005.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001728045.fna.gz,vparahaemolyticus,79,35,43,38,21,31,35,37,no
GCF_001728065.fna.gz,vparahaemolyticus,79,35,43,38,21,31,35,37,no
GCF_001728085.fna.gz,vparahaemolyticus,283,27,84,127,139,54,124,37,no
GCF_001728095.fna.gz,vparahaemolyticus,-,19,4,-,19,74,214,24,
GCF_001728125.fna.gz,vparahaemolyticus,748,17,327,13,8,172,32,181,no
GCF_001728135.fna.gz,vparahaemolyticus,749,5,71,238,162,26,11,107,no
GCF_001728155.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001728175.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001728205.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001728215.fna.gz,vparahaemolyticus,1147,292,154,25,50,73,35,23,no
GCF_001728235.fna.gz,vparahaemolyticus,1147,292,154,25,50,73,35,23,no
GCF_001728255.fna.gz,vparahaemolyticus,775,31,16,13,36,33,11,19,no
GCF_001728275.fna.gz,vparahaemolyticus,750,17,57,52,285,44,28,36,110
GCF_001728295.fna.gz,vparahaemolyticus,749,5,71,238,162,26,11,107,no
GCF_001728325.fna.gz,vparahaemolyticus,1131,17,323,3,19,21,32,20,no
GCF_001728335.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001728345.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_001728375.fna.gz,vparahaemolyticus,1713,12,275,62,27,125,5,154,no
GCF_001728405.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728415.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728425.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001728465.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728485.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728495.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_001728505.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728545.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728565.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_001728575.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_001728585.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728625.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001728645.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_001728655.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_001728665.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_001728695.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728725.fna.gz,vparahaemolyticus,1145,158,131,298,287,128,43,189,no
GCF_001728745.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_001728755.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_001758605.fna.gz,vparahaemolyticus,2015,67,522,31,70,47,436,17,no
GCF_001856035.fna.gz,vparahaemolyticus,2455,19,4,89,19,74,214,24,no
GCF_001856105.fna.gz,vparahaemolyticus,new_ST,291,177,418,125,18,175,26,
GCF_001879585.fna.gz,vparahaemolyticus,233,109,136,114,121,83,107,83,no
GCF_001887055.fna.gz,vparahaemolyticus,984,49,209,249,50,112,37,23,no
GCF_001895345.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895355.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895365.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_001895425.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895435.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895445.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895465.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895505.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_001895515.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895525.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895535.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_001895585.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895595.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895615.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895635.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895665.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895685.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895695.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001895705.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001895745.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_001901565.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001913695.fna.gz,vparahaemolyticus,-,35,138,-,116,80,3,57,
GCF_001913735.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001913745.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_001913775.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_001913785.fna.gz,vparahaemolyticus,2408,83,188,44,117,26,3,1,no
