Genome,Scheme,ST,atpD,gapA,guaA,mutM,nuoD,ppsA,recA,clonal_complex
GCF_010586845.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_010587145.fna.gz,smaltophilia,new_alleles,13,27,~235,23,30,29,22,
GCF_010587205.fna.gz,smaltophilia,new_alleles,13,27,~235,23,30,29,22,
GCF_010587285.fna.gz,smaltophilia,39,21,26,33,9,29,2,15,
GCF_010587505.fna.gz,smaltophilia,199,92,4,141,4,99,20,19,
GCF_010587515.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_010587625.fna.gz,smaltophilia,-,~69,~163,~450,-,~16,~116,~161,
GCF_010587645.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_010587795.fna.gz,smaltophilia,354,1,4,7,46,28,80,58,
GCF_010587825.fna.gz,smaltophilia,172,5,94,122,79,70,105,85,
GCF_010587945.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_010604265.fna.gz,smaltophilia,28,4,3,2,5,9,6,9,
GCF_010604305.fna.gz,smaltophilia,new_alleles,65,~139,~262,18,64,~129,20,
GCF_010604335.fna.gz,smaltophilia,224,93,100,93,59,63,69,94,
GCF_010604425.fna.gz,smaltophilia,18,20,25,11,17,4,2,2,
GCF_010604485.fna.gz,smaltophilia,new_alleles,84|84,~72,~217,~140,~20,~219,18,
GCF_010604525.fna.gz,smaltophilia,new_ST,107,20,181,109,66,141,3,
GCF_010604535.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_010604545.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_010604635.fna.gz,smaltophilia,new_ST,5,3,2,5,70,221,9,
GCF_010604685.fna.gz,smaltophilia,new_ST,5,3,2,5,70,221,9,
GCF_010604695.fna.gz,smaltophilia,new_alleles,2,141,233,80,~63,68,~5,
GCF_010604725.fna.gz,smaltophilia,new_alleles,79,~118,~302,~71,107,~96,~77,
GCF_010604955.fna.gz,smaltophilia,125,21,26,98,63,75,2,15,
GCF_010604995.fna.gz,smaltophilia,84,3,1,82,3,25,4,62,
GCF_010605045.fna.gz,smaltophilia,84,3,1,82,3,25,4,62,
GCF_010605085.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_010605095.fna.gz,smaltophilia,new_alleles,26,14,~386,28,3,8,11,
GCF_010605125.fna.gz,smaltophilia,new_alleles,78,145,~487,70,72,~222,79,
GCF_010605135.fna.gz,smaltophilia,new_alleles,4,76,291,~5,70,113,9,
GCF_010605185.fna.gz,smaltophilia,183,90,97,129,84,91,112,88,
GCF_010607405.fna.gz,smaltophilia,new_alleles,12,69,333|333,~23,30,~206,22,
GCF_010607585.fna.gz,smaltophilia,new_ST,108,66,76,45,63,69,57,
GCF_010607605.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_010607635.fna.gz,smaltophilia,152,86,93,121,78,87,104,84,
GCF_010607735.fna.gz,smaltophilia,new_alleles,1,4,~341,3,28,~38,58,
GCF_010607825.fna.gz,smaltophilia,new_alleles,154,~34,~387,~205,~179,~195,~208,
GCF_010607835.fna.gz,smaltophilia,87,69,26,85,52,4,2,15,
GCF_010607965.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
GCF_010608015.fna.gz,smaltophilia,new_alleles,4,76,291,~5,70,113,9,
GCF_010608115.fna.gz,smaltophilia,210,26,115,157,101,110,135,111,
GCF_010608135.fna.gz,smaltophilia,172,5,94,122,79,70,105,85,
GCF_010608365.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_010608375.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_010608405.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_010608565.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_010608595.fna.gz,smaltophilia,162,1,1,4,3,6,4,1,
GCF_010608665.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_010608865.fna.gz,smaltophilia,new_alleles,1,1,4,1,6,4,~1,
GCF_010608905.fna.gz,smaltophilia,199,92,4,141,4,99,20,19,
GCF_010608915.fna.gz,smaltophilia,new_alleles,2,65,~386,80,63,68,~130,
GCF_010609005.fna.gz,smaltophilia,new_alleles,~143,69,~10,~61,30,~155,22,
GCF_010609185.fna.gz,smaltophilia,new_alleles,~105,~112,~334,~159,~162,~193,~129,
GCF_010609205.fna.gz,smaltophilia,new_alleles,120,8,~432,126,154,~167,131,
GCF_010609245.fna.gz,smaltophilia,39,21,26,33,9,29,2,15,
GCF_010609345.fna.gz,smaltophilia,215,14,108,152,95,103,125,71,
GCF_010609445.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_010609485.fna.gz,smaltophilia,208,4,76,155,5,70,84,9,
GCF_010612525.fna.gz,smaltophilia,new_alleles,4,~193,4,190,70,6,1,
GCF_010994075.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_010994225.fna.gz,smaltophilia,new_alleles,91,~124,~467,~112,~72,172,~198,
GCF_011067225.fna.gz,smaltophilia,new_alleles,~136,~42,~349,~221,~55,~253,~37,
GCF_011386925.fna.gz,smaltophilia,new_alleles,3,4,~402,~3,25,83,6,
GCF_012647025.fna.gz,smaltophilia,131,5,83,104,51,79,80,73,
GCF_012956725.fna.gz,smaltophilia,new_alleles,2,~216,~138,~45,63,~168,128,
GCF_012956765.fna.gz,smaltophilia,new_alleles,2,~216,~138,~45,63,~168,128,
GCF_012971765.fna.gz,smaltophilia,371,5,162,289,158,25,116,103,
GCF_013004645.fna.gz,smaltophilia,54,44,44,53,9,46,48,39,
GCF_013184035.fna.gz,smaltophilia,383,144,151,322,167,18,200,87,
GCF_013184045.fna.gz,smaltophilia,407,13,27,334,174,155,29,22,
GCF_013184055.fna.gz,smaltophilia,383,144,151,322,167,18,200,87,
GCF_013184065.fna.gz,smaltophilia,379,143,168,319,70,72,201,163,
GCF_013184135.fna.gz,smaltophilia,391,1,1,326,3,6,4,1,
GCF_013184165.fna.gz,smaltophilia,385,145,28,323,168,152,143,164,
GCF_013184175.fna.gz,smaltophilia,401,83,104,117,36,25,108,159,
GCF_013184205.fna.gz,smaltophilia,385,145,28,323,168,152,143,164,
GCF_013282585.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_013345715.fna.gz,smaltophilia,119,4,76,92,5,70,84,9,
GCF_013463455.fna.gz,smaltophilia,129,75,81,102,37,78,39,36,
GCF_013463465.fna.gz,smaltophilia,134,11,75,107,61,82,31,22,
GCF_013463485.fna.gz,smaltophilia,127,14,91,100,64,77,90,71,
GCF_013463495.fna.gz,smaltophilia,121,72,77,94,60,71,85,67,
GCF_013463535.fna.gz,smaltophilia,134,11,75,107,61,82,31,22,
GCF_013463565.fna.gz,smaltophilia,122,73,78,95,61,72,86,68,
GCF_013463585.fna.gz,smaltophilia,122,73,78,95,61,72,86,68,
GCF_013463595.fna.gz,smaltophilia,122,73,78,95,61,72,86,68,
GCF_013463605.fna.gz,smaltophilia,135,78,86,108,70,83,95,76,
GCF_013463655.fna.gz,smaltophilia,new_alleles,81,89,~324,73,72,98,79,
GCF_013463675.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013463685.fna.gz,smaltophilia,143,13,90,113,74,6,99,80,
GCF_013463715.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013463725.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013463755.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013463775.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013463785.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013463795.fna.gz,smaltophilia,123,2,2,96,59,73,87,69,
GCF_013463805.fna.gz,smaltophilia,10,6,18,27,18,21,9,20,
GCF_013463855.fna.gz,smaltophilia,126,6,18,99,18,76,89,20,
GCF_013463875.fna.gz,smaltophilia,128,16,80,101,65,20,91,72,
GCF_013463885.fna.gz,smaltophilia,126,6,18,99,18,76,89,20,
GCF_013463895.fna.gz,smaltophilia,141,80,88,112,72,20,97,78,
GCF_013463915.fna.gz,smaltophilia,337,88,9,137,87,86,9,83,
GCF_013463955.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013463975.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013463995.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464005.fna.gz,smaltophilia,87,69,26,85,52,4,2,15,
GCF_013464035.fna.gz,smaltophilia,125,21,26,98,63,75,2,15,
GCF_013464045.fna.gz,smaltophilia,87,69,26,85,52,4,2,15,
GCF_013464065.fna.gz,smaltophilia,136,79,87,109,71,84,96,77,
GCF_013464095.fna.gz,smaltophilia,136,79,87,109,71,84,96,77,
GCF_013464105.fna.gz,smaltophilia,136,79,87,109,71,84,96,77,
GCF_013464125.fna.gz,smaltophilia,130,19,82,103,66,5,92,4,
GCF_013464155.fna.gz,smaltophilia,137,1,1,4,1,1,1,1,
GCF_013464165.fna.gz,smaltophilia,138,4,22,82,5,70,6,1,
GCF_013464195.fna.gz,smaltophilia,120,3,4,18,3,7,20,66,
GCF_013464205.fna.gz,smaltophilia,84,3,1,82,3,25,4,62,
GCF_013464215.fna.gz,smaltophilia,140,4,22,111,5,70,6,9,
GCF_013464255.fna.gz,smaltophilia,96,3,4,43,3,7,20,1,
GCF_013464265.fna.gz,smaltophilia,8,3,4,18,3,7,20,1,
GCF_013464295.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_013464305.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_013464315.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_013464355.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_013464365.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_013464395.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_013464405.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_013464415.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_013464455.fna.gz,smaltophilia,80,65,18,78,18,64,72,20,
GCF_013464475.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464485.fna.gz,smaltophilia,81,66,68,79,48,65,73,60,
GCF_013464495.fna.gz,smaltophilia,79,26,67,77,47,3,71,59,
GCF_013464525.fna.gz,smaltophilia,78,1,4,18,46,8,70,58,
GCF_013464555.fna.gz,smaltophilia,131,5,83,104,51,79,80,73,
GCF_013464575.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013464585.fna.gz,smaltophilia,76,2,65,75,45,62,68,5,
GCF_013464595.fna.gz,smaltophilia,134,11,75,107,61,82,31,22,
GCF_013464605.fna.gz,smaltophilia,134,11,75,107,61,82,31,22,
GCF_013464645.fna.gz,smaltophilia,135,78,86,108,70,83,95,76,
GCF_013464675.fna.gz,smaltophilia,135,78,86,108,70,83,95,76,
GCF_013464685.fna.gz,smaltophilia,135,78,86,108,70,83,95,76,
GCF_013464695.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013464715.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013464725.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_013464775.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013464785.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013464795.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013464805.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013464815.fna.gz,smaltophilia,133,77,85,106,68,81,94,75,
GCF_013464875.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464885.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464895.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464905.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_013464915.fna.gz,smaltophilia,136,79,87,109,71,84,96,77,
GCF_013464975.fna.gz,smaltophilia,8,3,4,18,3,7,20,1,
GCF_013465025.fna.gz,smaltophilia,137,1,1,4,1,1,1,1,
GCF_014076535.fna.gz,smaltophilia,516,6,205,368,207,20,244,18,
GCF_014156975.fna.gz,smaltophilia,new_alleles,1,104,292,~176,6,83,~207,
GCF_014200115.fna.gz,smaltophilia,new_alleles,4,76,474,79,70,~221,9,
GCF_014235265.fna.gz,smaltophilia,27,3,1,1,3,6,4,1,
GCF_014236005.fna.gz,smaltophilia,365,1,4,110,46,6,38,58,
GCF_014236025.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_014236045.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_014236065.fna.gz,smaltophilia,1,1,1,1,1,1,1,1,
GCF_014236085.fna.gz,smaltophilia,-,11,~30,15,21,33,31,10,
GCF_014236105.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_014236125.fna.gz,smaltophilia,new_ST,154,4,110,7,28,108,6,
GCF_014398525.fna.gz,smaltophilia,131,5,83,104,51,79,80,73,
GCF_014489825.fna.gz,smaltophilia,440,5,4,345,7,25,116,19,
GCF_014489875.fna.gz,smaltophilia,233,94,20,170,25,14,17,3,
GCF_014489885.fna.gz,smaltophilia,233,94,20,170,25,14,17,3,
GCF_014581695.fna.gz,smaltophilia,396,146,28,329,171,121,143,22,
GCF_014581725.fna.gz,smaltophilia,394,13,120,328,171,121,140,22,
GCF_014581755.fna.gz,smaltophilia,382,72,77,321,166,71,202,67,
GCF_014581765.fna.gz,smaltophilia,-,9,-,28,26,15,-,3,
GCF_014581775.fna.gz,smaltophilia,394,13,120,328,171,121,140,22,
GCF_014581815.fna.gz,smaltophilia,-,72,-,-,169,114,203,165,
GCF_014581825.fna.gz,smaltophilia,390,81,170,325,73,72,204,135,
GCF_014581855.fna.gz,smaltophilia,84,3,1,82,3,25,4,62,
GCF_014581865.fna.gz,smaltophilia,-,143,-,319,70,72,201,163,
GCF_014581875.fna.gz,smaltophilia,392,3,104,292,105,25,76,99,
GCF_015956405.fna.gz,smaltophilia,338,118,142,211,104,135,157,129,
GCF_016082115.fna.gz,smaltophilia,125,21,26,98,63,75,2,15,
GCF_016126935.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_016659185.fna.gz,smaltophilia,new_alleles,84,72,~488,93,69,~219,72,
GCF_016735545.fna.gz,smaltophilia,-,3,1,~314,-,6,156,-,
GCF_016735555.fna.gz,smaltophilia,new_alleles,3,1,~314,3,6,156,~207,
GCF_017287455.fna.gz,smaltophilia,new_alleles,82,21,~371,178,~14,~18,3,
GCF_017287615.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017287815.fna.gz,smaltophilia,new_alleles,139,136,~461,73,72,131,79,
GCF_017287835.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017287995.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017292165.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017315435.fna.gz,smaltophilia,new_alleles,137,136,~314,~70,72,177,79,
GCF_017565445.fna.gz,smaltophilia,303,20,25,231,9,75,2,15,
GCF_017581785.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017582325.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017582525.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017582605.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017582615.fna.gz,smaltophilia,621,13,28,25,184,125,143,22,
GCF_017582655.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_017838015.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_017838025.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_018917605.fna.gz,smaltophilia,27,3,1,1,3,6,4,1,
GCF_019048905.fna.gz,smaltophilia,new_alleles,~28,~68,~290,148,80,186,74,
GCF_900186865.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_900475405.fna.gz,smaltophilia,new_alleles,3,22,~249,51,~140,~133,112,
GCF_900475685.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_900636655.fna.gz,smaltophilia,54,44,44,53,9,46,48,39,
GCF_900636905.fna.gz,smaltophilia,new_alleles,93,134,~305,45,63,69,5,
GCF_901482485.fna.gz,smaltophilia,new_alleles,116,70,~313,~165,18,15,~87,
GCF_902386495.fna.gz,smaltophilia,-,~55,54,~46,-,~58,58,48,
GCF_902386605.fna.gz,smaltophilia,new_alleles,161,28,~349,~61,~171,143,22,
GCF_902387615.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
