Genome,Scheme,ST,ack,cpn60,fdh,pta,purA,sar,tuf,clonal_complex
GCF_016805125.fna.gz,spseudintermedius,150,1,10,1,1,1,1,2,
GCF_016805145.fna.gz,spseudintermedius,171,1,7,2,1,5,1,2,
GCF_016805155.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016805185.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016805205.fna.gz,spseudintermedius,277,5,13,4,1,11,1,2,
GCF_016805215.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016805245.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_016805265.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_016805285.fna.gz,spseudintermedius,281,4,31,2,2,1,2,2,
GCF_017795485.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_018868045.fna.gz,spseudintermedius,1609,12,10,2,1,1,2,2,
GCF_018997125.fna.gz,spseudintermedius,new_alleles,4,~70,~31,64,~57,1,1,
GCF_900636355.fna.gz,spseudintermedius,new_ST,1,9,2,23,1,2,2,
GCF_901542585.fna.gz,spseudintermedius,new_alleles,1,2,4,~1,15,1,1,
GCF_903991915.fna.gz,spseudintermedius,944,5,13,2,4,1,2,1,
GCF_903991925.fna.gz,spseudintermedius,943,1,2,2,1,7,1,2,
GCF_903991935.fna.gz,spseudintermedius,980,5,2,4,1,2,1,1,
GCF_903991945.fna.gz,spseudintermedius,946,1,6,1,1,8,4,2,
GCF_903991955.fna.gz,spseudintermedius,945,12,13,2,1,8,1,1,
GCF_903991965.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903991975.fna.gz,spseudintermedius,978,6,2,2,2,11,1,2,
GCF_903991985.fna.gz,spseudintermedius,1377,5,2,2,2,36,1,1,
GCF_903991995.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903992005.fna.gz,spseudintermedius,942,5,2,4,4,1,2,1,
GCF_903992015.fna.gz,spseudintermedius,981,1,21,2,2,18,1,2,
GCF_903992025.fna.gz,spseudintermedius,985,1,29,1,32,1,1,2,
GCF_903992035.fna.gz,spseudintermedius,1382,1,24,1,1,11,1,1,
GCF_903992045.fna.gz,spseudintermedius,979,1,26,4,58,1,2,17,
GCF_903992055.fna.gz,spseudintermedius,993,1,8,4,1,13,1,2,
GCF_903992065.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903992075.fna.gz,spseudintermedius,941,1,21,4,1,7,1,1,
GCF_903992085.fna.gz,spseudintermedius,947,19,2,2,20,1,1,2,
GCF_903992095.fna.gz,spseudintermedius,994,1,29,4,1,11,1,2,
GCF_903992105.fna.gz,spseudintermedius,940,5,8,2,2,41,1,2,
GCF_903992115.fna.gz,spseudintermedius,987,1,26,2,1,60,1,2,
GCF_903992125.fna.gz,spseudintermedius,986,2,2,2,23,7,1,1,
GCF_903992135.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903992145.fna.gz,spseudintermedius,985,1,29,1,32,1,1,2,
GCF_903992155.fna.gz,spseudintermedius,982,5,24,2,1,3,2,2,
GCF_903992165.fna.gz,spseudintermedius,984,1,2,2,1,3,2,1,
GCF_903992175.fna.gz,spseudintermedius,983,5,18,4,1,5,1,2,
GCF_903992185.fna.gz,spseudintermedius,1350,1,6,4,1,3,1,1,
GCF_903992195.fna.gz,spseudintermedius,1353,5,18,2,2,2,1,1,
GCF_903992205.fna.gz,spseudintermedius,1357,1,29,2,1,11,1,1,
GCF_903992215.fna.gz,spseudintermedius,1380,1,9,2,1,16,5,1,
GCF_903992225.fna.gz,spseudintermedius,1378,5,7,2,4,11,1,2,
GCF_903992235.fna.gz,spseudintermedius,1351,1,7,1,1,6,5,1,
GCF_903992245.fna.gz,spseudintermedius,1360,1,21,2,1,23,1,1,
GCF_903992255.fna.gz,spseudintermedius,new_alleles,1,13,2,1,13,4,~9,
GCF_903992265.fna.gz,spseudintermedius,1352,1,13,2,2,1,1,2,
GCF_903992275.fna.gz,spseudintermedius,new_alleles,2,~37,1,1,13,1,2,
GCF_903992285.fna.gz,spseudintermedius,new_alleles,1,13,2,2,~13,2,2,
GCF_903992295.fna.gz,spseudintermedius,1358,2,6,1,4,11,1,2,
GCF_903992305.fna.gz,spseudintermedius,1024,5,13,4,4,13,2,2,
GCF_903992315.fna.gz,spseudintermedius,new_alleles,1,2,1,1,3,~2,1,
GCF_903992325.fna.gz,spseudintermedius,1354,2,2,4,1,8,1,1,
GCF_903992335.fna.gz,spseudintermedius,1359,4,13,1,1,1,1,2,
GCF_903992345.fna.gz,spseudintermedius,1356,5,6,1,1,8,4,2,
GCF_903992355.fna.gz,spseudintermedius,1349,4,13,1,23,3,2,2,
GCF_903992365.fna.gz,spseudintermedius,1348,5,2,2,1,8,1,2,
GCF_903992375.fna.gz,spseudintermedius,1355,1,2,1,1,36,1,2,
GCF_903992385.fna.gz,spseudintermedius,1249,38,9,1,1,7,6,2,
GCF_903992395.fna.gz,spseudintermedius,989,1,13,4,1,6,1,2,
GCF_903992405.fna.gz,spseudintermedius,1379,1,21,1,1,23,1,2,
GCF_903992415.fna.gz,spseudintermedius,new_alleles,1,10,2,1,1,1,~1,
GCF_903992425.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903992435.fna.gz,spseudintermedius,1023,20,8,2,4,16,1,1,
GCF_903992445.fna.gz,spseudintermedius,989,1,13,4,1,6,1,2,
GCF_903992455.fna.gz,spseudintermedius,241,1,21,4,1,23,1,1,
GCF_903992465.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_903992475.fna.gz,spseudintermedius,309,1,2,2,1,1,1,1,
